FY,component,contribution_nzd_m,status
2026,conventional_light_ruc,-37.02568237737569,observable
2026,light_bev_ruc,-1.1640149879403907,observable
2026,phev_ruc,-0.31206679764462564,observable
2026,heavy_ruc,-17.182046004374797,observable
2026,heavy_bev_ruc_revenue,0.0,inherited_from_mbu26
2026,ruc_admin_revenue,0.0,inherited_from_mbu26
2026,ruc_refunds,0.0,cancels_in_total_ruc_identity
2026,official_ruc_formula_or_rounding_residual,0.001356484847597983,official_workbook_residual
2027,conventional_light_ruc,-76.27559929836548,observable
2027,light_bev_ruc,-6.287756883995584,observable
2027,phev_ruc,-1.7392149188481802,observable
2027,heavy_ruc,-46.81214282092492,observable
2027,heavy_bev_ruc_revenue,0.0,inherited_from_mbu26
2027,ruc_admin_revenue,0.0,inherited_from_mbu26
2027,ruc_refunds,0.0,cancels_in_total_ruc_identity
2027,official_ruc_formula_or_rounding_residual,-0.6270120265355104,official_workbook_residual
2028,conventional_light_ruc,-88.7548900296822,observable
2028,light_bev_ruc,-11.108852451972865,observable
2028,phev_ruc,-3.0679008795787794,observable
2028,heavy_ruc,-63.195699534874166,observable
2028,heavy_bev_ruc_revenue,0.0,inherited_from_mbu26
2028,ruc_admin_revenue,0.0,inherited_from_mbu26
2028,ruc_refunds,0.0,cancels_in_total_ruc_identity
2028,official_ruc_formula_or_rounding_residual,-0.4662736698788308,official_workbook_residual
2029,conventional_light_ruc,-121.0213932952829,observable
2029,light_bev_ruc,-18.413188420896518,observable
2029,phev_ruc,-5.059292575391808,observable
2029,heavy_ruc,-80.91393075413998,observable
2029,heavy_bev_ruc_revenue,0.0,inherited_from_mbu26
2029,ruc_admin_revenue,0.0,inherited_from_mbu26
2029,ruc_refunds,0.0,cancels_in_total_ruc_identity
2029,official_ruc_formula_or_rounding_residual,-0.3629010453885826,official_workbook_residual
2030,conventional_light_ruc,-169.38154395609877,observable
2030,light_bev_ruc,-29.04992832190672,observable
2030,phev_ruc,-7.870410884004457,observable
2030,heavy_ruc,-99.43391442898178,observable
2030,heavy_bev_ruc_revenue,0.0,inherited_from_mbu26
2030,ruc_admin_revenue,0.0,inherited_from_mbu26
2030,ruc_refunds,0.0,cancels_in_total_ruc_identity
2030,official_ruc_formula_or_rounding_residual,-0.3832467594083937,official_workbook_residual
