FY,current_light_petrol_vkt,counterfactual_light_petrol_vkt,current_ped_volume,counterfactual_ped_volume,current_gross_ped_revenue,counterfactual_gross_ped_revenue,current_net_fed_revenue,counterfactual_net_fed_revenue,population_effect_nzd_m
2026,31742.11507864332,31760.613176541734,2937.2550915968645,2938.966812195897,2056.7835053397894,2057.982120572056,2025.5611432843793,2026.759758516646,1.1986152322665475
2027,30689.795137708454,30835.165040415766,2767.9275639520765,2781.0385462465856,2103.1910301019448,2113.1533212820887,2063.7187580183295,2073.6810491984734,9.962291180143893
2028,30295.920177543616,30495.29376348524,2705.988211855552,2723.7959750841237,2300.331933510302,2315.470124519266,2251.073595371036,2266.21178638,15.138191008963986
2029,30037.969964285097,30293.724133243828,2656.765045661623,2679.3857066843116,2391.382652289875,2411.7437513796576,2336.6086821512836,2356.9697812410664,20.361099089782783
2030,29787.43819764469,30096.38549812574,2608.6477906508626,2635.7039841872092,2452.3878725737522,2477.8233802510804,2393.219658030332,2418.65516570766,25.435507677328133
