FY,current_vkt_per_capita,official_vkt_per_capita,current_population_implied,official_population_implied,current_light_petrol_vkt_million_km,official_light_petrol_vkt_million_km,shared_fuel_intensity_litres_per_km,shared_effective_ped_rate,current_total_light_ruc_pool_million_km,official_total_light_ruc_pool_million_km
2026,6144.321779043229,5935.87599744435,5166089.313048003,5363105.743888369,31742.11507864332,31834.7306569029,0.09253495188709412,0.7002400000000003,14169.000465332301,14741.897953610911
2027,5966.778677198156,5924.5731702763,5143444.528115056,5420684.735249234,30689.795137708454,32115.2433469839,0.09019048682247907,0.7598432334330983,14198.681823208137,15378.28494964807
2028,5911.505385511109,5908.65677079833,5124907.819892687,5474417.296010022,30295.920177543616,32346.4528222451,0.08931856817675814,0.8500894140750587,15226.666218841718,16531.23310085838
2029,5889.9724021517095,5897.91062691712,5099849.016832694,5528812.289434058,30037.969964285097,32608.4407560831,0.08844689067937997,0.9001107027491552,16084.856687495661,17822.94174021139
2030,5870.472750433319,5887.16953577159,5074112.335407056,5583306.592200029,29787.43819764469,32869.8724784727,0.0875754327492698,0.9400992657432979,16782.212397308012,19165.49281712565
