FY,level,component,contribution_nzd_m,status
2028,4_total_ruc,conventional_light_ruc,-88.7548900296822,observable
2028,4_total_ruc,light_bev_ruc,-11.108852451972865,observable
2028,4_total_ruc,phev_ruc,-3.0679008795787794,observable
2028,4_total_ruc,heavy_ruc,-63.195699534874166,observable
2028,4_total_ruc,heavy_bev_admin_and_refunds_net_effect,-0.4662736698788308,observable_derived_by_difference
2028,4_total_ruc,closure_residual,0.0,residual
2029,4_total_ruc,conventional_light_ruc,-121.0213932952829,observable
2029,4_total_ruc,light_bev_ruc,-18.413188420896518,observable
2029,4_total_ruc,phev_ruc,-5.059292575391808,observable
2029,4_total_ruc,heavy_ruc,-80.91393075413998,observable
2029,4_total_ruc,heavy_bev_admin_and_refunds_net_effect,-0.3629010453885826,observable_derived_by_difference
2029,4_total_ruc,closure_residual,0.0,residual
2030,4_total_ruc,conventional_light_ruc,-169.38154395609877,observable
2030,4_total_ruc,light_bev_ruc,-29.04992832190672,observable
2030,4_total_ruc,phev_ruc,-7.870410884004457,observable
2030,4_total_ruc,heavy_ruc,-99.43391442898178,observable
2030,4_total_ruc,heavy_bev_admin_and_refunds_net_effect,-0.3832467594083937,observable_derived_by_difference
2030,4_total_ruc,closure_residual,0.0,residual
