FY,current_vkt_per_capita,official_vkt_per_capita,current_population,official_population_implied,current_migration_factor,official_migration_normalisation
2026,6144.321779043229,5935.87599744435,5359982.15006672,5363105.743888369,0.9638258427751846,1.0
2027,5966.778677198156,5924.5731702763,5395129.353543401,5420684.735249234,0.9533496216799616,1.0
2028,5911.505385511109,5908.65677079833,5438626.389527487,5474417.296010022,0.9423165801131532,1.0
2029,5889.9724021517095,5897.91062691712,5482135.400643706,5528812.289434058,0.9302668840017844,1.0
2030,5870.472750433319,5887.16953577159,5525992.483848856,5583306.592200029,0.9182264272413442,1.0
