series_id,section,unit,FY,official_vintage,comparison_vintage,prebu26_value,befu26_value,prebu26_period_status,befu26_period_status,delta,pct_delta,note
coo_revenue,MVR,$m nominal ex GST,2045,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2046,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2047,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2048,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2049,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2050,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2051,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2052,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2053,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2054,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
coo_revenue,MVR,$m nominal ex GST,2055,PREBU26,BEFU26,0.0,0.0,LT_FORECAST,LT_FORECAST,0.0,,
fed_refunds,FED,$m nominal ex GST,2001,PREBU26,BEFU26,19.0924444444444,19.0924444444444,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2002,PREBU26,BEFU26,22.4151111111111,22.4151111111111,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2003,PREBU26,BEFU26,25.1386666666667,25.1386666666667,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2004,PREBU26,BEFU26,25.3991111111111,25.3991111111111,ACTUAL,ACTUAL,0.0,0.0,
fed_refunds,FED,$m nominal ex GST,2005,PREBU26,BEFU26,32.9502222222222,32.9502222222222,ACTUAL,ACTUAL,0.0,0.0,
