FY,metric,unit,official_vintage,comparison_vintage,prebu26_value,befu26_value,delta_prebu26_minus_befu26
2010,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2010,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2010,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2011,ped_effective_rate,$/L,PREBU26,BEFU26,0.4777703246482473,0.4777703246482473,0.0
2011,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.183137625117315,10.18484615769486,-0.0017085325775454407
2011,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.040313628009494416,0.040313628009494416,0.0
2011,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.2089908222677736,0.2089908222677736,0.0
2011,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2011,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2011,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2012,ped_effective_rate,$/L,PREBU26,BEFU26,0.48523999999999945,0.48523999999999945,0.0
2012,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.39897611091636,10.400674545382383,-0.0016984344660233575
2012,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.041300177683275076,0.041300177683275076,0.0
2012,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.21209349446238662,0.21209349446238662,0.0
2012,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2012,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2012,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2013,ped_effective_rate,$/L,PREBU26,BEFU26,0.5035545552699606,0.5035545552699606,0.0
2013,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.331925052619953,10.333513194870045,-0.0015881422500925169
2013,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.042675531451441186,0.042675531451441186,0.0
2013,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.2039805259044985,0.2039805259044985,0.0
2013,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2013,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2013,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2014,ped_effective_rate,$/L,PREBU26,BEFU26,0.5352400000000006,0.5352400000000006,0.0
2014,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.159117398147453,10.1605372752484,-0.0014198771009468203
2014,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.04718516262035074,0.04718516262035074,0.0
2014,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.2176237013823654,0.2176237013823654,0.0
2014,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2014,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2014,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2015,ped_effective_rate,$/L,PREBU26,BEFU26,0.5652400000000005,0.5652400000000005,0.0
