engine,series_id,FY,current_value,official_value,gap_current_minus_official,pct_gap,official_vintage,bridge_vintage
ensemble,total_nltf_net_revenue,2026,4599.805745017675,4491.33665247696,108.46909254071488,2.4150737505035274,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2027,5015.326872163112,4972.70208202854,42.62479013457232,0.8571756246693181,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2028,5654.245826975987,5626.58756431719,27.658262658796957,0.49156371144387234,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2029,6066.511686292191,6065.93037869181,0.5813076003814786,0.009583156483685929,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2030,6415.09982192275,6457.08040779104,-41.98058586828938,-0.6501481043605417,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2031,6742.399475216947,6860.59327553306,-118.19380031611217,-1.7227927027481258,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2032,7065.14630967794,7129.54763899597,-64.40132931803055,-0.9033017602095715,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2033,7385.790715725851,7389.03100809696,-3.240292371108808,-0.04385273749099265,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2034,7710.847337828421,7651.12233442062,59.725003407800614,0.7806044760140838,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2035,8033.553830844928,7914.7303692665,118.82346157842767,1.5012951298989061,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2036,8346.869983035005,8181.90422496844,164.9657580665653,2.0162269507279844,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2037,8646.170497761272,8455.57331668608,190.59718107519257,2.25410121746649,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2038,8924.825403706618,8732.34442933695,192.48097436966782,2.2042302147750137,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2039,9189.227292316784,9024.61854212415,164.60875019263403,1.8239967642320936,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2040,9443.274222917991,9337.02970791448,106.24451500351097,1.1378834418129078,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2041,9688.298668337027,9665.77741450459,22.52125383243765,0.23299992195808242,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2042,9927.129875969404,10014.7311632626,-87.60128729319695,-0.8747243022813025,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2043,10174.27542870776,10335.821138557,-161.54570984923885,-1.5629692859777227,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2044,10438.194399044613,10652.570754653,-214.3763556083868,-2.0124377537201346,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2045,10751.5237940901,10978.2370781637,-226.71328407359943,-2.0651155778421315,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2046,11126.93887555816,11338.821238231,-211.882362672839,-1.868645410498555,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2047,11526.3309441999,11721.982486957,-195.65154275709938,-1.669099428998465,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2048,11966.943950281116,12144.6066735284,-177.6627232472838,-1.4628940073830077,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2049,12405.109536627602,12562.703540115,-157.59400348739837,-1.254459304752134,PREBU26,BEFU26
ensemble,total_nltf_net_revenue,2050,12820.212970325008,12955.4993074031,-135.2863370780924,-1.0442386963873045,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2026,2073.8323474108515,2049.28050774696,24.551839663891315,1.1980712045558046,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2027,2280.545090691793,2294.71197376543,-14.166883073636654,-0.617370861162588,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2028,2660.225385516815,2696.07934472366,-35.85395920684505,-1.3298554909748017,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2029,2941.7656172699285,2998.95308916256,-57.18747189263149,-1.906914519579923,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2030,3195.2112632783583,3285.26891079343,-90.05764751507195,-2.7412564986444896,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2031,3419.058819902252,3586.31173658522,-167.25291668296813,-4.663646915485976,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2032,3648.770762040632,3807.85732425602,-159.0865622153883,-4.177849868533892,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2033,3889.191937134649,4037.79820928968,-148.6062721550311,-3.680378871166362,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2034,4147.540235896043,4282.27207128687,-134.73183539082765,-3.1462698574016397,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2035,4424.351874807488,4545.32572915041,-120.9738543429221,-2.66150022136112,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2036,4719.816922750055,4832.92243961854,-113.10551686848521,-2.3403130979567837,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2037,5036.520533603224,5148.42385129421,-111.90331769098611,-2.1735451649509367,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2038,5375.03614336176,5491.69412096547,-116.6579776037097,-2.1242621135497726,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2039,5744.6489631018885,5873.61684498207,-128.96788188018127,-2.19571492802362,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2040,6146.487331879191,6295.6581173881,-149.17078550890983,-2.3694232235532633,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2041,6574.312146767553,6751.11811605525,-176.80596928769683,-2.618913878387399,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2042,7032.874720398609,7245.24833934311,-212.3736189445017,-2.9312124167127793,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2043,7507.127788747722,7737.1154084908,-229.98761974307854,-2.972524094582943,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2044,7980.018188753951,8221.23482415214,-241.21663539818837,-2.934068185104604,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2045,8467.292969826121,8706.71731035684,-239.42434053071884,-2.74988071848753,PREBU26,BEFU26
ensemble,total_ruc_net_revenue,2046,8989.337964457558,9216.95862675219,-227.62066229463198,-2.4695853753098533,PREBU26,BEFU26
