series_id,source_label,worksheet_row,cell_range,sheet,workbook_basename,workbook_sha256
light_ruc_net_km,Light RUC net km (m km),5,B5:BD5,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
heavy_ruc_net_km,Heavy RUC net km (m km),6,B6:BD6,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
light_bev_ruc_net_km,Light BEV RUC net km (m km),7,B7:BD7,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
heavy_bev_ruc_net_km,Heavy BEV RUC net km (m km),8,B8:BD8,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
phev_ruc_net_km,PHEV RUC net km (m km),9,B9:BD9,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
ped_volume,PED volume (m L),10,B10:BD10,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
light_petrol_vkt,Light petrol VKT (m km),11,B11:BD11,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
ped_vkt_per_capita,Light petrol VKT per capita (km),12,B12:BD12,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
tuc_gtk,TUC GTK (Tonne-km),13,B13:BD13,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
light_ruc_net_revenue,Light RUC net revenue (m $),28,B28:BD28,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
heavy_ruc_net_revenue,Heavy RUC net revenue (m $),29,B29:BD29,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
light_bev_ruc_net_revenue,Light BEV RUC net revenue (m $),30,B30:BD30,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
heavy_bev_ruc_net_revenue,Heavy BEV RUC net revenue (m $),31,B31:BD31,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
phev_ruc_net_revenue,PHEV RUC net revenue (m $),32,B32:BD32,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
ruc_refunds,RUC refunds (m $),33,B33:BD33,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
gross_ruc_revenue,Gross RUC revenue (m $),34,B34:BD34,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
ruc_admin_revenue,RUC admin revenue (m $),35,B35:BD35,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
ruc_revenue_net_admin,RUC revenues net of admin fees (m $),36,B36:BD36,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
total_ruc_net_revenue,RUC revenues net of admin fees & refunds (m $),37,B37:BD37,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
gross_ped_revenue,Gross PED revenue (m $),40,B40:BD40,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
gross_lpg_revenue,Gross LPG revenue (m $),41,B41:BD41,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
gross_cng_revenue,Gross CNG revenue (m $),42,B42:BD42,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
gross_fed_revenue,Gross FED revenue (m $),43,B43:BD43,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
fed_refunds,FED refunds (m $),44,B44:BD44,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
net_fed_revenue,Net FED revenue (m $),45,B45:BD45,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
mr1_revenue,MR1 revenue (m $),48,B48:BD48,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
mr2_revenue,MR2 revenue (m $),49,B49:BD49,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
coo_revenue,MR13 revenue (m $),50,B50:BD50,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
gross_mvr_revenue,Gross MVR revenue (m $),51,B51:BD51,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
mvr_admin_revenue,MVR admin revenue (m $),52,B52:BD52,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
mvr_revenue_net_admin_coo,MVR revenues net of admin fees & COO (m $),53,B53:BD53,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
mvr_refunds,MVR refunds (m $),54,B54:BD54,PREBU,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b
