fy,stream,policy_normalised_gap,default_ui_gap,difference_due_to_policy_states,current_policy_effect,official_policy_effect
2026,net_fed,72.08156173614975,72.08156173614975,0.0,0.0,0.0
2026,gross_ped,72.08156173614998,72.08156173614998,0.0,0.0,0.0
2026,light_ruc_conventional,3.7075609757137045,3.7075609757137045,0.0,0.0,0.0
2026,light_bev,2.9347910354952376,2.9347910354952376,0.0,0.0,0.0
2026,phev,0.7843143943429567,0.7843143943429567,0.0,0.0,0.0
2026,heavy_ruc_conventional,-17.833484684578707,-17.833484684578707,0.0,0.0,0.0
2026,total_ruc,-10.405461794179246,-10.405461794179246,0.0,0.0,0.0
2026,total_nltf,61.67609994196391,61.67609994196391,0.0,0.0,0.0
2027,net_fed,8.694284871576201,15.201728827749093,6.507443956172892,-167.1912219016915,-173.6986658578644
2027,gross_ped,8.694284871571654,15.201728827744546,6.507443956172892,-167.1912219016915,-173.6986658578644
2027,light_ruc_conventional,-16.660554866899133,-12.13228614575246,4.528268721146674,-69.95218392901643,-74.4804526501631
2027,light_bev,-3.897596591307561,-3.536729107043172,0.3608674842643893,-8.686337368551662,-9.047204852816051
2027,phev,-1.2343019032164548,-1.1222311161035954,0.11207078711285945,-2.390416816048795,-2.5024876031616543
2027,heavy_ruc_conventional,-45.53901747611826,-39.358756845349035,6.180260630769226,-94.69985032474756,-100.88011095551678
2027,total_ruc,-67.95848286407636,-56.777015240783385,11.181467623292974,-175.72878843836452,-186.9102560616575
2027,total_nltf,-59.264197992506524,-41.575286413040885,17.68891157946564,-342.92001034005625,-360.6089219195219
2028,net_fed,2.2121071110045705,2.2121071110045705,0.0,0.0,0.0
2028,gross_ped,2.2121071110004777,2.2121071110004777,0.0,0.0,0.0
2028,light_ruc_conventional,9.308460846637672,9.308460846637672,0.0,0.0,0.0
2028,light_bev,4.695892831532774,4.695892831532774,0.0,0.0,0.0
2028,phev,1.0604700108883165,1.0604700108883165,0.0,0.0,0.0
2028,heavy_ruc_conventional,-57.00070133685699,-57.00070133685699,0.0,0.0,0.0
2028,total_ruc,-42.40215131767718,-42.40215131767718,0.0,0.0,0.0
2028,total_nltf,-40.19004420667261,-40.19004420667261,0.0,0.0,0.0
2029,net_fed,5.909802423684141,5.909802423684141,0.0,0.0,0.0
2029,gross_ped,5.909802423685051,5.909802423685051,0.0,0.0,0.0
2029,light_ruc_conventional,17.637995473066667,17.637995473066667,0.0,0.0,0.0
2029,light_bev,16.67932386087466,16.67932386087466,0.0,0.0,0.0
2029,phev,4.303436357892949,4.303436357892949,0.0,0.0,0.0
2029,heavy_ruc_conventional,-73.51314177950371,-73.51314177950371,0.0,0.0,0.0
2029,total_ruc,-35.25528713305857,-35.25528713305857,0.0,0.0,0.0
2029,total_nltf,-29.345484709373522,-29.345484709373522,0.0,0.0,0.0
2030,net_fed,10.163535688755474,10.163535688755474,0.0,0.0,0.0
2030,gross_ped,10.163535688755474,10.163535688755474,0.0,0.0,0.0
2030,light_ruc_conventional,13.541032543995016,13.541032543995016,0.0,0.0,0.0
2030,light_bev,32.655290350312555,32.655290350312555,0.0,0.0,0.0
2030,phev,8.428095405969003,8.428095405969003,0.0,0.0,0.0
2030,heavy_ruc_conventional,-90.19581063987425,-90.19581063987425,0.0,0.0,0.0
2030,total_ruc,-35.95463909900627,-35.95463909900627,0.0,0.0,0.0
2030,total_nltf,-25.79110341024716,-25.79110341024716,0.0,0.0,0.0
