comparison,fy,total_nltf_gap,net_fed_gap,total_ruc_gap,light_ruc_conventional_gap,light_bev_gap,phev_gap,heavy_ruc_conventional_gap,heavy_bev_gap,ruc_class_sum_gap,ruc_admin_refunds_gap,net_mvr_gap,tuc_other_fixed_gap,official_published_source_residual,published_source_residual_gap,ruc_internal_residual,numerical_residual
policy_normalised,2026,61.67609994196391,72.08156173614975,-10.405461794179246,3.7075609757137045,2.9347910354952376,0.7843143943429567,-17.833484684578707,0.0,-10.406818279026808,0.0,-1.1368683772161603e-13,0.0,-0.0013564848472924496,0.0013564848472924496,2.7000623958883807e-13,-6.480149750132114e-12
policy_normalised,2027,-59.264197992506524,8.694284871576201,-67.95848286407636,-16.660554866899133,-3.897596591307561,-1.2343019032164548,-45.53901747611826,0.0,-67.33147083754142,0.0,5.115907697472721e-13,0.0,0.6270120265353398,-0.6270120265348851,-5.684341886080802e-14,-6.87805368215777e-12
policy_normalised,2028,-40.19004420667261,2.2121071110045705,-42.40215131767718,9.308460846637672,4.695892831532774,1.0604700108883165,-57.00070133685699,0.0,-41.93587764779823,0.0,-3.410605131648481e-13,0.0,0.4662736698792287,-0.4662736698792287,2.7711166694643907e-13,3.410605131648481e-13
policy_normalised,2029,-29.345484709373522,5.909802423684141,-35.25528713305857,17.637995473066667,16.67932386087466,4.303436357892949,-73.51314177950371,0.0,-34.892386087669436,0.0,-2.2737367544323206e-13,0.0,0.3629010453887531,-0.36290104538920787,7.105427357601002e-14,1.1368683772161603e-12
policy_normalised,2030,-25.79110341024716,10.163535688755474,-35.95463909900627,13.541032543995016,32.655290350312555,8.428095405969003,-90.19581063987425,0.0,-35.57139233959768,0.0,-5.115907697472721e-13,0.0,0.3832467594083937,-0.3832467594083937,-1.9895196601282805e-13,4.149569576838985e-12
default_ui,2026,61.67609994196391,72.08156173614975,-10.405461794179246,3.7075609757137045,2.9347910354952376,0.7843143943429567,-17.833484684578707,0.0,-10.406818279026808,0.0,-1.1368683772161603e-13,0.0,-0.0013564848472924496,0.0013564848472924496,2.7000623958883807e-13,-6.480149750132114e-12
default_ui,2027,-41.575286413040885,15.201728827749093,-56.777015240783385,-12.13228614575246,-3.536729107043172,-1.1222311161035954,-39.358756845349035,0.0,-56.15000321424826,0.0,5.115907697472721e-13,0.0,0.6270120265353398,-0.6270120265353398,2.1316282072803006e-13,-7.105427357601002e-12
default_ui,2028,-40.19004420667261,2.2121071110045705,-42.40215131767718,9.308460846637672,4.695892831532774,1.0604700108883165,-57.00070133685699,0.0,-41.93587764779823,0.0,-3.410605131648481e-13,0.0,0.4662736698792287,-0.4662736698792287,2.7711166694643907e-13,3.410605131648481e-13
default_ui,2029,-29.345484709373522,5.909802423684141,-35.25528713305857,17.637995473066667,16.67932386087466,4.303436357892949,-73.51314177950371,0.0,-34.892386087669436,0.0,-2.2737367544323206e-13,0.0,0.3629010453887531,-0.36290104538920787,7.105427357601002e-14,1.1368683772161603e-12
default_ui,2030,-25.79110341024716,10.163535688755474,-35.95463909900627,13.541032543995016,32.655290350312555,8.428095405969003,-90.19581063987425,0.0,-35.57139233959768,0.0,-5.115907697472721e-13,0.0,0.3832467594083937,-0.3832467594083937,-1.9895196601282805e-13,4.149569576838985e-12
