pair_id,severity,policy_state,time_grain,period,june_year,stream,series_id,numerator_scenario_name,denominator_scenario_name,base_value,scenario_value,factor,delta,transformation_basis
baseline_delayed_6m,baseline,delay_6m,quarterly,2031Q4,2032,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1112411473.7785995,1112411473.7785995,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2032Q1,2032,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1077456465.640949,1077456465.640949,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2032Q2,2032,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1048327343.7207795,1048327343.7207795,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2032Q3,2033,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1060918292.915546,1060918292.915546,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2032Q4,2033,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1119178334.6749551,1119178334.6749551,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2033Q1,2033,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1084436007.7976372,1084436007.7976372,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2033Q2,2033,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1055167682.3728514,1055167682.3728514,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2033Q3,2034,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1068024468.9928176,1068024468.9928176,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2033Q4,2034,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1126316803.1163044,1126316803.1163044,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2034Q1,2034,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1092012096.3713648,1092012096.3713648,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2034Q2,2034,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1062584153.2553183,1062584153.2553183,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2034Q3,2035,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1075283248.959086,1075283248.959086,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2034Q4,2035,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1133805624.1268432,1133805624.1268432,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2035Q1,2035,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1099015122.5568385,1099015122.5568385,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2035Q2,2035,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1069009972.4120252,1069009972.4120252,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2035Q3,2036,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1081668651.9094286,1081668651.9094286,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2035Q4,2036,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1140491298.9471035,1140491298.9471035,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2036Q1,2036,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1105244908.4004507,1105244908.4004507,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2036Q2,2036,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1074891794.0654569,1074891794.0654569,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2036Q3,2037,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1087497319.5040529,1087497319.5040529,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2036Q4,2037,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1146538849.5470724,1146538849.5470724,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2037Q1,2037,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1111245012.1220958,1111245012.1220958,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2037Q2,2037,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1080790518.9080882,1080790518.9080882,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2037Q3,2038,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1093541529.0359342,1093541529.0359342,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2037Q4,2038,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1153026207.2764173,1153026207.2764173,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2038Q1,2038,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1117560796.0456128,1117560796.0456128,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2038Q2,2038,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1086927014.0312903,1086927014.0312903,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2038Q3,2039,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1099771123.4742377,1099771123.4742377,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2038Q4,2039,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1159644284.329803,1159644284.329803,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2039Q1,2039,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1123990851.0747235,1123990851.0747235,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2039Q2,2039,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1093173083.5322282,1093173083.5322282,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2039Q3,2040,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1106110242.652203,1106110242.652203,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2039Q4,2040,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1166377176.2837083,1166377176.2837083,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2040Q1,2040,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1130532340.4511967,1130532340.4511967,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2040Q2,2040,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1099527569.0940175,1099527569.0940175,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2040Q3,2041,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1112559491.7350242,1112559491.7350242,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2040Q4,2041,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1173227124.799934,1173227124.799934,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2041Q1,2041,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1136977159.8629613,1136977159.8629613,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2041Q2,2041,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1105653628.3831863,1105653628.3831863,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2041Q3,2042,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1118657750.6342006,1118657750.6342006,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2041Q4,2042,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1179573630.3726587,1179573630.3726587,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2042Q1,2042,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1143284970.5152678,1143284970.5152678,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2042Q2,2042,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1111861876.4362116,1111861876.4362116,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2042Q3,2043,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1125023433.2962978,1125023433.2962978,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2042Q4,2043,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1186408515.8978167,1186408515.8978167,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2043Q1,2043,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1149940978.9211078,1149940978.9211078,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2043Q2,2043,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1118330137.575718,1118330137.575718,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2043Q3,2044,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1131590516.3836584,1131590516.3836584,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2043Q4,2044,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1193385503.2081006,1193385503.2081006,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2044Q1,2044,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1156719905.0219386,1156719905.0219386,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2044Q2,2044,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1124915109.1938095,1124915109.1938095,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2044Q3,2045,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1138273503.9054914,1138273503.9054914,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2044Q4,2045,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1200483470.2573094,1200483470.2573094,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2045Q1,2045,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1163615900.4606814,1163615900.4606814,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2045Q2,2045,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1131613754.5579882,1131613754.5579882,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2045Q3,2046,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1145071812.2242312,1145071812.2242312,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2045Q4,2046,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1207703905.3867075,1207703905.3867075,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2046Q1,2046,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1170630918.961359,1170630918.961359,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2046Q2,2046,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1138428069.989318,1138428069.989318,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2046Q3,2047,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1151987566.437465,1151987566.437465,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2046Q4,2047,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1215049139.3387852,1215049139.3387852,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2047Q1,2047,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1177767246.8132243,1177767246.8132243,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2047Q2,2047,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1145360284.3217218,1145360284.3217218,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2047Q3,2048,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1159023036.3851914,1159023036.3851914,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2047Q4,2048,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1222521589.8615308,1222521589.8615308,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2048Q1,2048,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1185027238.1302733,1185027238.1302733,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2048Q2,2048,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1152412688.8969574,1152412688.8969574,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2048Q3,2049,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1166180552.1625464,1166180552.1625464,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2048Q4,2049,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1230123736.647786,1230123736.647786,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2049Q1,2049,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1192413306.7989652,1192413306.7989652,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2049Q2,2049,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1159587633.1453834,1159587633.1453834,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2049Q3,2050,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1173462502.864887,1173462502.864887,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2049Q4,2050,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1237858122.158365,1237858122.158365,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2050Q1,2050,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1199927927.842557,1199927927.842557,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2050Q2,2050,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1166887526.0498476,1166887526.0498476,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2050Q3,2051,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1180871338.1957455,1180871338.1957455,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2050Q4,2051,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1245727353.4087195,1245727353.4087195,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2026Q2,2026,LIGHT_RUC,light_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,3163841337.5972414,3163841337.5972414,1.0,0.0,fixed_finalist_quarterly_replay_pair
