june_year,history,planned,delayed_6m,no_uplift
2013,0.50524,0.50524,0.50524,0.50524
2014,0.53524,0.53524,0.53524,0.53524
2015,0.56524,0.56524,0.56524,0.56524
2016,0.59524,0.59524,0.59524,0.59524
2017,0.59524,0.59524,0.59524,0.59524
2018,0.59524,0.59524,0.59524,0.59524
2019,0.621585,0.621585,0.621585,0.621585
2020,0.66524,0.66524,0.66524,0.66524
2021,0.70024,0.70024,0.70024,0.70024
2022,0.625935,0.625935,0.625935,0.625935
2023,0.45024,0.45024,0.45024,0.45024
2024,0.70024,0.70024,0.70024,0.70024
2025,0.70024,0.7002400000000009,0.7002400000000009,0.70024
2026,,0.7002399999999998,0.7002399999999998,0.70024
2027,,0.7600846254894931,0.70024,0.70024
2028,,0.8501416070311163,0.8501416070311163,0.73024
2029,,0.9001298714008468,0.9001298714008468,0.78024
2030,,0.9401072483165868,0.9401072483165868,0.82024
2031,,0.9801259945570312,0.9801259945570312,0.86024
2032,,1.0201412027482166,1.0201412027482166,0.9002552081911854
2033,,1.0601468860621817,1.0601468860621817,0.9402608915051505
2034,,1.1001419804613515,1.1001419804613515,0.9802559859043203
2035,,1.1400953906664826,1.1400953906664826,1.0202093961094514
2036,,1.1800752344742995,1.1800752344742995,1.0601892399172683
2037,,1.220038468156412,1.220038468156412,1.1001524735993808
2038,,1.2600110355185095,1.2600110355185095,1.1401250409614783
2039,,1.2999738603503401,1.2999738603503401,1.180087865793309
2040,,1.3399128735800543,1.3399128735800543,1.220026879023023
2041,,1.3798527085174919,1.3798527085174919,1.2599667139604607
2042,,1.4198072482385893,1.4198072482385893,1.299921253681558
2043,,1.459824693801445,1.459824693801445,1.3399386992444138
2044,,1.4998156931347923,1.4998156931347923,1.3799296985777612
2045,,1.5397847192495535,1.5397847192495535,1.4198987246925223
2046,,1.579744715278065,1.579744715278065,1.4598587207210338
2047,,1.6197188671928884,1.6197188671928884,1.4998328726358572
2048,,1.6597349109540918,1.6597349109540918,1.5398489163970606
2049,,1.699737277234828,1.699737277234828,1.5798512826777968
2050,,1.7397733493274306,1.7397733493274306,1.6198873547703994
