engine,scenario_name,stream,series_id,period,value
ensemble,current_basecase,LIGHT_RUC,light_ruc_net_km,2030Q1,3571388279.4264145
ensemble,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2030Q1,3652847490.3889103
ensemble,current_basecase,LIGHT_RUC,light_ruc_net_km,2030Q2,3595347705.5040107
ensemble,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2030Q2,3682251987.944531
ensemble,current_basecase,LIGHT_RUC,light_ruc_net_km,2030Q3,3447750923.778664
ensemble,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2030Q3,3535791342.764149
ensemble,current_basecase,LIGHT_RUC,light_ruc_net_km,2030Q4,3670646115.7981424
ensemble,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2030Q4,3769392809.5161967
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q1,1020118066.0540425
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2026Q1,1020820013.7342014
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q2,981612144.9334924
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2026Q2,982720972.3701376
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q3,997119053.0897543
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2026Q3,998640804.9871552
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q4,1066495106.8412464
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2026Q4,1068577990.631934
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q1,1034599278.8904264
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2027Q1,1036857923.7237957
ensemble,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q2,1002056653.2786986
ensemble,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2027Q2,1004178139.1028426
