stream,period,column,derived_value,workbook_value,rel_diff,status
PED,2026Q1,year,2026.0,2026.0,0.0,pass
PED,2026Q1,quarter,1.0,1.0,0.0,pass
PED,2026Q1,period_index,97.0,97.0,0.0,pass
PED,2026Q1,trend_index,97.0,97.0,0.0,pass
PED,2026Q1,log_trend,4.574710978503383,4.574710978503383,0.0,pass
PED,2026Q1,gdp_deflator_sa,1567.1821782178217,1567.1821782178217,0.0,pass
PED,2026Q1,nominal_gdp_sa_nzd,114677316000.0,114677316000.0,0.0,pass
PED,2026Q1,gdp_rebasing_factor,0.9960552268244576,0.9960552268244576,0.0,pass
PED,2026Q1,cpi_rebasing_factor,1.0,1.0,0.0,pass
PED,2026Q1,target_lag_1,1565.5435343949114,1565.543534394911,2.904725042106387e-16,pass
PED,2026Q1,target_lag_4,1499.78577995301,1499.78577995301,0.0,pass
PED,2026Q1,log_target_lag_1,7.355988349,7.355988349,0.0,pass
PED,2026Q1,log_target_lag_4,7.313077563526842,7.313077563526842,0.0,pass
PED,2026Q1,diff_log_target_lag_1_lag_4,0.04291078547315852,0.04291078547315852,0.0,pass
PED,2026Q1,q2_dummy,0.0,0.0,0.0,pass
PED,2026Q1,q3_dummy,0.0,0.0,0.0,pass
PED,2026Q1,q4_dummy,0.0,0.0,0.0,pass
PED,2026Q1,post_2020_dummy,1.0,1.0,0.0,pass
PED,2026Q1,population,5361300.0,5361300.0,0.0,pass
PED,2026Q1,nominal_gdp_per_capita_nzd,21389.833808964242,21389.833808964242,0.0,pass
PED,2026Q1,real_gdp_per_capita_nzd,21305.45576632533,21305.455766325333,1.7075339044573628e-16,pass
PED,2026Q1,log_real_gdp_per_capita,9.966718458163555,9.966718458163555,0.0,pass
PED,2026Q1,petrol_price_nominal_cents_per_litre,269.8,269.8,0.0,pass
PED,2026Q1,real_petrol_price_cents_per_litre,269.8,269.8,0.0,pass
PED,2026Q1,log_real_petrol_price,5.597680943773655,5.597680943773655,0.0,pass
PED,2026Q1,light_petrol_vkt_total_km,0.0,7268954111.238782,,suppressed_by_ped_mode
PED,2026Q1,log_total_vkt,0.0,22.706878254488934,,suppressed_by_ped_mode
PED,2026Q1,target,0.0,1355.8193183068997,,suppressed_by_ped_mode
PED,2026Q1,log_target,,7.212161213535936,,suppressed_by_ped_mode
PED,2026Q1,unemployment_percent,5.3,5.3,0.0,pass
PED,2026Q1,unemployment_rate,0.053,0.053,0.0,pass
PED,2026Q1,log_unemployment_rate,-2.9374633654300153,-2.9374633654300153,0.0,pass
PED,2026Q1,post_2011_dummy,1.0,1.0,0.0,pass
PED,2026Q1,dummy_2020,0.0,0.0,0.0,pass
PED,2026Q1,post_2011_x_log_trend,4.574710978503383,4.574710978503383,0.0,pass
