scenario_name,series_id,FY,fed_path,component_type,value_before,value_after,abs_change,pct_change,engine
current_comparison_1,heavy_ruc_net_revenue,2030,Current planned path,replacement_line,1554.703706125548,1554.703695421354,-1.0704193982746801e-05,-6.885037927530609e-07,ensemble
current_comparison_1,light_ruc_net_revenue,2026,Current planned path,replacement_line,879.3607689037508,868.012021335747,-11.348747568003773,-1.2905678726322545,ensemble
current_comparison_1,light_ruc_net_revenue,2027,Current planned path,replacement_line,931.6403976349984,945.344221435419,13.703823800420537,1.4709349052711937,ensemble
current_comparison_1,light_ruc_net_revenue,2028,Current planned path,replacement_line,1099.6924709137568,1099.6924709137568,0.0,0.0,ensemble
current_comparison_1,light_ruc_net_revenue,2029,Current planned path,replacement_line,1211.3412392466091,1211.3412392466091,0.0,0.0,ensemble
current_comparison_1,light_ruc_net_revenue,2030,Current planned path,replacement_line,1299.194773882275,1299.194773882275,0.0,0.0,ensemble
current_comparison_1,net_fed_revenue,2026,Current planned path,calculated_rollup,2114.4051186688407,2114.4051186688407,0.0,0.0,ensemble
current_comparison_1,net_fed_revenue,2027,Current planned path,calculated_rollup,2245.825086769042,2245.825086769042,0.0,0.0,ensemble
current_comparison_1,net_fed_revenue,2028,Current planned path,calculated_rollup,2517.975036265764,2517.975036265764,0.0,0.0,ensemble
current_comparison_1,net_fed_revenue,2029,Current planned path,calculated_rollup,2673.837938921268,2673.837938921268,0.0,0.0,ensemble
current_comparison_1,net_fed_revenue,2030,Current planned path,calculated_rollup,2795.0073776783784,2795.0073776783784,0.0,0.0,ensemble
current_comparison_1,total_fed_ruc_net_revenue,2026,Current planned path,calculated_rollup,4196.271621218982,4188.920711642575,-7.350909576406593,-0.17517716296618607,ensemble
current_comparison_1,total_fed_ruc_net_revenue,2027,Current planned path,calculated_rollup,4517.44037524019,4534.030943773854,16.590568533663827,0.3672559492892413,ensemble
current_comparison_1,total_fed_ruc_net_revenue,2028,Current planned path,calculated_rollup,5194.81842965043,5195.021916706795,0.2034870563657023,0.003917115855373512,ensemble
current_comparison_1,total_fed_ruc_net_revenue,2029,Current planned path,calculated_rollup,5642.069099402784,5642.068817319923,-0.0002820828603944392,-4.999634981859719e-06,ensemble
current_comparison_1,total_fed_ruc_net_revenue,2030,Current planned path,calculated_rollup,6028.886097310822,6028.886086606628,-1.0704194210120477e-05,-1.7754845650335095e-07,ensemble
current_comparison_1,total_nltf_net_revenue,2026,Current planned path,calculated_rollup,4638.806892233985,4631.45598265758,-7.350909576405684,-0.1584655224323336,ensemble
current_comparison_1,total_nltf_net_revenue,2027,Current planned path,calculated_rollup,5031.1480270834645,5047.738595617128,16.590568533663827,0.32975711396989665,ensemble
current_comparison_1,total_nltf_net_revenue,2028,Current planned path,calculated_rollup,5702.62683961984,5702.830326676206,0.2034870563657023,0.0035683039078051888,ensemble
current_comparison_1,total_nltf_net_revenue,2029,Current planned path,calculated_rollup,6144.470109089304,6144.469827006445,-0.0002820828594849445,-4.590841105527863e-06,ensemble
current_comparison_1,total_nltf_net_revenue,2030,Current planned path,calculated_rollup,6526.327715292508,6526.327704588313,-1.0704195119615179e-05,-1.640155932490653e-07,ensemble
current_comparison_1,total_ruc_net_revenue,2026,Current planned path,calculated_rollup,2081.866502550141,2074.515592973735,-7.3509095764061385,-0.35309226443683056,ensemble
current_comparison_1,total_ruc_net_revenue,2027,Current planned path,calculated_rollup,2271.6152884711487,2288.2058570048125,16.590568533663827,0.7303423523280509,ensemble
current_comparison_1,total_ruc_net_revenue,2028,Current planned path,calculated_rollup,2676.843393384666,2677.046880441032,0.20348705636615705,0.007601754247896552,ensemble
