page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__fixedblend_schiff0.10__HEAVY_RUC__schiff__GBR_learning_rate0_05_max_depth1_n_estimators650__noylag__w64,Fixedblend Schiff0.10 | Heavy RUC | Schiff | GBM Learning R…,Candidate frontier point,4.310646199386564,Qtr 4.31% / Annual 3.93%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.310646199386564,3.934648311999717,,,,,Distribution sample,4.310646199386564,3.934648311999717,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_1_l1_ratio0_2__ylag__w52,Dynamic No Leads | Elasticnet Alpha0 1 L1 Ratio0 2 | Target…,Candidate frontier point,4.544711011755067,Qtr 4.54% / Annual 3.38%,quarterly_mape;annual_mape,top20_governance_by_stream.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.544711011755067,3.379850052776033,,,,,Distribution sample,4.544711011755067,3.379850052776033,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,Dynamic No Leads | Elasticnet Alpha0 005 L1 Ratio0 2 | Targ…,Candidate frontier point,4.323525655769734,Qtr 4.32% / Annual 4.08%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.323525655769734,4.076639249868642,,,,,Distribution sample,4.323525655769734,4.076639249868642,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__rich__GBR_learning_rate0_06_max_depth2_n_estimators150__noylag__w40,Rich | GBM Learning Rate0 06 Max Depth2 N Estimators150 | N…,Candidate frontier point,4.562113107803353,Qtr 4.56% / Annual 3.52%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.562113107803353,3.519859690597348,,,,,Distribution sample,4.562113107803353,3.519859690597348,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__rich__GBR_learning_rate0_03_max_depth2_n_estimators250__noylag__w40,Rich | GBM Learning Rate0 03 Max Depth2 N Estimators250 | N…,Candidate frontier point,4.586511494108005,Qtr 4.59% / Annual 3.57%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.586511494108005,3.5719810910747998,,,,,Distribution sample,4.586511494108005,3.5719810910747998,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__rich__GBR_learning_rate0_03_max_depth1_n_estimators400__ylag__w40,Rich | GBM Learning Rate0 03 Max Depth1 N Estimators400 | T…,Candidate frontier point,4.533019568474296,Qtr 4.53% / Annual 3.60%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.533019568474296,3.600463322188617,,,,,Distribution sample,4.533019568474296,3.600463322188617,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__rich__GBR_learning_rate0_05_max_depth2_n_estimators250__noylag__w40,Rich | GBM Learning Rate0 05 Max Depth2 N Estimators250 | N…,Candidate frontier point,4.634939754450882,Qtr 4.63% / Annual 3.60%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.634939754450882,3.597983631416783,,,,,Distribution sample,4.634939754450882,3.597983631416783,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__rich__GBR_learning_rate0_03_max_depth2_n_estimators250__noylag__w52,Rich | GBM Learning Rate0 03 Max Depth2 N Estimators250 | N…,Candidate frontier point,4.671783492387669,Qtr 4.67% / Annual 3.49%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.671783492387669,3.4869728327177163,,,,,Distribution sample,4.671783492387669,3.4869728327177163,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_06_max_depth1_n_estimators400__ylag__w52,Dynamic No Leads | GBM Learning Rate0 06 Max Depth1 N Estim…,Candidate frontier point,4.62846042276188,Qtr 4.63% / Annual 3.60%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.62846042276188,3.598495732785046,,,,,Distribution sample,4.62846042276188,3.598495732785046,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__price_distributed_lags__GBRLocal_learning_rate0_09_max_depth1_n_estimators250__noylag__w64,Price Distributed Lags | Gbmlocal Learning Rate0 09 Max Dep…,Candidate frontier point,4.80731080782307,Qtr 4.81% / Annual 3.32%,quarterly_mape;annual_mape,top20_annual_by_stream.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.80731080782307,3.3228718294669792,,,,,Distribution sample,4.80731080782307,3.3228718294669792,,,,,,,
