page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Overview,overview_finalist_forecast_accuracy,1. Finalist Forecast Accuracy,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED Rescue Static Annual Weighted Top12 Capnone,Quarterly MAPE,2.4732445831169696,2.47%,quarterly_mape,final_summary.csv,Current recommended finalist row selected from Parquet is_current_recommended flag.,,,,,,,,,,,,,,,2.4732445831169696,2.3856249442030424,,,,,,,,,,,,,,
Overview,overview_finalist_forecast_accuracy,1. Finalist Forecast Accuracy,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED Rescue Static Annual Weighted Top12 Capnone,Annual MAPE,2.3856249442030424,2.39%,annual_mape,final_summary.csv,Current recommended finalist row selected from Parquet is_current_recommended flag.,,,,,,,,,,,,,,,2.4732445831169696,2.3856249442030424,,,,,,,,,,,,,,
Overview,overview_finalist_forecast_accuracy,1. Finalist Forecast Accuracy,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Quarterly MAPE,3.484367565681976,3.48%,quarterly_mape,final_summary.csv,Current recommended finalist row selected from Parquet is_current_recommended flag.,,,,,,,,,,,,,,,3.484367565681976,3.0199801790589795,,,,,,,,,,,,,,
Overview,overview_finalist_forecast_accuracy,1. Finalist Forecast Accuracy,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Annual MAPE,3.0199801790589795,3.02%,annual_mape,final_summary.csv,Current recommended finalist row selected from Parquet is_current_recommended flag.,,,,,,,,,,,,,,,3.484367565681976,3.0199801790589795,,,,,,,,,,,,,,
Overview,overview_finalist_forecast_accuracy,1. Finalist Forecast Accuracy,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,Light Rescue Static Bias Penalty Top25 Cap0p4,Quarterly MAPE,9.14754535409187,9.15%,quarterly_mape,final_summary.csv,Current recommended finalist row selected from Parquet is_current_recommended flag.,,,,,,,,,,,,,,,9.14754535409187,5.999498868354415,,,,,,,,,,,,,,
Overview,overview_finalist_forecast_accuracy,1. Finalist Forecast Accuracy,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,Light Rescue Static Bias Penalty Top25 Cap0p4,Annual MAPE,5.999498868354415,6.00%,annual_mape,final_summary.csv,Current recommended finalist row selected from Parquet is_current_recommended flag.,,,,,,,,,,,,,,,9.14754535409187,5.999498868354415,,,,,,,,,,,,,,
