page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,4.297605738692687,4.30%,mape_h01,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,1,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,5.210653211915106,5.21%,mape_h02,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,2,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,6.372230222665831,6.37%,mape_h03,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,3,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,7.827337282732909,7.83%,mape_h04,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,4,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,9.313836252692289,9.31%,mape_h05,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,5,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,10.897009266006547,10.90%,mape_h06,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,6,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,12.565404986843598,12.57%,mape_h07,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,7,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,14.326949339832352,14.33%,mape_h08,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,8,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,15.989344897034416,15.99%,mape_h09,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,9,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,17.51887345648061,17.52%,mape_h10,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,10,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,18.96683473801409,18.97%,mape_h11,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,11,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Schiff No Lead | Schiff OLS | No Target Lags | W40,Horizon MAPE,20.49980842578737,20.50%,mape_h12,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,12,,Schiff,Schiff,,,,,,,,,,,,,,,,,,,,,,,,,
