series,quarter,FY,value,unit,revenue_basis,value_status,source_sheet,source_workbook_sheet,source_workbook_row,source_cell
PED raw actual exGST,2013Q1,2013,374094595.04,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,B5
PED raw actual exGST,2013Q2,2013,422229736.85,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,C5
PED raw actual exGST,2013Q3,2014,349235846.68,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,D5
PED raw actual exGST,2013Q4,2014,450311385.3,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,E5
PED raw actual exGST,2014Q1,2014,403250443.84,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,F5
PED raw actual exGST,2014Q2,2014,423203880.7,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,G5
PED raw actual exGST,2014Q3,2015,419164559.86,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,H5
PED raw actual exGST,2014Q4,2015,400011525.43,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,I5
PED raw actual exGST,2015Q1,2015,440902086.49,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,J5
PED raw actual exGST,2015Q2,2015,501848521.31,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,K5
PED raw actual exGST,2015Q3,2016,427407133.87,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,L5
PED raw actual exGST,2015Q4,2016,502788809.67,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,M5
PED raw actual exGST,2016Q1,2016,458312919.92,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,N5
PED raw actual exGST,2016Q2,2016,517516033.44,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,O5
PED raw actual exGST,2016Q3,2017,442342972.46,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,P5
PED raw actual exGST,2016Q4,2017,516880666.31,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,Q5
PED raw actual exGST,2017Q1,2017,461977185.16,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,R5
PED raw actual exGST,2017Q2,2017,512575876.29,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,S5
PED raw actual exGST,2017Q3,2018,485616369.39,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,T5
PED raw actual exGST,2017Q4,2018,453785517.45,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,U5
PED raw actual exGST,2018Q1,2018,508708809.52,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,V5
PED raw actual exGST,2018Q2,2018,485793959.17,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,W5
PED raw actual exGST,2018Q3,2019,473815512.39,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,X5
PED raw actual exGST,2018Q4,2019,508025131.43,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,Y5
PED raw actual exGST,2019Q1,2019,481709346.03,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,Z5
PED raw actual exGST,2019Q2,2019,552468596.98,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AA5
PED raw actual exGST,2019Q3,2020,517264869.9,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AB5
PED raw actual exGST,2019Q4,2020,536217880.31,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AC5
PED raw actual exGST,2020Q1,2020,508846085.87,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AD5
PED raw actual exGST,2020Q2,2020,352341449.58,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AE5
