series,quarter,FY,value,unit,revenue_basis,value_status,source_sheet,source_workbook_sheet,source_workbook_row,source_cell
PED raw actual exGST,2020Q3,2021,515434254.56,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AF5
PED raw actual exGST,2020Q4,2021,575716870.9,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AG5
PED raw actual exGST,2021Q1,2021,525727519.16,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AH5
PED raw actual exGST,2021Q2,2021,559359930.53,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AI5
PED raw actual exGST,2021Q3,2022,491393922.2,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AJ5
PED raw actual exGST,2021Q4,2022,434412240.36,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AK5
PED raw actual exGST,2022Q1,2022,482033989.97,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AL5
PED raw actual exGST,2022Q2,2022,358638612.57,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AM5
PED raw actual exGST,2022Q3,2023,364078637.05,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AN5
PED raw actual exGST,2022Q4,2023,250776765.64,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AO5
PED raw actual exGST,2023Q1,2023,436995810.67,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AP5
PED raw actual exGST,2023Q2,2023,297193829.23,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AQ5
PED raw actual exGST,2023Q3,2024,417141986.39,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AR5
PED raw actual exGST,2023Q4,2024,504194091.55,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AS5
PED raw actual exGST,2024Q1,2024,501549312.32,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AT5
PED raw actual exGST,2024Q2,2024,610883743.89,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AU5
PED raw actual exGST,2024Q3,2025,472073403.12,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AV5
PED raw actual exGST,2024Q4,2025,492458543.88,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AW5
PED raw actual exGST,2025Q1,2025,533994855.5,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AX5
PED raw actual exGST,2025Q2,2025,528159502.28,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AY5
PED raw actual exGST,2025Q3,2026,499249710.75,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,AZ5
PED raw actual exGST,2025Q4,2026,551836524.01,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,BA5
PED raw actual exGST,2026Q1,2026,475062158.43,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,5,BB5
PED Crown top-up,2013Q1,2013,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,B6
PED Crown top-up,2013Q2,2013,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,C6
PED Crown top-up,2013Q3,2014,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,D6
PED Crown top-up,2013Q4,2014,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,E6
PED Crown top-up,2014Q1,2014,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,F6
PED Crown top-up,2014Q2,2014,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,G6
PED Crown top-up,2014Q3,2015,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,H6
PED Crown top-up,2014Q4,2015,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,I6
PED Crown top-up,2015Q1,2015,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,J6
PED Crown top-up,2015Q2,2015,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,K6
PED Crown top-up,2015Q3,2016,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,L6
PED Crown top-up,2015Q4,2016,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,M6
PED Crown top-up,2016Q1,2016,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,N6
PED Crown top-up,2016Q2,2016,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,O6
PED Crown top-up,2016Q3,2017,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,P6
PED Crown top-up,2016Q4,2017,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,Q6
PED Crown top-up,2017Q1,2017,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,R6
PED Crown top-up,2017Q2,2017,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,S6
PED Crown top-up,2017Q3,2018,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,T6
PED Crown top-up,2017Q4,2018,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,U6
PED Crown top-up,2018Q1,2018,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,V6
PED Crown top-up,2018Q2,2018,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,W6
PED Crown top-up,2018Q3,2019,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,X6
PED Crown top-up,2018Q4,2019,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,Y6
PED Crown top-up,2019Q1,2019,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,Z6
PED Crown top-up,2019Q2,2019,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AA6
PED Crown top-up,2019Q3,2020,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AB6
PED Crown top-up,2019Q4,2020,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AC6
PED Crown top-up,2020Q1,2020,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AD6
PED Crown top-up,2020Q2,2020,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AE6
PED Crown top-up,2020Q3,2021,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AF6
PED Crown top-up,2020Q4,2021,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AG6
PED Crown top-up,2021Q1,2021,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AH6
PED Crown top-up,2021Q2,2021,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AI6
PED Crown top-up,2021Q3,2022,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AJ6
PED Crown top-up,2021Q4,2022,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AK6
PED Crown top-up,2022Q1,2022,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AL6
PED Crown top-up,2022Q2,2022,199137467,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AM6
PED Crown top-up,2022Q3,2023,202158091.8232498,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AN6
PED Crown top-up,2022Q4,2023,139246160.7364961,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AO6
PED Crown top-up,2023Q1,2023,242646039.1513416,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AP6
PED Crown top-up,2023Q2,2023,141637134.1529197,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AQ6
PED Crown top-up,2023Q3,2024,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AR6
PED Crown top-up,2023Q4,2024,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AS6
PED Crown top-up,2024Q1,2024,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AT6
PED Crown top-up,2024Q2,2024,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AU6
PED Crown top-up,2024Q3,2025,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AV6
PED Crown top-up,2024Q4,2025,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AW6
PED Crown top-up,2025Q1,2025,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AX6
PED Crown top-up,2025Q2,2025,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AY6
PED Crown top-up,2025Q3,2026,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,AZ6
PED Crown top-up,2025Q4,2026,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,BA6
PED Crown top-up,2026Q1,2026,0,$m nominal ex GST,net,actual,Quarterly actuals,Quarterly actuals,6,BB6
PED actual incl Crown,2013Q1,2013,374094595.04,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,B7
PED actual incl Crown,2013Q2,2013,422229736.85,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,C7
PED actual incl Crown,2013Q3,2014,349235846.68,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,D7
PED actual incl Crown,2013Q4,2014,450311385.3,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,E7
PED actual incl Crown,2014Q1,2014,403250443.84,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,F7
PED actual incl Crown,2014Q2,2014,423203880.7,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,G7
PED actual incl Crown,2014Q3,2015,419164559.86,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,H7
PED actual incl Crown,2014Q4,2015,400011525.43,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,I7
PED actual incl Crown,2015Q1,2015,440902086.49,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,J7
PED actual incl Crown,2015Q2,2015,501848521.31,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,K7
PED actual incl Crown,2015Q3,2016,427407133.87,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,L7
PED actual incl Crown,2015Q4,2016,502788809.67,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,M7
PED actual incl Crown,2016Q1,2016,458312919.92,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,N7
PED actual incl Crown,2016Q2,2016,517516033.44,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,O7
PED actual incl Crown,2016Q3,2017,442342972.46,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,P7
PED actual incl Crown,2016Q4,2017,516880666.31,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,Q7
PED actual incl Crown,2017Q1,2017,461977185.16,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,R7
PED actual incl Crown,2017Q2,2017,512575876.29,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,S7
PED actual incl Crown,2017Q3,2018,485616369.39,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,T7
PED actual incl Crown,2017Q4,2018,453785517.45,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,U7
PED actual incl Crown,2018Q1,2018,508708809.52,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,V7
PED actual incl Crown,2018Q2,2018,485793959.17,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,W7
PED actual incl Crown,2018Q3,2019,473815512.39,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,X7
PED actual incl Crown,2018Q4,2019,508025131.43,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,Y7
PED actual incl Crown,2019Q1,2019,481709346.03,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,Z7
PED actual incl Crown,2019Q2,2019,552468596.98,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AA7
PED actual incl Crown,2019Q3,2020,517264869.9,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AB7
PED actual incl Crown,2019Q4,2020,536217880.31,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AC7
PED actual incl Crown,2020Q1,2020,508846085.87,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AD7
PED actual incl Crown,2020Q2,2020,352341449.58,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AE7
PED actual incl Crown,2020Q3,2021,515434254.56,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AF7
PED actual incl Crown,2020Q4,2021,575716870.9,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AG7
PED actual incl Crown,2021Q1,2021,525727519.16,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AH7
PED actual incl Crown,2021Q2,2021,559359930.53,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AI7
PED actual incl Crown,2021Q3,2022,491393922.2,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AJ7
PED actual incl Crown,2021Q4,2022,434412240.36,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AK7
PED actual incl Crown,2022Q1,2022,482033989.97,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AL7
PED actual incl Crown,2022Q2,2022,557776079.5699999,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AM7
PED actual incl Crown,2022Q3,2023,566236728.8732498,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AN7
PED actual incl Crown,2022Q4,2023,390022926.3764961,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AO7
PED actual incl Crown,2023Q1,2023,679641849.8213416,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AP7
PED actual incl Crown,2023Q2,2023,438830963.3829197,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AQ7
PED actual incl Crown,2023Q3,2024,417141986.39,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AR7
PED actual incl Crown,2023Q4,2024,504194091.55,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AS7
PED actual incl Crown,2024Q1,2024,501549312.32,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AT7
PED actual incl Crown,2024Q2,2024,610883743.89,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AU7
PED actual incl Crown,2024Q3,2025,472073403.12,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AV7
PED actual incl Crown,2024Q4,2025,492458543.88,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AW7
PED actual incl Crown,2025Q1,2025,533994855.5,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AX7
PED actual incl Crown,2025Q2,2025,528159502.28,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AY7
PED actual incl Crown,2025Q3,2026,499249710.75,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,AZ7
PED actual incl Crown,2025Q4,2026,551836524.01,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BA7
PED actual incl Crown,2026Q1,2026,475062158.43,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BB7
PED actual incl Crown,2026Q2,2026,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BC7
PED actual incl Crown,2026Q3,2027,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BD7
PED actual incl Crown,2026Q4,2027,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BE7
PED actual incl Crown,2027Q1,2027,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BF7
PED actual incl Crown,2027Q2,2027,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BG7
PED actual incl Crown,2027Q3,2028,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BH7
PED actual incl Crown,2027Q4,2028,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BI7
PED actual incl Crown,2028Q1,2028,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BJ7
PED actual incl Crown,2028Q2,2028,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BK7
PED actual incl Crown,2028Q3,2029,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BL7
PED actual incl Crown,2028Q4,2029,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BM7
PED actual incl Crown,2029Q1,2029,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BN7
PED actual incl Crown,2029Q2,2029,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BO7
PED actual incl Crown,2029Q3,2030,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BP7
PED actual incl Crown,2029Q4,2030,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BQ7
PED actual incl Crown,2030Q1,2030,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BR7
PED actual incl Crown,2030Q2,2030,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BS7
PED actual incl Crown,2030Q3,2031,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BT7
PED actual incl Crown,2030Q4,2031,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BU7
PED actual incl Crown,2031Q1,2031,0,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,7,BV7
Light RUC raw actual exGST,2013Q1,2013,81276607.52,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,B8
Light RUC raw actual exGST,2013Q2,2013,86844235.82,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,C8
Light RUC raw actual exGST,2013Q3,2014,97985131.04,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,D8
Light RUC raw actual exGST,2013Q4,2014,108474657.87,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,E8
Light RUC raw actual exGST,2014Q1,2014,100365355.53,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,F8
Light RUC raw actual exGST,2014Q2,2014,108298290.93,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,G8
Light RUC raw actual exGST,2014Q3,2015,113862095.62,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,H8
Light RUC raw actual exGST,2014Q4,2015,123193024,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,I8
Light RUC raw actual exGST,2015Q1,2015,115092028.62,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,J8
Light RUC raw actual exGST,2015Q2,2015,117661335.97,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,K8
Light RUC raw actual exGST,2015Q3,2016,127475695.86,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,L8
Light RUC raw actual exGST,2015Q4,2016,132355974.34,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,M8
Light RUC raw actual exGST,2016Q1,2016,131296934.15,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,N8
Light RUC raw actual exGST,2016Q2,2016,133400543.54,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,O8
Light RUC raw actual exGST,2016Q3,2017,118708400.26,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,P8
Light RUC raw actual exGST,2016Q4,2017,125337766.57,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,Q8
Light RUC raw actual exGST,2017Q1,2017,123110395.85,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,R8
Light RUC raw actual exGST,2017Q2,2017,123702429.97,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,S8
Light RUC raw actual exGST,2017Q3,2018,125474676.02,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,T8
Light RUC raw actual exGST,2017Q4,2018,135425827.35,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,U8
Light RUC raw actual exGST,2018Q1,2018,129746581.03,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,V8
Light RUC raw actual exGST,2018Q2,2018,132176504.3,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,W8
Light RUC raw actual exGST,2018Q3,2019,160110842.19,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,X8
Light RUC raw actual exGST,2018Q4,2019,175305341.91,$ nominal ex GST,nominal_ex_gst,actual,Quarterly actuals,Quarterly actuals,8,Y8
