series,horizon_june_years,n,p10,p25,median,p75,p90,mean_error,80_band_width,50_band_width,key,source_sheet,source_workbook_sheet,source_workbook_row,source_cell
Total RUC+PED revenue,0,27,-0.033004647704102046,-0.02332016054769301,-0.012619817877002322,0.0012431114117638507,0.011584042077066438,-0.02017478908026206,0.044588689781168485,0.02456327195945686,Total RUC+PED revenue0,Error bands,Error bands,5,A5:L5
Total RUC+PED revenue,1,52,-0.058360555404889936,-0.026751200476997968,-0.007917820940566126,0.046232279296489334,0.07248481912193111,-0.004253093218037777,0.13084537452682105,0.0729834797734873,Total RUC+PED revenue1,Error bands,Error bands,6,A6:L6
Total RUC+PED revenue,2,48,-0.045822505318074705,-0.02858003860733239,0.009485835193470175,0.046479253366291766,0.08700520484129401,0.015548077933204894,0.13282771015936873,0.07505929197362415,Total RUC+PED revenue2,Error bands,Error bands,7,A7:L7
Total RUC+PED revenue,3,43,-0.042965819012375873,-0.02999607085814259,0.013995966167506405,0.0735571297679638,0.12640295937696464,0.023666081753197565,0.1693687783893405,0.1035532006261064,Total RUC+PED revenue3,Error bands,Error bands,8,A8:L8
Total RUC+PED revenue,4,39,-0.06596396709502886,-0.04872783269490588,-0.023086616099077757,0.10437603721470558,0.14234384601428954,0.022833429182471995,0.2083078131093184,0.15310386990961145,Total RUC+PED revenue4,Error bands,Error bands,9,A9:L9
Total RUC+PED revenue,5,34,-0.06899008278640553,-0.05222827912639788,-0.014808358161962847,0.10156659139560034,0.13881688390125657,0.013433256389236137,0.2078069666876621,0.15379487052199822,Total RUC+PED revenue5,Error bands,Error bands,10,A10:L10
Total RUC+PED revenue,6,29,-0.06582746647505638,-0.046531448812458534,-0.008682211954379992,0.03985410177766175,0.1342694968164282,0.005427274617763298,0.20009696329148458,0.08638555059012029,Total RUC+PED revenue6,Error bands,Error bands,11,A11:L11
Total RUC+PED revenue,7,25,-0.09189707256314175,-0.03621012848153777,0.0007885495150546259,0.04111624078998175,0.1061676131773873,0.001269774972139803,0.19806468574052905,0.07732636927151952,Total RUC+PED revenue7,Error bands,Error bands,12,A12:L12
Total RUC+PED revenue,8,21,-0.04693038779964988,-0.03708756867528562,-0.0022171888001505297,0.04854761781965431,0.09686434440895979,0.009473129713423054,0.14379473220860967,0.08563518649493992,Total RUC+PED revenue8,Error bands,Error bands,13,A13:L13
Total RUC+PED revenue,9,16,-0.0851301560147941,-0.016859856446535718,0.00785110452923018,0.07113444872141368,0.08010347086128178,0.008293966604478493,0.16523362687607587,0.0879943051679494,Total RUC+PED revenue9,Error bands,Error bands,14,A14:L14
Total RUC+PED revenue,10,8,-0.008734863071089505,0.013095389269643543,0.058663534417589466,0.05905847725811934,0.060682422178137234,0.0348541258040088,0.06941728524922675,0.0459630879884758,Total RUC+PED revenue10,Error bands,Error bands,15,A15:L15
