stream,stream_label,scenario,model,model_short,score_basis,eval_grid,horizon,n,mape,bias_pct,source_dataset,source_column,calculation_basis,value_available
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,7,10,2.691452448895128,-1.2494811313259633,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,8,9,2.77541382638844,-1.4267749801690748,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,9,8,2.435979908554022,-1.006963563401485,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,10,7,3.0152399103900653,0.05980718303580672,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,11,6,4.2302788639030355,1.482706882086764,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,12,5,4.906261233772236,2.843595854615126,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,1,41,3.2226445133980977,2.6514616186801785,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2,40,4.8663010535387965,4.383556886201485,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,3,39,6.101067729149552,5.757212214768422,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,4,38,7.044161584814237,6.732798876405733,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,5,37,8.039100189340727,7.957382189524859,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,6,36,8.485074932741657,8.424460265758434,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,7,35,8.960541102963582,8.915336792979828,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,8,34,9.311424809061755,9.17015855488543,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,9,33,9.829682024009491,9.687966304166679,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,10,32,9.892615256412752,9.758476697799688,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,11,31,10.1014870960089,9.939977737870786,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,12,30,10.109240300862021,9.907172185921125,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,1,16,3.384178808162318,2.737010617805776,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2,15,5.619373964572807,5.075588808760088,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,3,14,7.68423752433131,7.202344519048838,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,4,13,8.464055935251308,8.11294797599561,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,5,12,9.118235266296852,9.113792697007236,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,6,11,9.692246427307197,9.63676528903773,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,7,10,10.632842718111759,10.56218591959266,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,8,9,11.23144243630809,10.697769920530863,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,9,8,11.161846219523284,10.577268875171686,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,10,7,10.020399168263106,9.407194328889105,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,11,6,8.719935741500406,7.885470724453486,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,12,5,9.411027114773407,8.198618425128018,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,1,42,6.131742404188375,1.2378574322833935,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,2,41,6.961037451742156,1.4481463534980645,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,3,40,6.251512042721393,1.3621582500745053,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,4,39,6.063645748102111,1.7923676587777886,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,5,38,7.249539559152897,2.1104322225483543,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,6,37,7.833534610481852,2.2505552033173517,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,7,36,8.291708297152176,2.173051207317406,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
