stream,stream_label,scenario,model,model_short,horizon,n,mape,bias_pct,source_dataset,source_column,calculation_basis,value_available
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,3,40,6.3722302226658325,5.322651953616873,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,4,39,7.827337282732908,6.842927238107377,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,5,38,9.313836252692285,8.557175612486576,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,6,37,10.897009266006547,10.338299177005418,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,7,36,12.5654049868436,11.990237964324868,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,8,35,14.326949339832355,13.69918005637697,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,9,34,15.989344897034421,15.450605960470167,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,10,33,17.51887345648061,17.16630882828069,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,11,32,18.966834738014086,18.717717269993877,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,HEAVY RUC  schiff no lead  SCHIFF OLS  noylag  w40,12,31,20.499808425787375,20.213292092494772,heavy_ruc_fullgrid_rescue_closure/ensemble_or_all_quarterly_predictions.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
