stream,stream_label,paired_common_pairs,paired_finalist_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct
HEAVY_RUC,Heavy RUC volume,426,3.4726907825144004,7.800196102220403,4.3275053197060025,65.49295774647888
LIGHT_RUC,Light RUC volume,426,9.174233299451487,8.412939078097965,-0.7612942213535216,46.71361502347418
PED,PED VKT per capita,606,2.473244583116969,4.091570459286396,1.6183258761694272,76.73267326732673
