candidate_uid,stream,stream_label,model,model_short,run_source,source_file,source_family,model_kind,feature_set,family_tag,include_target_lags,window,n_quarterly_pairs,n_origins,quarterly_mape,annual_mape,quarterly_bias_pct,annual_bias_pct,quarterly_p90_ape,annual_p90_ape,quarterly_rmse,mape_h01_04,mape_h05_08,mape_h09_12,selection_score,performance_distance,performance_rank_within_stream,performance_percentile,performance_decile,decile_sample_rank,candidate_role,include_reason,is_current_recommended,is_pure_schiff,is_pdf_reference,is_pareto_frontier,is_top_quarterly,is_top_annual,is_top_governance,is_solver,is_static_solver,is_prequential,is_hpo,is_rescue,is_heavy_reconciliation,plot_role,plot_marker,plot_size,plot_alpha,quarterly_mape_label,annual_mape_label,quarterly_bias_label,model_readout,curated_sample_method,is_curated_cone_sample,cone_x_quarterly_mape,cone_y_annual_mape,mape_h01,mape_h02,mape_h03,mape_h04,mape_h05,mape_h06,mape_h07,mape_h08,mape_h09,mape_h10,mape_h11,mape_h12,n_annual_pairs,governance_score,is_schiff_name,is_residual_or_blend,feature_family,model_uid,run_id,h1_4_mape,h1_4_n,h5_8_mape,h5_8_n,h9_12_mape,h9_12_n,recent_2024_plus_mape,recent_2024_plus_bias_pct,recent_2024_plus_n,policy_2022_23_mape,policy_2022_23_bias_pct,policy_2022_23_n,abs_quarterly_bias,abs_annual_bias,source_family_anchor,diag_n_h1,diag_mape_h1,diag_bias_h1_pct,diag_p90_ape_h1,diag_acf1_resid,diag_durbin_watson,diag_ljungbox_p_lag4,diag_ljungbox_p_lag8,diag_ljungbox_p_lag12,diag_adf_p_resid,diag_kpss_p_resid,diag_jarque_bera_p,diag_skew_resid,diag_kurtosis_resid,diag_shapiro_p,diag_breusch_pagan_p,diag_white_p,diag_arch_lm_p,diag_coint_p_actual_pred,diag_mz_intercept,diag_mz_slope,diag_mz_r2,diag_mz_f_p,diag_pass_no_autocorr_lb8,diag_pass_dw_range,diag_pass_adf_stationary,diag_pass_kpss_stationary,diag_pass_no_hetero_bp,diag_pass_no_arch,diag_pass_coint,diag_pass_normal_jb,diagnostic_role,diagnostic_available,stress_h1_4_mape,stress_h5_8_mape,stress_h9_12_mape,stress_2024plus_mape,stress_2022_23_mape,stress_annual_mape,stress_1_4_qtrs_mape,stress_5_8_qtrs_mape,stress_9_12_qtrs_mape,paired_common_pairs,paired_schiff_mape,paired_model_mape,paired_improvement_pp,paired_win_rate_pct,ensemble_component_count,ensemble_max_weight,ensemble_top_component,ensemble_top_component_short,ensemble_weight_entropy,ensemble_components_json,annual_mape_filled,abs_quarterly_bias_pct,is_primary_schiff_benchmark,is_extreme_outlier,plot_default_include,plot_q_cap,plot_a_cap,params_json,is_frontier,is_distribution_sample,paired_win_rate,paired_gain_vs_schiff_pp,is_plot_candidate
9fef32ccb378a92c,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RESCUE_static_q_top25_cap0p6,Heavy RESCUE static q top25 cap0p6,candidate_rescue,final_summary.csv,rescued_ensemble,rescued_ensemble,ensemble,,,,180.0,15.0,2.713681770934347,1.545207254074279,0.416999225091258,0.1330324094774287,5.412240650917268,3.339374731649095,36850695.28700028,,,,3.2962042323694702,3.122776683009073,1.0,0.0,1.0,1,Distribution sample,top_quarterly|top_annual|top_governance,False,False,False,False,True,True,True,False,True,False,False,True,False,Distribution sample,circle,6,0.35,2.71%,1.55%,+0.42%,Representative candidate from performance decile 1.,decile_10_per_stream_plus_mandatory_roles,True,2.713681770934347,1.545207254074279,,,,,,,,,,,,,34.0,0.1593698175787728,False,True,,RESCUE::HEAVY_RUC__RESCUE_static_q_top25_cap0p6,RESCUE,3.5043399834062634,60.0,2.4809505318732805,60.0,2.155754797523497,60.0,1.6597614371495415,1.189813198442747,36.0,2.705537525119772,-0.2918018621852569,89.0,0.416999225091258,0.1330324094774287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,1.6597614371495415,2.705537525119772,1.545207254074279,3.5043399834062634,2.4809505318732805,2.155754797523497,,,,,,2.0,0.5411884766808032,heavy_recon::HEAVY_RUC__solver_static_convex_top18,heavy recon::HEAVY RUC | Static solver top-18,0.6897503514425314,"[{""component_model"": ""heavy_recon::HEAVY_RUC__solver_static_convex_top18"", ""weight"": 0.5411884766808032, ""component_short"": ""heavy recon::HEAVY RUC | Static solver top-18""}, {""component_model"": ""bespoke_solver::HEAVY_RUC__solver_static_convex_top18"", ""weight"": 0.4588115233191968, ""component_short"": ""bespoke solver::HEAVY RUC | Static solver top-18""}]",1.545207254074279,0.416999225091258,False,False,True,13.199305513212312,13.511117848065888,,False,True,,,True
df6e7684a1e93456,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RESCUE_static_q_top25_capnone,Heavy RESCUE static q top25 capnone,candidate_rescue,final_summary.csv,rescued_ensemble,rescued_ensemble,ensemble,,,,180.0,15.0,2.713681770934343,1.5452072540741706,0.4169992250917252,0.1330324094778823,5.412240650916847,3.3393747316493023,36850695.286999695,,,,3.296204232369475,3.1227766830090156,2.0,0.02594033722438392,1.0,2,Pareto frontier,pareto_frontier|top_quarterly|top_annual|top_governance,False,False,False,True,True,True,True,False,True,False,False,True,False,Pareto frontier,circle,9,0.85,2.71%,1.55%,+0.42%,Pareto-frontier candidate for Heavy RUC volume: competitive on quarterly and annual MAPE.,decile_10_per_stream_plus_mandatory_roles,True,2.713681770934343,1.5452072540741706,,,,,,,,,,,,,34.0,0.1582089552238806,False,True,,RESCUE::HEAVY_RUC__RESCUE_static_q_top25_capnone,RESCUE,3.5043399834062594,60.0,2.4809505318731344,60.0,2.1557547975236355,60.0,1.6597614371496854,1.1898131984427498,36.0,2.705537525119622,-0.291801862184543,89.0,0.4169992250917252,0.1330324094778823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,1.6597614371496854,2.705537525119622,1.5452072540741706,3.5043399834062594,2.4809505318731344,2.1557547975236355,,,,,,2.0,0.5411884766810418,heavy_recon::HEAVY_RUC__solver_static_convex_top18,heavy recon::HEAVY RUC | Static solver top-18,0.6897503514424919,"[{""component_model"": ""heavy_recon::HEAVY_RUC__solver_static_convex_top18"", ""weight"": 0.5411884766810418, ""component_short"": ""heavy recon::HEAVY RUC | Static solver top-18""}, {""component_model"": ""bespoke_solver::HEAVY_RUC__solver_static_convex_top18"", ""weight"": 0.4588115233189582, ""component_short"": ""bespoke solver::HEAVY RUC | Static solver top-18""}]",1.5452072540741706,0.4169992250917252,False,False,True,13.199305513212312,13.511117848065888,,True,True,,,True
9a640c653c361a6f,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RESCUE_static_stress_aware_top25_capnone,Heavy RESCUE static stress aware top25 capnone,candidate_rescue,final_summary.csv,rescued_ensemble,rescued_ensemble,ensemble,,,,180.0,15.0,2.7183774422450826,1.5303675728921895,0.5472141644648676,0.2594641147995022,5.519062830577664,3.39754118592954,36768976.80832034,,,,3.3087275092038357,3.1195513822770815,18.0,0.4409857328145266,1.0,3,Distribution sample,top_annual,False,False,False,False,False,True,False,False,True,False,False,True,False,Distribution sample,circle,6,0.35,2.72%,1.53%,+0.55%,Representative candidate from performance decile 1.,decile_10_per_stream_plus_mandatory_roles,True,2.7183774422450826,1.5303675728921895,,,,,,,,,,,,,34.0,0.1691542288557214,False,True,,RESCUE::HEAVY_RUC__RESCUE_static_stress_aware_top25_capnone,RESCUE,3.514147100325253,60.0,2.44709135918489,60.0,2.193893867225103,60.0,1.6993431140645026,1.1903892160867533,36.0,2.6680808605702127,-0.0930114086880706,89.0,0.5472141644648676,0.2594641147995022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,1.6993431140645026,2.6680808605702127,1.5303675728921895,3.514147100325253,2.44709135918489,2.193893867225103,,,,,,2.0,0.6077132997711538,heavy_recon::HEAVY_RUC__solver_static_convex_top18,heavy recon::HEAVY RUC | Static solver top-18,0.6697599735940309,"[{""component_model"": ""heavy_recon::HEAVY_RUC__solver_static_convex_top18"", ""weight"": 0.6077132997711538, ""component_short"": ""heavy recon::HEAVY RUC | Static solver top-18""}, {""component_model"": ""bespoke_solver::HEAVY_RUC__solver_static_convex_top18"", ""weight"": 0.3922867002288461, ""component_short"": ""bespoke solver::HEAVY RUC | Static solver top-18""}]",1.5303675728921895,0.5472141644648676,False,False,True,13.199305513212312,13.511117848065888,,False,True,,,True
4f4e186016c43466,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous PDF/reference finalist,candidate_rescue,derived_reference,pdf_reference,reference,reference,reference,,,,,3.27657,2.445,,,,,,,,,4.13232,4.0882680886776495,142.0,3.6575875486381326,1.0,4,Previous PDF/reference,pdf_reference,False,False,True,False,False,False,False,False,False,False,False,True,False,Previous PDF/reference,diamond-open,13,1.0,3.28%,2.44%,n/a,Previous PDF/reference finalist for Heavy RUC volume; included for continuity.,decile_10_per_stream_plus_mandatory_roles,True,3.27657,2.445,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,2.445,,False,False,True,13.199305513212312,13.511117848065888,,False,True,,,True
83c0ce40d1dc9f41,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,RECON STATIC REBUILT,heavy_fullgrid_closure,final_summary.csv,posthoc_ensemble,fixed_recon_static_rebuilt,ensemble,fixed_recon_static_rebuilt,mixed,mixed,450.0,43.0,3.484367565681976,3.0199801790589795,-0.095777816671638,-0.2205598315467692,6.50589313047004,6.622549660874692,104085459.79861084,2.8020650858062384,3.543246019172668,4.268496392837583,4.550938410019783,4.6109757768487185,153.0,3.942931258106355,1.0,5,Recommended finalist,recommended_finalist,True,False,False,False,False,False,False,False,True,False,False,False,True,Recommended finalist,star,18,1.0,3.48%,3.02%,-0.10%,"Selected finalist for Heavy RUC volume: 3.48% quarterly MAPE, 3.02% annual MAPE, -0.10% bias.",decile_10_per_stream_plus_mandatory_roles,True,3.484367565681976,3.0199801790589795,2.775199949986987,2.752881066535021,2.914943710824301,2.7669300984679293,3.3466637119641165,3.372622071073746,3.601792016259141,3.876833386557584,4.243017051329121,4.007454473435774,4.357404572622521,4.482548625044978,78.0,0.0252923976608187,False,False,,,,,,,,,,,,,,,,,,,42.0,2.775199949986987,-0.2089240003556833,5.045875008702281,-0.152161998282964,2.2533271825735,0.3175923901242762,0.7376895823454219,0.8409931473560943,1.5563427157725e-10,0.1,0.04891770703152145,-0.7977218085751366,0.9504017481313825,0.02903204765848482,0.9461915739641533,0.9532918508810903,1.0,9.052966060680013e-10,32426429.24365157,0.9706732140705262,0.5953786117256743,2.213094111585631e-09,True,True,True,True,True,1.0,True,False,Our finalist,True,,,,,,,,,,438.0,11.48264346093783,3.484367565681976,7.998275895255855,64.15525114155251,4.0,0.469332,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,Dynamic no-leads | ElasticNet alpha0 005 l1 ratio0 2 | target lags | w64,1.2273231748663893,"[{""component_model"": ""HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64"", ""weight"": 0.469332, ""component_short"": ""Dynamic no-leads | ElasticNet alpha0 005 l1 ratio0 2 | target lags | w64""}, {""component_model"": ""HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64"", ""weight"": 0.281844, ""component_short"": ""Schiff | GBM learning rate0 06 max depth1 n estimators650 | no target lags | w64""}, {""component_model"": ""HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52"", ""weight"": 0.144373, ""component_short"": ""Dynamic no-leads | GBM learning rate0 08 max depth1 n estimators400 | target la…""}, {""component_model"": ""HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40"", ""weight"": 0.104451, ""component_short"": ""Dynamic no-leads | GBM learning rate0 08 max depth1 n estimators150 | target la…""}]",3.0199801790589795,0.095777816671638,False,False,True,13.199305513212312,13.511117848065888,"{""method"": ""fixed_recon_static_rebuilt"", ""models"": [""HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64"", ""HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64"", ""HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52"", ""HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40""], ""weights"": {""HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64"": 0.469332, ""HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40"": 0.104451, ""HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52"": 0.144373, ""HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64"": 0.281844}}",False,True,64.15525114155251,7.998275895255855,True
443ff07c843d4d55,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous PDF/reference finalist,pdf_expected_direct,derived_reference,pdf_reference,reference,reference,reference,,,,,3.8,3.07,,,,,,,,,4.874499999999999,4.885171440185083,198.0,5.110246433203631,1.0,6,Previous PDF/reference,pdf_reference,False,False,True,False,False,False,False,False,False,False,False,False,False,Previous PDF/reference,diamond-open,13,1.0,3.80%,3.07%,n/a,Previous PDF/reference finalist for Heavy RUC volume; included for continuity.,decile_10_per_stream_plus_mandatory_roles,True,3.8,3.07,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,3.07,,False,False,True,13.199305513212312,13.511117848065888,,False,True,,,True
958cbe163ade246c,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous PDF/reference finalist,hpo_refinement,derived_reference,pdf_reference,reference,reference,reference,,,,,3.8,3.07,,,,,,,,,4.874499999999999,4.885171440185083,199.0,5.136186770428015,1.0,7,Previous PDF/reference,pdf_reference,False,False,True,False,False,False,False,False,False,False,True,False,False,Previous PDF/reference,diamond-open,13,1.0,3.80%,3.07%,n/a,Previous PDF/reference finalist for Heavy RUC volume; included for continuity.,decile_10_per_stream_plus_mandatory_roles,True,3.8,3.07,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,3.07,,False,False,True,13.199305513212312,13.511117848065888,,False,True,,,True
c874525262d8dc52,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous PDF/reference finalist,heavy_reconciliation,derived_reference,pdf_reference,reference,reference,reference,,,,,3.8,3.07,,,,,,,,,4.874499999999999,4.885171440185083,200.0,5.162127107652399,1.0,8,Previous PDF/reference,pdf_reference,False,False,True,False,False,False,False,False,False,False,False,False,True,Previous PDF/reference,diamond-open,13,1.0,3.80%,3.07%,n/a,Previous PDF/reference finalist for Heavy RUC volume; included for continuity.,decile_10_per_stream_plus_mandatory_roles,True,3.8,3.07,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,3.07,,False,False,True,13.199305513212312,13.511117848065888,,False,True,,,True
2523ea986587f3d4,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous PDF/reference finalist,heavy_fullgrid_closure,derived_reference,pdf_reference,reference,reference,reference,,,,,3.8,3.07,,,,,,,,,4.874499999999999,4.885171440185083,201.0,5.188067444876784,1.0,9,Previous PDF/reference,pdf_reference,False,False,True,False,False,False,False,False,False,False,False,False,True,Previous PDF/reference,diamond-open,13,1.0,3.80%,3.07%,n/a,Previous PDF/reference finalist for Heavy RUC volume; included for continuity.,decile_10_per_stream_plus_mandatory_roles,True,3.8,3.07,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,3.07,,False,False,True,13.199305513212312,13.511117848065888,,False,True,,,True
c19994611c104ee4,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous PDF/reference finalist,arbitration_visual,derived_reference,pdf_reference,reference,reference,reference,,,,,3.8,3.07,,,,,,,,,4.874499999999999,4.885171440185083,202.0,5.214007782101167,1.0,10,Previous PDF/reference,pdf_reference,False,False,True,False,False,False,False,False,False,False,False,False,False,Previous PDF/reference,diamond-open,13,1.0,3.80%,3.07%,n/a,Previous PDF/reference finalist for Heavy RUC volume; included for continuity.,decile_10_per_stream_plus_mandatory_roles,True,3.8,3.07,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,3.07,,False,False,True,13.199305513212312,13.511117848065888,,False,True,,,True
