model,operational_n,operational_pooled_mape,operational_horizon_mean_mape,operational_bias_pct,operational_annual_mape,operational_h09_12_mape,paper_n,paper_horizon_mean_mape,paper_pooled_mape,paper_bias_pct,paper_annual_mape,paper_h09_12_mape,decision_score
ENSEMBLE_dual_top12_mean,438,7.748196250262485,7.86939695079143,1.4830147038118633,5.980397751021734,9.327044957388818,126.0,6.442091763578065,5.7075572006232,-0.1310359668283769,3.530953438625468,9.695152650260129,16.431728697079343
ENSEMBLE_dual_top12_median,438,7.742605601349161,7.863962493471579,1.4525921437499372,5.9528522274393465,9.311827629731766,126.0,6.447241285806214,5.70929110884906,-0.2166242913512568,3.496027415314852,9.6868190016075,16.41860438113414
ENSEMBLE_dual_top3_mean,438,7.7122477984436415,7.8405005996390145,1.2556656976053844,5.920217072076715,9.427277566301996,126.0,6.818031172406521,5.849919904387484,-0.2271127803196504,3.439339318318301,11.018878806616462,16.727921515837554
ENSEMBLE_dual_top3_median,438,7.710469022499808,7.838844099563684,1.2625660330770658,5.918905316838016,9.427344125432954,126.0,6.818147177957574,5.847561171380253,-0.2105287767159628,3.429067938680935,11.02961096693404,16.72648966465839
ENSEMBLE_dual_top5_mean,438,7.69203801095848,7.81371748074866,1.5060110979744457,5.96663494230386,9.286913482503303,126.0,6.457948938762928,5.657890869145332,0.1114490447123136,3.434454889252033,9.98470800107198,16.388910289325203
ENSEMBLE_dual_top5_median,438,7.707247722143952,7.83544978336464,1.2582713404555734,5.91865917981216,9.420440199034529,126.0,6.797238638638025,5.8336722124135,-0.22248734984797,3.429067938680935,10.976791028368584,16.70184420776179
ENSEMBLE_dual_top8_mean,438,7.70609734346435,7.8254425342701746,1.502183324185297,6.012524686399754,9.261275851603097,126.0,6.375119004838048,5.636027784995766,0.04054363543059,3.527114844084494,9.648689478711056,16.33581832096084
ENSEMBLE_dual_top8_median,438,7.699918806382541,7.819904320768927,1.4717188603043203,5.992488250412511,9.255583547790836,126.0,6.338572367398135,5.6072432556011895,-0.0288122940721992,3.446414701165291,9.545767115242448,16.283033947455486
Evidence pack Schiff specification,426,8.412939078097965,8.579776965624294,2.0664473565533976,5.985569996352899,10.518879056380344,186.0,7.588900949700736,6.982013504906712,-2.3225353264199144,5.994759721147253,10.95854774817491,18.303434262177557
Evidence pack current finalist,438,9.147545354091868,9.260528371335491,0.7381252017566641,5.999498868354414,10.53846183202701,198.0,8.162040096266965,7.801018037853538,-3.4301911297598617,6.572887815160198,10.204931534764077,19.483222574458544
dynamic_expanding_Elastic_a0.001_l10.15,438,11.168068774840137,11.303266056935746,4.595383221591408,8.936109930198782,12.700650590769907,126.0,10.56359609802336,9.44977638435538,3.776988923317351,2.4066447147347447,15.011298289772544,25.318841670592207
dynamic_expanding_Elastic_a0.001_l10.3,438,10.749672634352237,10.871182173597148,3.745800567880736,8.442942530688669,12.124943813692992,126.0,10.427004897066452,9.344341535123284,2.98106112368166,3.057416962120445,14.811737075516907,24.506287473947797
dynamic_expanding_Elastic_a0.001_l10.5,438,10.454188775148564,10.56005172642057,3.103147141214624,7.962306304053508,11.598379898778576,126.0,9.930537881037772,8.971661263158838,2.040406175065013,3.5146676924985933,13.8128414813052,23.481848576726527
dynamic_expanding_Elastic_a0.001_l10.7,438,10.262828175301864,10.360037425007004,2.735031113578233,7.674161508586327,11.270300996782089,126.0,9.49507853562031,8.648982764779982,1.4915291551780474,3.579700906649998,12.904305617323637,22.71736635028521
dynamic_expanding_Elastic_a0.005_l10.15,438,10.02650984896921,10.11003017773754,2.5640690673061672,7.373394275800645,10.846928081968478,126.0,9.46982269999255,8.644532318087709,1.394028932325009,3.6994172824435743,12.726367997895142,22.333427452222605
dynamic_expanding_Elastic_a0.005_l10.3,438,9.777864222091026,9.855609656333762,2.3883712222982094,7.13543772205308,10.515019983305224,126.0,9.289073537817425,8.430624344395342,1.2101705768153963,3.6140574217392567,12.641978166547249,21.80317808485685
dynamic_expanding_Elastic_a0.005_l10.5,438,9.618687915263576,9.691321858349587,2.372204808303151,6.964494044396708,10.267506136425816,126.0,9.133139568314828,8.26138911067447,1.1481181843745676,3.444017367020561,12.501874004695535,21.426620879947567
dynamic_expanding_Elastic_a0.005_l10.7,438,9.500074177046963,9.572902115122323,2.3344849155299365,6.78288198941731,10.141992904675938,126.0,8.930447796230407,8.041161671933638,1.0922805691592663,3.213569192541825,12.336678172760417,21.037979161126422
dynamic_expanding_Elastic_a0.01_l10.15,438,9.563538947343094,9.641008304387286,2.08562702659873,6.781629675268162,10.323260653647054,126.0,9.36992639132523,8.499843294826444,1.1321796186147193,3.809079991572127,12.734000645191358,21.515598427672053
dynamic_expanding_Elastic_a0.01_l10.3,438,9.375494025894756,9.445266839739489,2.068424302468874,6.511043568414506,10.009889350209844,126.0,9.16683158472651,8.280316771430025,0.9421368945905786,3.695159092894243,12.54316652291531,21.02803328981323
dynamic_expanding_Elastic_a0.01_l10.5,438,9.3261464977731,9.39051904384304,2.140378627254229,6.414059120194833,9.833167083299443,126.0,8.848006717598357,7.953532589731506,0.7242692378771683,3.4696101517743023,12.210040085391723,20.63311177016507
dynamic_expanding_Elastic_a0.01_l10.7,438,9.195157719200314,9.255437976409572,2.162043523962895,6.126270057790602,9.671072388132652,126.0,8.479693710996168,7.589203359258327,0.5912661903338841,3.0709262987498565,11.826248281986429,20.035250302819485
dynamic_expanding_Elastic_a0.05_l10.15,438,9.074378104852563,9.136005140079996,0.7631238581581103,5.886248875537157,9.662785704067437,126.0,9.174604400786238,8.314844598885657,-0.8498836534330364,5.177918022845333,12.295595095551093,20.38548199789261
dynamic_expanding_Elastic_a0.05_l10.3,438,9.398634924077356,9.454037294418397,-0.0878672700179585,6.412935816342883,9.954595941118406,126.0,9.21505287658712,8.437251888303058,-1.7551908985418876,5.934316032914422,12.012798211195486,20.86700206338628
dynamic_expanding_Elastic_a0.05_l10.5,438,9.840683861384088,9.900743781629116,-1.7807785335174229,7.294151406190214,10.50574207594856,126.0,9.469837361714166,8.851178111186778,-3.867632530203356,7.810422827170994,11.651780479073684,22.04155206861657
dynamic_expanding_Elastic_a0.05_l10.7,438,10.55565423414581,10.618504484341171,-3.696554646392944,8.883230989032237,11.23581134530266,126.0,10.15580751366237,9.716606826086316,-6.558707392613364,10.5664309482128,11.548767842620045,24.19024805860876
