stream,stream_label,scenario,model,model_short,score_basis,eval_grid,stress_bucket,stress_order,source_dataset,calculation_basis,mape,bias_pct,n,value_available
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,5.353111205408429,4.949046770128151,26,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,3.481972764174204,2.3366143600404543,48,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.033293734597686,1.8274892586240519,24,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,2.0237292632624575,0.4379492437016447,58,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,4.2169825160991445,3.2717224223342445,42,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,7.447797018329782,7.447797018329782,26,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,6.0703304118859345,4.653926634403547,48,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,3.5857289049779335,2.8477481967256373,24,True
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Light RUC dynamic residual GBM W36,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,light_ruc_schiff_spec_challenger_run/light_ruc_stress_tests.csv,horizon 1-4,4.17990380181179,0.1471597043836738,58,True
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Light RUC dynamic residual GBM W36,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,light_ruc_schiff_spec_challenger_run/light_ruc_stress_tests.csv,horizon 5-8,3.7800271199358506,0.6026523444638429,42,True
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Light RUC dynamic residual GBM W36,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,light_ruc_schiff_spec_challenger_run/light_ruc_stress_tests.csv,horizon 9-12,7.806238675295461,2.753910262197117,26,True
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Light RUC dynamic residual GBM W36,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,light_ruc_schiff_spec_challenger_run/light_ruc_stress_tests.csv,target period 2024+,,,0,True
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Light RUC dynamic residual GBM W36,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,light_ruc_schiff_spec_challenger_run/light_ruc_stress_tests.csv,target period 2022-23,9.10054842824538,1.8965695412910688,48,True
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Light RUC dynamic residual GBM W36,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,light_ruc_schiff_spec_challenger_run/light_ruc_stress_tests.csv,annual predictions,1.2737736398959618,-1.023445896208342,10,True
