stream,stream_label,scenario,model,lag,acf_value,residual_scope,source_column,calculation_method,source_dataset,value_available,default_score_basis
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,7,0.1779852719050099,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,8,0.05665752918438654,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,9,-0.11941133472628186,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,10,-0.24912043542874876,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,11,-0.3123667921607902,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,12,-0.3530721176362296,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,1,0.05678856960717539,H1 residual diagnostics,acf1_resid,Lag 1 residual autocorrelation from current-grid H1 dynamic finalist rows,light_ruc_schiff_spec_challenger_run/light_ruc_predictions.csv,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,1,-0.455699888486608,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,2,0.2398136380716904,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,3,-0.007522074394542016,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,4,0.45074843273004156,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,5,0.11464791768105632,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,6,-0.09149130572703941,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,7,0.27825573285762123,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,8,0.07308183605589898,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,9,-0.21114995910714085,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,10,0.536235704404891,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,11,-0.5736197434659572,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,12,0.11245143806362783,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
