source,cohort,horizon,P0_n,P0_mape,P0_wape,P0_rmse,P0_signed_error_pct,P0_mean_abs_error,P1_n,P1_mape,P1_wape,P1_rmse,P1_signed_error_pct,P1_mean_abs_error,wape_improvement_pct,mape_improvement_pct
ar1_production_h1_h12,all_available_ex_covid,12,37,3.000403,2.865479,70.602434,0.272674,45.967138,37,3.527627,3.38859,72.866525,-0.777922,54.358718,-18.255608,-17.571764
ar1_production_h1_h12,balanced_ex_covid,1,26,0.638329,0.615135,14.002437,-0.084465,10.017656,26,0.660738,0.638386,14.137927,-0.150397,10.3963,-3.779771,-3.51062
ar1_production_h1_h12,balanced_ex_covid,2,26,0.914772,0.868159,24.002063,-0.234573,14.164334,26,0.958124,0.91154,24.651685,-0.348198,14.872112,-4.9969,-4.739067
ar1_production_h1_h12,balanced_ex_covid,3,26,0.975954,0.930389,26.357307,-0.526286,15.215466,26,1.067666,1.019791,28.466678,-0.711177,16.677528,-9.609052,-9.397192
ar1_production_h1_h12,balanced_ex_covid,4,26,0.988783,0.953755,24.63599,-0.820953,15.643182,26,1.172984,1.132868,28.558027,-1.073213,18.580944,-18.779827,-18.629019
ar1_production_h1_h12,balanced_ex_covid,5,26,1.121387,1.081168,25.431664,-0.987046,17.751638,26,1.405881,1.355713,30.951719,-1.315395,22.259381,-25.393389,-25.369872
ar1_production_h1_h12,balanced_ex_covid,6,26,1.16077,1.117521,27.663264,-1.078714,18.364472,26,1.516584,1.46343,34.060122,-1.462574,24.048869,-30.953225,-30.65335
ar1_production_h1_h12,balanced_ex_covid,7,26,1.202548,1.160316,28.504979,-1.114715,19.059862,26,1.614546,1.557288,36.263715,-1.58276,25.580695,-34.212382,-34.26046
ar1_production_h1_h12,balanced_ex_covid,8,26,1.272031,1.228472,28.940865,-1.193638,20.184711,26,1.777254,1.715292,38.104226,-1.74143,28.18352,-39.628054,-39.717757
ar1_production_h1_h12,balanced_ex_covid,9,26,1.339002,1.293268,29.792431,-1.277019,21.233421,26,1.950387,1.883097,40.438836,-1.91465,30.917493,-45.607685,-45.659723
ar1_production_h1_h12,balanced_ex_covid,10,26,1.33195,1.289062,28.597465,-1.273775,21.156376,26,2.011505,1.944955,40.260766,-1.978157,31.921034,-50.881394,-51.019578
ar1_production_h1_h12,balanced_ex_covid,11,26,1.562816,1.51556,31.401406,-1.373101,24.88598,26,2.259378,2.183776,45.404393,-2.173872,35.858302,-44.090376,-44.57094
ar1_production_h1_h12,balanced_ex_covid,12,26,1.744192,1.693552,35.074739,-1.466074,27.830607,26,2.500305,2.418993,50.605593,-2.358549,39.751984,-42.83549,-43.350296
vnext_ensemble_h1_h20,all_available,1,56,1.086516,1.059102,24.569844,-0.100306,17.01464,56,1.137532,1.109336,25.719945,-0.192698,17.821643,-4.742991,-4.695337
vnext_ensemble_h1_h20,all_available,2,55,1.483094,1.439913,34.887834,0.066733,23.110761,55,1.572229,1.529912,36.394977,-0.121649,24.555256,-6.250312,-6.010126
vnext_ensemble_h1_h20,all_available,3,54,1.676222,1.624206,41.14124,0.274853,26.053906,54,1.774473,1.722386,41.750101,0.001321,27.628805,-6.04477,-5.861465
vnext_ensemble_h1_h20,all_available,4,53,1.955371,1.891402,47.264077,0.490015,30.321236,53,2.07274,2.00984,47.245856,0.130104,32.219915,-6.261877,-6.002393
vnext_ensemble_h1_h20,all_available,5,52,2.350412,2.275787,54.305911,0.660924,36.444618,52,2.492334,2.418277,54.260879,0.212455,38.726462,-6.261126,-6.038175
vnext_ensemble_h1_h20,all_available,6,51,2.598287,2.518207,59.26275,0.769628,40.293324,51,2.795417,2.716402,59.387913,0.229654,43.464599,-7.870474,-7.58693
vnext_ensemble_h1_h20,all_available,7,50,2.817819,2.730812,64.60214,0.878578,43.665784,50,3.021017,2.935909,64.220504,0.256954,46.945294,-7.51048,-7.211158
vnext_ensemble_h1_h20,all_available,8,49,3.091559,2.993777,70.386836,0.999594,47.834703,49,3.380107,3.280479,69.607091,0.295474,52.415644,-9.576607,-9.333427
vnext_ensemble_h1_h20,all_available,9,48,3.515002,3.403237,76.800703,1.16938,54.311869,48,3.766176,3.656351,75.922911,0.380181,58.35129,-7.437455,-7.145788
vnext_ensemble_h1_h20,all_available,10,47,3.825547,3.70162,82.770423,1.370635,59.02042,47,4.142866,4.019899,81.654278,0.492261,64.095216,-8.598373,-8.294732
vnext_ensemble_h1_h20,all_available,11,46,4.084821,3.949049,87.042248,1.597738,62.917316,46,4.355999,4.223367,84.975977,0.637724,67.28783,-6.946439,-6.638653
vnext_ensemble_h1_h20,all_available,12,45,4.306725,4.164289,90.225104,1.791827,66.288198,45,4.545833,4.409092,87.345281,0.750056,70.185032,-5.878624,-5.551957
vnext_ensemble_h1_h20,all_available,13,44,4.581415,4.43333,94.318874,2.026301,70.475807,44,4.78073,4.642243,90.848158,0.899849,73.796844,-4.712309,-4.350512
vnext_ensemble_h1_h20,all_available,14,43,4.793847,4.642554,97.849352,2.281148,73.718409,43,4.978429,4.842018,93.658972,1.065576,76.885658,-4.296416,-3.8504
vnext_ensemble_h1_h20,all_available,15,42,5.029145,4.876269,100.868175,2.599234,77.338036,42,5.111032,4.980423,95.051021,1.299479,78.98994,-2.135954,-1.62825
vnext_ensemble_h1_h20,all_available,16,41,5.17507,5.024388,101.981853,2.899339,79.575464,41,5.145014,5.021866,94.502205,1.515715,79.535532,0.050181,0.580783
vnext_ensemble_h1_h20,all_available,17,40,5.302106,5.154894,103.392863,3.239521,81.483243,40,5.176277,5.059934,94.289058,1.768222,79.982218,1.842128,2.373181
vnext_ensemble_h1_h20,all_available,18,39,5.547013,5.398812,105.558584,3.568692,85.165675,39,5.233766,5.126206,95.023534,2.006006,80.865348,5.049365,5.647131
vnext_ensemble_h1_h20,all_available,19,38,5.785319,5.635911,107.451322,3.93946,88.734768,38,5.341279,5.238183,94.624303,2.289343,82.472717,7.057044,7.67529
vnext_ensemble_h1_h20,all_available,20,37,5.985667,5.835396,108.865357,4.310581,91.676107,37,5.388072,5.288375,93.653012,2.573879,83.082222,9.374181,9.983754
vnext_ensemble_h1_h20,balanced,1,37,0.966897,0.935463,24.727517,0.188901,15.480504,37,0.995382,0.963889,24.97086,0.13693,15.950909,-3.038695,-2.946103
vnext_ensemble_h1_h20,balanced,2,37,1.364223,1.307469,36.210109,0.513202,21.577186,37,1.426078,1.370197,36.34236,0.408962,22.612396,-4.797705,-4.534109
vnext_ensemble_h1_h20,balanced,3,37,1.592427,1.520133,43.974165,0.887892,25.018986,37,1.605986,1.537723,42.714575,0.716515,25.308476,-1.157079,-0.851481
vnext_ensemble_h1_h20,balanced,4,37,1.974511,1.87771,51.762357,1.30258,30.812325,37,1.959186,1.871572,49.461046,1.06657,30.711603,0.326888,0.77616
vnext_ensemble_h1_h20,balanced,5,37,2.525085,2.404791,60.634694,1.635943,39.308314,37,2.455494,2.349371,57.636023,1.335338,38.402429,2.304564,2.755965
vnext_ensemble_h1_h20,balanced,6,37,2.79336,2.666589,65.643664,1.822276,43.457723,37,2.712119,2.603826,62.06547,1.457573,42.434867,2.353681,2.908374
vnext_ensemble_h1_h20,balanced,7,37,3.002526,2.869298,71.129454,1.972409,46.661144,37,2.901732,2.789617,66.728107,1.527958,45.365359,2.777012,3.356967
vnext_ensemble_h1_h20,balanced,8,37,3.308009,3.161529,77.339129,2.110004,51.320544,37,3.278242,3.149712,72.4564,1.58942,51.128728,0.373761,0.899849
vnext_ensemble_h1_h20,balanced,9,37,3.75773,3.595787,83.916647,2.319305,58.206526,37,3.656807,3.518859,78.553312,1.722251,56.961259,2.139394,2.685747
vnext_ensemble_h1_h20,balanced,10,37,4.071638,3.897215,89.862712,2.528918,62.948178,37,4.032981,3.880477,83.88289,1.854883,62.677832,0.429475,0.949436
vnext_ensemble_h1_h20,balanced,11,37,4.34348,4.157546,94.011444,2.721324,67.01909,37,4.256317,4.094862,87.138025,1.952094,66.008632,1.507717,2.006751
vnext_ensemble_h1_h20,balanced,12,37,4.566061,4.375627,96.710299,2.851097,70.394577,37,4.449575,4.286696,89.164924,1.991371,68.96386,2.032425,2.551136
vnext_ensemble_h1_h20,balanced,13,37,4.833331,4.639636,99.961273,3.024494,74.433907,37,4.681087,4.518328,91.784471,2.074196,72.48775,2.614611,3.14988
vnext_ensemble_h1_h20,balanced,14,37,5.01725,4.824269,102.422397,3.205041,77.188039,37,4.860664,4.702561,93.392982,2.16345,75.240724,2.522819,3.120953
vnext_ensemble_h1_h20,balanced,15,37,5.227062,5.038364,104.632755,3.432178,80.374207,37,4.999798,4.850601,94.330209,2.276998,77.378932,3.726662,4.347836
vnext_ensemble_h1_h20,balanced,16,37,5.331665,5.153429,105.079261,3.615653,81.965776,37,5.028484,4.892131,93.600407,2.352324,77.809818,5.070358,5.686429
vnext_ensemble_h1_h20,balanced,17,37,5.416235,5.249842,105.786716,3.817956,83.204832,37,5.061088,4.935699,93.157351,2.446478,78.225965,5.983867,6.55708
vnext_ensemble_h1_h20,balanced,18,37,5.550206,5.394071,106.542108,4.05824,85.156139,37,5.053593,4.943003,92.510194,2.577517,78.035134,8.362292,8.947646
vnext_ensemble_h1_h20,balanced,19,37,5.780564,5.627169,107.807402,4.207047,88.610677,37,5.241723,5.136435,93.038862,2.595132,80.883111,8.720806,9.3216
vnext_ensemble_h1_h20,balanced,20,37,5.985667,5.835396,108.865357,4.310581,91.676107,37,5.388072,5.288375,93.653012,2.573879,83.082222,9.374181,9.983754
vnext_ensemble_h1_h20,all_available_ex_covid,1,48,0.814594,0.794512,17.395505,-0.299902,12.859004,48,0.873319,0.852363,19.204676,-0.392868,13.795309,-7.281314,-7.209192
vnext_ensemble_h1_h20,all_available_ex_covid,2,47,1.02034,0.994676,22.490064,-0.366926,16.083643,47,1.123279,1.098525,25.341134,-0.556835,17.76285,-10.440467,-10.088747
vnext_ensemble_h1_h20,all_available_ex_covid,3,46,1.148891,1.117156,25.410021,-0.380178,18.055081,46,1.2817,1.248527,28.088394,-0.653035,20.178247,-11.759379,-11.559758
vnext_ensemble_h1_h20,all_available_ex_covid,4,45,1.302387,1.26421,28.469407,-0.413832,20.420326,45,1.490292,1.449945,31.212715,-0.770886,23.420447,-14.691839,-14.427736
vnext_ensemble_h1_h20,all_available_ex_covid,5,44,1.503786,1.464736,30.547013,-0.492881,23.633952,44,1.755415,1.71186,34.516489,-0.938988,27.621372,-16.871573,-16.732991
vnext_ensemble_h1_h20,all_available_ex_covid,6,43,1.551871,1.517423,30.69097,-0.617003,24.464471,43,1.887556,1.848106,36.531471,-1.155558,29.795867,-21.792402,-21.630984
vnext_ensemble_h1_h20,all_available_ex_covid,7,42,1.632986,1.596913,33.276168,-0.675634,25.730194,42,1.995732,1.954523,39.321198,-1.294818,31.492167,-22.39382,-22.213688
vnext_ensemble_h1_h20,all_available_ex_covid,8,41,1.867101,1.819699,40.963158,-0.633052,29.299171,41,2.352163,2.293229,46.304599,-1.334349,36.923537,-26.022466,-25.97941
vnext_ensemble_h1_h20,all_available_ex_covid,9,40,2.31505,2.248606,50.75208,-0.499696,36.160285,40,2.773905,2.700372,55.507036,-1.28929,43.425226,-20.090937,-19.820524
vnext_ensemble_h1_h20,all_available_ex_covid,10,39,2.643207,2.560758,59.48609,-0.315277,41.143653,39,3.201281,3.109481,63.738655,-1.198166,49.95996,-21.428111,-21.113534
vnext_ensemble_h1_h20,all_available_ex_covid,11,38,2.919774,2.820562,65.834915,-0.090906,45.2853,38,3.443155,3.336687,68.876,-1.057915,53.571891,-18.298634,-17.92539
vnext_ensemble_h1_h20,all_available_ex_covid,12,37,3.196417,3.085216,71.489168,0.137756,49.492086,37,3.702357,3.586259,73.490192,-0.914129,57.529669,-16.240137,-15.828357
vnext_ensemble_h1_h20,all_available_ex_covid,13,36,3.528348,3.406807,77.567954,0.405431,54.573361,36,4.005371,3.883805,78.678005,-0.737929,62.214347,-14.001311,-13.519732
vnext_ensemble_h1_h20,all_available_ex_covid,14,35,3.761143,3.634234,82.203537,0.674113,58.148966,35,4.241085,4.120425,82.481955,-0.566135,65.928194,-13.378102,-12.760514
vnext_ensemble_h1_h20,all_available_ex_covid,15,34,4.032495,3.900455,86.24106,1.03084,62.332127,34,4.40807,4.291661,84.586481,-0.300319,68.583895,-10.029769,-9.313716
vnext_ensemble_h1_h20,all_available_ex_covid,16,33,4.237234,4.102483,88.769157,1.40981,65.462314,33,4.496229,4.384076,85.10915,-0.012901,69.955632,-6.863977,-6.112346
