june_year,L0_raw_model_gross_ped,L1_after_lambda_migration,L2_after_vfm_retention_overlay,mbu26_gross_ped,L0_raw_model_gross_ped_vs_mbu26_pct,L1_after_lambda_migration_vs_mbu26_pct,L2_after_vfm_retention_overlay_vs_mbu26_pct,lambda_deduction_million_nzd,vfm_retention_deduction_million_nzd
2026,2134.5984,2056.7835,2038.3561,2062.7847,3.4814,-0.2909,-1.1843,-77.8149,-18.4274
2027,2206.0674,2103.191,2062.3547,2200.8779,0.2358,-4.4385,-6.294,-102.8764,-40.8364
2028,2441.1223,2300.3319,2227.6926,2456.0264,-0.6068,-6.3393,-9.2969,-140.7904,-72.6393
2029,2570.6189,2391.3827,2282.1867,2596.023,-0.9786,-7.8828,-12.0891,-179.2363,-109.196
2030,2670.764,2452.3879,2300.5962,2706.1635,-1.3081,-9.3777,-14.9868,-218.3761,-151.7917
