series_id,kind,FY,old_lambda_production,corrected_production,mbu26_official,absolute_change,percent_change,corrected_vs_mbu26_pct,old_vs_mbu26_pct,allocation_basis
ped_vkt_per_capita,activity,2025,5973.144294,5973.144294,5973.144294,0.0,0.0,0.0,0.0,conventional_anchor_vfm_composition_v1
ped_vkt_per_capita,activity,2026,6144.321779,6144.321779,5935.875997,0.0,0.0,3.511626,3.511626,conventional_anchor_vfm_composition_v1
ped_vkt_per_capita,activity,2027,5966.778677,5966.778677,5924.57317,0.0,0.0,0.712381,0.712381,conventional_anchor_vfm_composition_v1
ped_vkt_per_capita,activity,2028,5911.505386,5911.505386,5908.656771,0.0,0.0,0.048211,0.048211,conventional_anchor_vfm_composition_v1
ped_vkt_per_capita,activity,2029,5889.972402,5889.972402,5897.910627,0.0,0.0,-0.134594,-0.134594,conventional_anchor_vfm_composition_v1
ped_vkt_per_capita,activity,2030,5870.47275,5870.47275,5887.169536,0.0,0.0,-0.283613,-0.283613,conventional_anchor_vfm_composition_v1
light_petrol_vkt,activity,2025,31705.229162,31705.229162,31705.229162,0.0,0.0,0.0,0.0,conventional_anchor_vfm_composition_v1
light_petrol_vkt,activity,2026,31742.115079,32943.02353,31834.730657,1200.908452,3.783328,3.481395,-0.290926,conventional_anchor_vfm_composition_v1
light_petrol_vkt,activity,2027,30689.795138,32190.968993,32115.243347,1501.173855,4.891443,0.235793,-4.438541,conventional_anchor_vfm_composition_v1
light_petrol_vkt,activity,2028,30295.920178,32150.162716,32346.452822,1854.242539,6.120436,-0.606837,-6.339281,conventional_anchor_vfm_composition_v1
light_petrol_vkt,activity,2029,30037.969964,32289.342791,32608.440756,2251.372826,7.49509,-0.978575,-7.882839,conventional_anchor_vfm_composition_v1
light_petrol_vkt,activity,2030,29787.438198,32439.899727,32869.872478,2652.46153,8.904631,-1.308106,-9.377689,conventional_anchor_vfm_composition_v1
light_ruc_net_km,activity,2025,12273.983872,12273.983872,12273.983872,0.0,0.0,0.0,0.0,conventional_anchor_vfm_composition_v1
light_ruc_net_km,activity,2026,12352.557824,12968.092014,12899.124732,615.534189,4.98305,0.534666,-4.23724,conventional_anchor_vfm_composition_v1
light_ruc_net_km,activity,2027,11893.795048,12697.507968,12939.636711,803.71292,6.757414,-1.871217,-8.082465,conventional_anchor_vfm_composition_v1
light_ruc_net_km,activity,2028,12336.184184,13372.42368,13427.717148,1036.239497,8.4,-0.411786,-8.128954,conventional_anchor_vfm_composition_v1
light_ruc_net_km,activity,2029,12521.359028,13833.483861,13926.560566,1312.124833,10.479093,-0.668339,-10.090083,conventional_anchor_vfm_composition_v1
