june_year,S0_raw_ped_light_petrol_vkt,S0_raw_light_ruc_model_km,lambda,migration_total_M,S1_ped_vkt_per_capita,S1_light_petrol_vkt,S1_light_ruc_net_km,S1_light_bev_ruc_net_km,S1_phev_ruc_net_km,S1_heavy_ruc_net_km,S1_ped_volume,S1_gross_ped_revenue,S1_net_fed_revenue,S1_light_ruc_net_revenue,S1_light_bev_ruc_net_revenue,S1_phev_ruc_net_revenue,S1_total_ruc_net_revenue,S1_total_nltf_net_revenue,S1_light_ruc_pool,S2_ped_vkt_per_capita,S2_light_petrol_vkt,S2_light_ruc_net_km,S2_light_bev_ruc_net_km,S2_phev_ruc_net_km,S2_heavy_ruc_net_km,S2_ped_volume,S2_gross_ped_revenue,S2_net_fed_revenue,S2_light_ruc_net_revenue,S2_light_bev_ruc_net_revenue,S2_phev_ruc_net_revenue,S2_total_ruc_net_revenue,S2_total_nltf_net_revenue,S2_light_ruc_pool,S3_ped_vkt_per_capita,S3_light_petrol_vkt,S3_light_ruc_net_km,S3_light_bev_ruc_net_km,S3_phev_ruc_net_km,S3_heavy_ruc_net_km,S3_ped_volume,S3_gross_ped_revenue,S3_net_fed_revenue,S3_light_ruc_net_revenue,S3_light_bev_ruc_net_revenue,S3_phev_ruc_net_revenue,S3_total_ruc_net_revenue,S3_total_nltf_net_revenue,S3_light_ruc_pool,S4_ped_vkt_per_capita,S4_light_petrol_vkt,S4_light_ruc_net_km,S4_light_bev_ruc_net_km,S4_phev_ruc_net_km,S4_heavy_ruc_net_km,S4_ped_volume,S4_gross_ped_revenue,S4_net_fed_revenue,S4_light_ruc_net_revenue,S4_light_bev_ruc_net_revenue,S4_phev_ruc_net_revenue,S4_total_ruc_net_revenue,S4_total_nltf_net_revenue,S4_light_ruc_pool,S5_ped_vkt_per_capita,S5_light_petrol_vkt,S5_light_ruc_net_km,S5_light_bev_ruc_net_km,S5_phev_ruc_net_km,S5_heavy_ruc_net_km,S5_ped_volume,S5_gross_ped_revenue,S5_net_fed_revenue,S5_light_ruc_net_revenue,S5_light_bev_ruc_net_revenue,S5_phev_ruc_net_revenue,S5_total_ruc_net_revenue,S5_total_nltf_net_revenue,S5_light_ruc_pool
2025,,13529.742736,0.329034,1220.290506,5973.144294,,12273.983872,820.641429,435.117435,3981.873439,2894.273827,2026.686305,1997.727147,830.974453,55.402256,15.107564,1979.168668,4280.784116,13529.742736,5973.144294,,12273.983872,820.641429,435.117435,3981.873439,2894.273827,2026.686305,1997.727147,830.974453,55.402256,15.107564,1979.168668,4280.784116,13529.742736,5973.144294,,12273.983872,820.641429,435.117435,3981.873439,2894.273827,2026.686305,1997.727147,830.974453,55.402256,15.107564,1979.168668,4280.784116,13529.742736,5973.144294,,12007.699874,1034.972123,487.070738,3981.873439,2894.273827,2026.686305,1997.727147,812.946468,69.871918,16.911417,1977.414197,4279.029645,13529.742736,5973.144294,,12007.699874,1034.972123,487.070738,3981.873439,2894.273827,2026.686305,1997.727147,812.946468,69.871918,16.911417,1977.414197,4279.029645,13529.742736
2026,32943.02353,12968.092014,0.338868,1816.442641,6144.321779,31742.115079,12352.557824,1192.098822,624.343819,4045.112837,2937.255092,2056.783505,2025.561143,836.790292,80.300792,21.528255,2033.37123,4501.467645,14169.000465,6144.321779,32943.02353,12352.557824,1192.098822,624.343819,4045.112837,3048.381097,2134.59838,2103.376018,836.790292,80.300792,21.528255,2033.37123,4579.282519,14169.000465,6142.760798,32947.57171,12338.415385,1191.836496,624.20643,4042.779454,3048.801963,2134.893087,2103.670724,835.832251,80.283122,21.523517,2031.740373,4577.946368,14154.458312,6087.725748,32652.38339,12208.402087,1280.796684,665.259541,4037.395197,3021.486726,2115.765865,2084.543503,827.024855,86.275556,22.939086,2030.34098,4557.419754,14154.458312,6087.725748,32652.38339,12208.402087,1280.796684,665.259541,4037.395197,3021.486726,2115.765865,2084.543503,827.024855,86.275556,22.939086,2030.34098,4557.419754,14154.458312
2027,32190.968993,12697.507968,0.3487,2304.886775,5966.778677,30689.795138,11893.795048,1485.958879,818.927896,4100.270092,2767.927564,2103.19103,2063.718758,867.441389,108.34636,29.968971,2201.424961,4778.851371,14198.681823,5966.778677,32190.968993,11893.795048,1485.958879,818.927896,4100.270092,2903.319165,2206.067422,2166.59515,867.441389,108.34636,29.968971,2201.424961,4881.727763,14198.681823,5961.30692,32242.32932,11906.303082,1488.105018,820.110657,4104.509277,2907.951378,2209.587177,2170.114905,868.353629,108.502842,30.012255,2203.810217,4887.632774,14214.518757,5845.559921,31616.300008,11873.193438,1516.883231,824.442088,4092.708084,2851.489489,2166.684994,2127.212722,865.938867,110.601161,30.170765,2203.652285,4844.572658,14214.518757,5863.109557,31711.396785,11914.442074,1516.883231,824.442088,4099.88966,2860.066314,2002.732836,1963.260564,800.785711,101.925441,27.804126,2032.755397,4509.723613,14255.767393
2028,32150.162716,13372.42368,0.358501,2890.482035,5911.505386,30295.920178,12336.184184,1852.819711,1037.662324,4134.118314,2705.988212,2300.331934,2251.073595,1003.081635,150.726884,41.625824,2557.964288,5316.846293,15226.666219,5911.505386,32150.162716,12336.184184,1852.819711,1037.662324,4134.118314,2871.6065,2441.122287,2391.863949,1003.081635,150.726884,41.625824,2557.964288,5457.636647,15226.666219,5916.055674,32372.422657,12497.24286,1868.904612,1046.670592,4152.675335,2891.45844,2457.998211,2408.739873,1016.177662,152.03539,41.987191,2578.899559,5495.447842,15412.818065,5729.239951,31350.174409,12416.407689,1932.925929,1063.484446,4133.316406,2800.15269,2380.38016,2331.121822,1009.60478,157.243524,42.661679,2578.2093,5417.139531,15412.818065,5729.239951,31350.174409,12416.407689,1932.925929,1063.484446,4133.316406,2800.15269,2380.38016,2331.121822,1009.60478,157.243524,42.661679,2578.2093,5417.139531,15412.818065
2029,32289.342791,13833.483861,0.368213,3563.497659,5889.972402,30037.969964,12521.359028,2288.408373,1275.089286,4171.786051,2656.765046,2391.382652,2336.608682,1078.387886,197.112055,54.159417,2790.407101,5629.416793,16084.856687,5889.972402,32289.342791,12521.359028,2288.408373,1275.089286,4171.786051,2855.891972,2570.61893,2515.84496,1078.387886,197.112055,54.159417,2790.407101,5808.65307,16084.856687,5902.064078,32676.13145,12800.123608,2322.702885,1294.19801,4192.721388,2890.102226,2601.411946,2546.637976,1102.39617,200.066013,54.97106,2825.518347,5874.557332,16417.024504,5632.562337,31184.064575,12693.778755,2409.883789,1313.36196,4164.514792,2758.13355,2482.625528,2427.851558,1093.23734,207.57534,55.785049,2824.682832,5754.9354,16417.024504,5632.562337,31184.064575,12693.778755,2409.883789,1313.36196,4164.514792,2758.13355,2482.625528,2427.851558,1093.23734,207.57534,55.785049,2824.682832,5754.9354,16417.024504
2030,32439.899727,14129.750868,0.377758,4262.75049,5870.47275,29787.438198,12519.461907,2751.233821,1511.516669,4205.391267,2608.647791,2452.387873,2393.219658,1126.177501,247.514751,67.058437,2983.81349,5874.474766,16782.212397,5870.47275,32439.899727,12519.461907,2751.233821,1511.516669,4205.391267,2840.938257,2670.763969,2611.595755,1126.177501,247.514751,67.058437,2983.81349,6092.850863,16782.212397,5888.384228,32982.422252,12909.794294,2808.931726,1543.215662,4230.412272,2888.449902,2715.429632,2656.261417,1161.289518,252.705543,68.464763,3034.650729,6188.353764,17261.941683,5523.92003,30940.96035,12738.719011,2952.385978,1570.836693,4191.862277,2709.667992,2547.35689,2488.188675,1145.900587,265.611405,69.69017,3033.393067,6019.02336,17261.941683,5523.92003,30940.96035,12738.719011,2952.385978,1570.836693,4191.862277,2709.667992,2547.35689,2488.188675,1145.900587,265.611405,69.69017,3033.393067,6019.02336,17261.941683
