june_year,gross_fed_revenue,gross_ped_revenue,heavy_ruc_net_km,heavy_ruc_net_revenue,light_bev_ruc_net_km,light_bev_ruc_net_revenue,light_ruc_net_km,light_ruc_net_revenue,net_fed_revenue,net_mvr_revenue,ped_vkt_per_capita,ped_volume,phev_ruc_net_km,phev_ruc_net_revenue,total_fed_ruc_net_revenue,total_nltf_net_revenue,total_ruc_net_revenue
2025,2067.627924,2026.686305,3981.873439,1109.950263,1034.972123,69.871918,12007.699874,812.946468,1997.727147,286.793491,5973.144294,2894.273827,487.070738,16.911417,3975.141344,4279.029645,1977.414197
2026,2080.401256,2038.356094,4039.725472,1127.818707,1282.112563,86.364195,12220.944881,827.874533,2007.133732,425.129194,6089.272744,2910.93924,665.943022,22.962654,4039.087004,4481.622275,2031.953272
2027,2104.987364,2062.354674,4088.481088,1227.865605,1515.193214,110.477936,11859.965064,864.974092,2022.882402,496.149752,5850.925436,2714.184431,823.523546,30.137151,4224.139821,4737.847473,2201.257419
2028,2270.546005,2227.692628,4114.845894,1373.682902,1909.580572,155.34438,12266.445677,997.411047,2178.43429,490.25051,5724.83335,2620.539194,1050.639969,42.146422,4735.866085,5243.674495,2557.431794
2029,2325.243199,2282.186653,4143.720298,1464.834278,2361.124293,203.375441,12436.943859,1071.117725,2227.412682,484.84311,5621.022795,2535.451079,1286.788535,54.656343,5017.309934,5519.710943,2789.897251
2030,2343.840997,2300.596219,4167.069278,1538.540029,2870.335764,258.229757,12384.695305,1114.054687,2241.428005,479.883718,5507.117192,2447.184359,1527.181328,67.7534,5224.528649,5721.970267,2983.100644
