june_year,vfm_light_petrol_km,vfm_light_ruc_pool_km,petrol_plus_pool,vfm_implied_total_light_km,disjointness_residual_km,residual_as_pct_of_phev
2025,31464.564011,14607.105623,46071.669634,46078.160437,6.490803,1.249467
2026,31612.001087,15063.005547,46675.006634,46680.450512,5.443878,0.817177
2027,31613.311622,15599.45544,47212.767062,47217.240212,4.47315,0.517595
2028,31450.53398,16214.002623,47664.536603,47668.358114,3.821511,0.34504
2029,31226.182382,16905.031377,48131.213759,48133.659888,2.446129,0.17696
2030,30999.629979,17651.603799,48651.233778,48653.124163,1.890385,0.113093
2031,30745.651137,18424.952921,49170.604058,49171.799602,1.195544,0.060865
2032,30405.946287,19241.800129,49647.746416,49648.683893,0.937477,0.041288
2033,29933.32954,20124.59693,50057.92647,50058.330014,0.403544,0.015627
2034,29366.490437,21131.700841,50498.191278,50497.191864,-0.999414,-0.03458
2035,28677.518824,22281.268099,50958.786923,50957.252662,-1.534261,-0.048276
