june_year,gross_fed_revenue,gross_ped_revenue,heavy_ruc_net_km,heavy_ruc_net_revenue,light_bev_ruc_net_km,light_bev_ruc_net_revenue,light_petrol_vkt,light_ruc_net_km,light_ruc_net_revenue,net_fed_revenue,net_mvr_revenue,ped_vkt_per_capita,ped_volume,phev_ruc_net_km,phev_ruc_net_revenue,total_fed_ruc_net_revenue,total_nltf_net_revenue,total_ruc_net_revenue
2025,2067.627924,2026.686305,3981.873439,1109.950263,1034.972123,69.871918,,12007.699874,812.946468,1997.727147,286.793491,5973.144294,2894.273827,487.070738,16.911417,3975.141344,4279.029645,1977.414197
2026,2157.811028,2115.765865,4037.395197,1127.168136,1280.796684,86.275556,32652.38339,12208.402087,827.024855,2084.543503,425.129194,6087.725748,3021.486726,665.259541,22.939086,4114.884483,4557.419754,2030.34098
2027,2045.365525,2002.732836,4099.88966,1134.707499,1516.883231,101.925441,31711.396785,11914.442074,800.785711,1963.260564,496.149752,5863.109557,2860.066314,824.442088,27.804126,3996.015961,4509.723613,2032.755397
2028,2423.233537,2380.38016,4133.316406,1379.849021,1932.925929,157.243524,31350.174409,12416.407689,1009.60478,2331.121822,490.25051,5729.239951,2800.15269,1063.484446,42.661679,4909.331122,5417.139531,2578.2093
2029,2525.682075,2482.625528,4164.514792,1472.185278,2409.883789,207.57534,31184.064575,12693.778755,1093.23734,2427.851558,484.84311,5632.562337,2758.13355,1313.36196,55.785049,5252.534391,5754.9354,2824.682832
2030,2590.601668,2547.35689,4191.862277,1547.69395,2952.385978,265.611405,30940.96035,12738.719011,1145.900587,2488.188675,479.883718,5523.92003,2709.667992,1570.836693,69.69017,5521.581742,6019.02336,3033.393067
