june_year,S0_raw_conventional_model,S1_conventional,S1_pool,S2_conventional,S2_pool,S3_conventional,S3_pool,S4_conventional,S4_pool,S5_conventional,S5_pool,S4_conventional_minus_raw,S4_pool_minus_raw,lambda_M,one_minus_lambda_M,any_runtime_step_restores_raw_conventional
2026,12968.092014,12352.557824,14169.000465,12352.557824,14169.000465,12338.415385,14154.458312,12208.402087,14154.458312,12208.402087,14154.458312,-759.689927,1186.366298,615.534189,1200.908452,False
2027,12697.507968,11893.795048,14198.681823,11893.795048,14198.681823,11906.303082,14214.518757,11873.193438,14214.518757,11914.442074,14255.767393,-824.31453,1517.010789,803.71292,1501.173855,False
2028,13372.42368,12336.184184,15226.666219,12336.184184,15226.666219,12497.24286,15412.818065,12416.407689,15412.818065,12416.407689,15412.818065,-956.015991,2040.394384,1036.239497,1854.242539,False
2029,13833.483861,12521.359028,16084.856687,12521.359028,16084.856687,12800.123608,16417.024504,12693.778755,16417.024504,12693.778755,16417.024504,-1139.705107,2583.540643,1312.124833,2251.372826,False
2030,14129.750868,12519.461907,16782.212397,12519.461907,16782.212397,12909.794294,17261.941683,12738.719011,17261.941683,12738.719011,17261.941683,-1391.031857,3132.190815,1610.28896,2652.46153,False
