june_year,mbu26_total_nltf,current_total_nltf,total_gap,from_ped_post_model_reduction,from_light_ruc_post_model_allocation,residual_underlying_econometrics_and_other,interaction
2026,4563.1513,4501.4676,-61.6836,77.8149,47.0105,63.1417,0.0
2027,5008.28,4778.8514,-229.4286,102.8764,61.3596,-65.1926,-0.0
2028,5639.1343,5316.8463,-322.288,140.7904,101.5307,-79.967,0.0
2029,6059.8278,5629.4168,-430.411,179.2363,151.2269,-99.9478,0.0
2030,6434.3694,5874.4748,-559.8946,218.3761,211.4392,-130.0793,0.0
