variant,june_year,light_petrol_vkt,conventional_light_ruc,light_bev,phev,light_ruc_pool,total_light_vkt,petrol_share_of_total_light,conventional_share_of_pool,bev_share_of_pool,phev_share_of_pool,bev_share_of_total_light,vfm_bev_absolute_km,vfm_phev_absolute_km,vfm_light_petrol_km,mbu26_pool,mbu26_conventional,light_petrol_vkt_yoy_pct,conventional_light_ruc_yoy_pct,light_bev_yoy_pct,phev_yoy_pct,light_ruc_pool_yoy_pct,total_light_vkt_yoy_pct
P0/L1,2025,31705.229162,12273.983872,820.641429,435.117435,13529.742736,45234.971898,0.700901,0.907185,0.060655,0.03216,0.018142,1054.756653,519.485827,31464.564011,13529.742736,12273.983872,,,,,,
P0/L1,2026,32943.02353,12968.092014,1254.324357,656.861247,14879.277618,47822.301148,0.688863,0.871554,0.0843,0.044146,0.026229,1271.498721,666.18066,31612.001087,14741.897954,12899.124732,3.90407,5.655117,52.846824,50.961831,9.974579,5.719754
P0/L1,2027,32190.968993,12697.507968,1517.103988,831.828231,15046.440188,47237.40918,0.681472,0.843888,0.100828,0.055284,0.032117,1575.686072,864.217568,31613.311622,15378.28495,12939.636711,-2.282895,-2.086537,20.949895,26.636826,1.123459,-1.223053
P0/L1,2028,32150.162716,13372.42368,2021.437086,1126.276906,16520.137672,48670.300388,0.66057,0.809462,0.122362,0.068176,0.041533,1987.809207,1107.556844,31450.53398,16531.233101,13427.717148,-0.126763,5.31534,33.243146,35.397774,9.794327,3.033382
P0/L1,2029,32289.342791,13833.483861,2638.996121,1463.994443,17936.474425,50225.817216,0.642883,0.771249,0.14713,0.081621,0.052543,2491.993544,1382.302607,31226.182382,17822.94174,13926.560566,0.432906,3.447843,30.550495,29.985302,8.573396,3.196029
P0/L1,2030,32439.899727,14129.750868,3337.158146,1824.249073,19291.158087,51731.057815,0.627088,0.732447,0.172989,0.094564,0.06451,3058.437543,1671.535931,30999.629979,19165.492817,14402.438423,0.466274,2.141666,26.455591,24.60765,7.552675,2.996946
P0/L1,2031,32565.839318,14471.155567,4158.74543,2220.225746,20850.126743,53415.966061,0.609665,0.694056,0.199459,0.106485,0.077856,3680.350692,1964.258232,30745.651137,19927.766395,14246.19312,0.388224,2.416212,24.619369,21.706283,8.08126,3.257054
P0/L1,2032,32591.686117,14823.798544,5138.744538,2667.621127,22630.164208,55221.850325,0.590195,0.655046,0.227075,0.117879,0.093056,4375.284041,2270.592284,30405.946287,20733.234529,14040.969015,0.079368,2.436868,23.564778,20.150896,8.537298,3.380795
P0/L1,2033,32592.494289,15188.61494,6343.581768,3166.641171,24698.837878,57291.332167,0.56889,0.614953,0.256837,0.12821,0.110725,5175.961819,2582.341588,29933.32954,21591.705443,13782.702264,0.00248,2.461018,23.44614,18.706556,9.141223,3.747578
P0/L1,2034,32590.096709,15562.415329,7877.320224,3710.705013,27150.440567,59740.537276,0.545527,0.573192,0.290136,0.136672,0.131859,6140.706757,2890.173941,29366.490437,22580.319107,13486.528101,-0.007356,2.461056,24.177799,17.181102,9.925984,4.275001
P0/L1,2035,32591.864251,15945.421112,9837.518221,4287.32859,30070.267922,62662.132173,0.520121,0.530272,0.327151,0.142577,0.156993,7301.02139,3178.086666,28677.518824,23716.587479,13152.780804,0.005424,2.461095,24.884071,15.539461,10.754254,4.890473
P1/L1,2025,31705.229162,12273.983872,820.641429,435.117435,13529.742736,45234.971898,0.700901,0.907185,0.060655,0.03216,0.018142,1054.756653,519.485827,31464.564011,13529.742736,12273.983872,,,,,,
P1/L1,2026,32647.875959,12968.092014,1254.324357,656.861247,14879.277618,47527.153576,0.686931,0.871554,0.0843,0.044146,0.026392,1271.498721,666.18066,31612.001087,14741.897954,12899.124732,2.973159,5.655117,52.846824,50.961831,9.974579,5.067278
