year,new_entry_bev_share,turnover,vfm_fleet_bev_share_stock,reconstructed_fleet_share,vfm_bev_share_vkt
2023,0.3050225973896128,0.07194205850838307,0.06805207022877689,0.06805207022877689,0.04989669632427123
2024,0.15781990780393595,0.05610043820001194,0.07409513047327038,0.08510021775854412,0.06134802866631591
2025,0.1849592801131676,0.05835475110201841,0.08157229368736081,0.08917982423585966,0.0683552116026819
2026,0.21883919711693706,0.06086260911097748,0.09097483114084423,0.09476901054426672,0.07654792003796265
2027,0.2936674745905135,0.06540735021902692,0.105406272391536,0.1023202458119652,0.08894371899380635
2028,0.34962103390256827,0.06874225144066394,0.12358646231160335,0.11483576101812397,0.10675198675513196
2029,0.3653865265421379,0.06894693233200182,0.14191104093252935,0.13097542928131134,0.12707714478668217
2030,0.3823078961715108,0.06845215037242398,0.16029913275709418,0.14713735534202385,0.14748303554333453
2031,0.4011679086090352,0.06943781176456723,0.17925232164470908,0.16323528456604816,0.16845392725736108
2032,0.4298494486405111,0.07152854077131984,0.19968998847462383,0.17975680532699465,0.19039321914584134
2033,0.4767851052307935,0.0738552048847036,0.22294708625716458,0.19764556716085266,0.21476276529927676
2034,0.5292997373510169,0.07649874115332961,0.2494322316937318,0.21826147493642967,0.24311073057091698
2035,0.5821814274526944,0.07928379003672884,0.2791116545090377,0.24205551046166457,0.2746792556577659
2036,0.6422982324543911,0.08180053218114548,0.31233596203451264,0.2690219822504312,0.3095054873273809
2037,0.6959836252354302,0.08563605575128418,0.3489376171329737,0.29955617816769753,0.34799514312039237
2038,0.7567067355455178,0.08972930956021351,0.3894837633886184,0.33350466112612914,0.3902675284699268
2039,0.7956430824972397,0.09547498249855792,0.432429400469444,0.371478291068231,0.4370394262511444
2040,0.8322949472626064,0.09898248811353762,0.47632054847959415,0.41197541710642005,0.4849290338347198
2041,0.8434671036139471,0.0998218030419187,0.5173770294704323,0.4535796900039925,0.5307014862064816
2042,0.8847346695803279,0.09813727395358886,0.5578053109688772,0.4924989546138885,0.5735006167907172
2043,0.89334364394833,0.09426572808500495,0.5937678398585065,0.5309918984279317,0.6112454133515115
2044,0.9001088351174866,0.08773256656708024,0.6249112507966169,0.5651492495422845,0.6427391615638542
2045,0.9047586278638825,0.08388031265827002,0.6525511462670285,0.5945361136810425,0.6714823325438801
2046,0.9077506290877841,0.08042132346033438,0.6771140505496352,0.6205576751643338,0.6976056271014335
2047,0.910531652317546,0.07746267965789211,0.6991035123891975,0.6436541126073405,0.7211510152245326
2048,0.9133062386646046,0.07479136757536692,0.7188975740056607,0.6643271619737985,0.742813972345896
2049,0.9167615671178279,0.07217429834957013,0.7368046663511761,0.682948647617156,0.7610222615160078
2050,0.9198087768263687,0.07047379243046063,0.7531516169093406,0.6998239310271815,0.7773572638204361
2051,0.9225110277505797,0.0688841528576128,0.7680384653932305,0.7153270973878804,0.7920231387000344
2052,0.9251148352106783,0.06752003744520779,0.7816449938565072,0.7295987869166255,0.80516531630618
2053,0.9279411856824851,0.06632442199087914,0.7940901917361572,0.742800037818579,0.81703203923183
2054,0.9312072893317399,0.06426760613104522,0.8053728866280772,0.7550794174373804,0.8277641712481428
2055,0.9339859106608929,0.06350409262484835,0.8157484387903898,0.7663987341369862,0.837644677491426
