form,params,rmse_fit_pp,rmse_holdout_pp,aicc,pred_2050_pp
logistic (S-curve),3,0.6669469356842749,1.1549020195390873,-394.15053164650504,78.26281964040147
power,2,1.994080841265531,4.0761028343655425,-308.8746335165329,79.67400334276242
quadratic,3,1.952331054642748,5.400747882066964,-308.22502251028584,81.3042354566696
Richards (S-curve),4,0.44817672408032666,13.133443207465517,-423.4761698128093,103.52847262124601
Gompertz (S-curve),3,0.43370959668745607,13.980824015899879,-428.57735628494504,105.20732540830858
cubic,4,0.3584618856088873,16.617396670314584,-441.34539300720144,110.95159936853098
Bass diffusion (S-curve),3,3.299866472452688,21.623393107278098,-266.23638783152745,47.67577985157654
linear,2,7.03840559295106,32.765474792062676,-207.97875725505284,39.44878081022644
exponential,2,1.230176067149123,57.557544069286934,-347.51670630161294,190.96180803272534
