share,relative_growth,scenario
0.07213193635415513,0.14621309279907496,Base_EV
0.08430036518255071,0.16358439400590574,Base_EV
0.10082840106931856,0.19107560386112368,Base_EV
0.12236195165219999,0.19451515134985414,Base_EV
0.14713046571244698,0.174918052836868,Base_EV
0.17298897219754777,0.15019014255503563,Base_EV
0.19945862863295755,0.1351562209205238,Base_EV
0.22707498124831427,0.12451671513636918,Base_EV
0.2568373009156357,0.1216723913097615,Base_EV
0.2901360450083459,0.12183070739953529,Base_EV
0.3271508364535062,0.11823935315032483,Base_EV
0.36751045212172867,0.11438348979982484,Base_EV
0.4110119471849548,0.10940281026581208,Base_EV
0.4565700005195827,0.10108032621915261,Base_EV
0.5031714681268958,0.09351223906909184,Base_EV
0.5500089921988687,0.08476653688392818,Base_EV
0.594783033915147,0.07217039401120962,Base_EV
0.6350983157821398,0.05936850545527353,Base_EV
0.6702731927921013,0.04870389647956771,Base_EV
0.7001388632777454,0.03868721791803676,Base_EV
0.7259796113035464,0.0338784600726277,Base_EV
0.7494173475727028,0.02973029825822479,Base_EV
0.7705666552201003,0.02597856252403312,Base_EV
0.7897590687150017,0.023255969682141643,Base_EV
0.8067187954714947,0.019279134987382533,Base_EV
0.8214984744315834,0.017049961504937875,Base_EV
0.8347731429673849,0.015025423148609234,Base_EV
0.8466771665492996,0.013305221757145205,Base_EV
0.8573946889629436,0.011861302035751167,Base_EV
0.8670888989311949,0.010631669461144426,Base_EV
0.8759504718445581,0.009708931649929333,Base_EV
