share,relative_growth,scenario
0.07474617428893418,0.15939666589677232,Fast_EV
0.08871805718313816,0.18067883052402303,Fast_EV
0.10826205257548019,0.212987980718312,Fast_EV
0.13420872603111714,0.21485064196285658,Fast_EV
0.16441683450182737,0.19208121900842703,Fast_EV
0.19616588260929405,0.1627026565158858,Fast_EV
0.2283731704436225,0.1423015908007634,Fast_EV
0.26164156803256533,0.130097560504253,Fast_EV
0.29717603003636783,0.12460626207143659,Fast_EV
0.336031767693827,0.12106439017374131,Fast_EV
0.3780443249794482,0.11465225285088276,Fast_EV
0.42255825390707613,0.10811343500325328,Fast_EV
0.46900272285905076,0.10064912480106177,Fast_EV
0.5157150795196461,0.0896231302353291,Fast_EV
0.5625810294995115,0.08445343467391046,Fast_EV
0.6085165126755215,0.07289706228901537,Fast_EV
0.6506612825746916,0.061369063657717396,Fast_EV
0.6880237151374449,0.05057150021146799,Fast_EV
0.7204241389586524,0.04165109768562168,Fast_EV
0.7478870298578071,0.03331963868420144,Fast_EV
0.7715485970284036,0.029037456378014095,Fast_EV
0.7928511478752246,0.025479300897841294,Fast_EV
0.8120020760841529,0.022291277309577782,Fast_EV
0.8293347593480276,0.019973602802838084,Fast_EV
0.8446749521435344,0.016711259735342727,Fast_EV
0.8579920860726689,0.014590676935451075,Fast_EV
0.8698613108604009,0.012898336889252302,Fast_EV
0.8804655069937104,0.011344712487738887,Fast_EV
0.8899369684644359,0.010061718106493187,Fast_EV
0.8982987743107638,0.008648922836815136,Fast_EV
0.9056613742886634,0.007680445881710835,Fast_EV
