share,relative_growth,scenario
0.06485162013449891,0.1080494661788473,Slow_EV
0.07245156582032228,0.11307841787158088,Slow_EV
0.0827458195158845,0.14980574279603462,Slow_EV
0.09784785287446915,0.1819995762622628,Slow_EV
0.11691456577090706,0.17384624317364486,Slow_EV
0.13728009016500836,0.14864421149581722,Slow_EV
0.1579684814003478,0.13275364508239412,Slow_EV
0.1794235732016012,0.12227652976138852,Slow_EV
0.20257799222255907,0.12029710575205134,Slow_EV
0.22893674793509688,0.12382444289667645,Slow_EV
0.25889499311434144,0.12193563385332305,Slow_EV
0.2920923714925734,0.11923019930871591,Slow_EV
0.32875031522388665,0.11707868862969482,Slow_EV
0.36913133579515955,0.11451855003984938,Slow_EV
0.4136534773605356,0.1130702395629851,Slow_EV
0.4609842300429321,0.103885565844878,Slow_EV
0.5078152600206007,0.09013603169370085,Slow_EV
0.5521010514985993,0.07752046562502181,Slow_EV
0.5923730150711144,0.06371795406018463,Slow_EV
0.6269922874576829,0.05022988135953479,Slow_EV
0.6571107470538672,0.04374174537381236,Slow_EV
0.6845439798226568,0.03816160148588416,Slow_EV
0.709378321162983,0.03319158116433259,Slow_EV
0.7319824937852143,0.02959491149759643,Slow_EV
0.7519181169309519,0.024215787278050002,Slow_EV
0.769189762668222,0.021236635089583414,Slow_EV
0.7846902012602353,0.01869001913881992,Slow_EV
0.7985942275031073,0.016456639872336833,Slow_EV
0.811098677769005,0.014630430613313733,Slow_EV
0.8223981052399865,0.013049801486569658,Slow_EV
0.8327044243697844,0.011865562322142151,Slow_EV
