trace_name,trace_type,trace_role,source_file,model_id,cutoff,scenario,period_status,anchor_forecast_flag,runtime_forecast_source,displayed,workbook_basename,workbook_sha256,notes
Actual,Actual,source_actual,annual_spine.csv,,last complete FY2025,actual,ACTUAL,actual,False,True,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b,Connected grey actual line ends at FY2025.
PREBU26 official,PREBU26 official,official_external_comparator,official_annual.csv,,PREBU26 ST_FORECAST/LT_FORECAST rows,PREBU26,ST_FORECAST; LT_FORECAST,external_comparator,False,True,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b,Official MOT release comparator from the PREBU26 worksheet only.
Current finalist Base case,current finalist base,in_house_current_finalist,forecast_scenario_comparison.parquet; official_annual.csv,PED__DIAGLAB__B__glsar__ylag1__ar1__wexp; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2025Q4,current_basecase,FY2025 actual anchor; FY2026 nowcast; FY2027+ forecast,actual_anchor_then_forecast,True,True,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b,"Finalist model output replaces only PED, Light RUC and Heavy RUC revenue."
Current finalist High population/comparison,current finalist comparison,in_house_current_finalist,forecast_scenario_comparison.parquet; official_annual.csv,PED__DIAGLAB__B__glsar__ylag1__ar1__wexp; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2025Q4,current_comparison_1,FY2025 actual anchor; FY2026 nowcast; FY2027+ forecast,actual_anchor_then_forecast,True,True,PREBU26.xlsx,f69985432b34271d5868267d78b77ad2c746563788011b445715e4f58a25728b,"Finalist model output replaces only PED, Light RUC and Heavy RUC revenue."
