engine,metric,reference_ms,fast_ms,improvement_ratio,samples_reference,samples_fast
ar1,cold_total_ms,67777.0,7462.0,9.1,1,3
ar1,warm_view_median_ms,11.5,12.3,0.9,1,3
ar1,cold_total_ms_p95_fast,,7588.3,,,3
ensemble,cold_total_ms,80962.3,7086.9,11.4,1,3
ensemble,warm_view_median_ms,12.8,12.1,1.1,1,3
ensemble,cold_total_ms_p95_fast,,7208.2,,,3
