stream,stream_label,model,model_short,stress_bucket,mape,stress_type
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,1-4 qtrs,7.735818760353388,Horizon bucket
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,5-8 qtrs,9.486599810802035,Horizon bucket
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,9-12 qtrs,10.525989642599178,Horizon bucket
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,2024+,6.253350126815425,Recent stress window
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,2022-23,18.785206368204133,Policy stress window
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,Annual,5.999498868354417,Annual
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,1-4 qtrs,2.9449673529882188,Horizon bucket
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,5-8 qtrs,3.627032621829105,Horizon bucket
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,9-12 qtrs,4.254251250779513,Horizon bucket
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,2024+,2.162247360407197,Recent stress window
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,2022-23,2.9539797904801426,Policy stress window
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,Annual,3.171406050511395,Annual
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,1-4 qtrs,1.5561657815766774,Horizon bucket
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,5-8 qtrs,2.5127844392582763,Horizon bucket
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,9-12 qtrs,3.506246328236449,Horizon bucket
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,2024+,0.9552981318919924,Recent stress window
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,2022-23,2.1485546290124224,Policy stress window
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,Annual,2.3870893939736244,Annual
