scenario_name,fy,series_id,expression,observed,calculated,residual,missing_inputs,status
current_basecase,2034,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,3234.122430612836,3234.122430612836,0.0,,closes
current_basecase,2034,net_fed_revenue,gross_fed_revenue - fed_refunds,3123.317484751173,3123.317484751173,0.0,,closes
current_basecase,2034,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,535.6722565897716,535.6722565897716,0.0,,closes
current_basecase,2034,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,465.72156141809575,465.7215614180958,-5.684341886080802e-14,,closes
current_basecase,2034,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,463.73311806128567,463.73311806128567,0.0,,closes
current_basecase,2034,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,8137.571086939882,8137.571086939881,9.094947017729282e-13,,closes
current_basecase,2034,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,116.1025516821096,116.1025516821096,0.0,,closes
current_basecase,2034,total_revenue_net_admin,total_gross_revenue - total_admin_fees,8021.468535257773,8021.468535257773,0.0,,closes
current_basecase,2034,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,252.11148217380108,252.11148217380108,0.0,,closes
current_basecase,2034,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,7769.357053083972,7769.357053083972,0.0,,closes
current_basecase,2035,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,4655.736149937501,4655.736149937501,0.0,,closes
current_basecase,2035,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,4607.722314038103,4607.722314038103,0.0,,closes
current_basecase,2035,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,4460.27252014657,4460.27252014657,0.0,,closes
current_basecase,2035,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,3327.824943801254,3327.824943801254,0.0,,closes
current_basecase,2035,net_fed_revenue,gross_fed_revenue - fed_refunds,3216.449321172158,3216.449321172158,0.0,,closes
current_basecase,2035,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,532.1415118475148,532.1415118475148,0.0,,closes
current_basecase,2035,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,462.4477473255254,462.4477473255255,-5.684341886080802e-14,,closes
current_basecase,2035,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,460.4470773903571,460.4470773903571,0.0,,closes
current_basecase,2035,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,8533.260505279095,8533.260505279095,0.0,,closes
current_basecase,2035,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,117.7076004213874,117.7076004213874,0.0,,closes
current_basecase,2035,total_revenue_net_admin,total_gross_revenue - total_admin_fees,8415.552904857708,8415.552904857708,0.0,,closes
current_basecase,2035,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,260.82608645579734,260.82608645579734,0.0,,closes
current_basecase,2035,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,8154.726818401911,8154.726818401911,0.0,,closes
current_basecase,2036,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,4990.678059033036,4990.678059033036,0.0,,closes
current_basecase,2036,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,4940.6135990982,4940.6135990982,0.0,,closes
current_basecase,2036,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,4784.267928581673,4784.267928581673,0.0,,closes
current_basecase,2036,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,3419.5497546096844,3419.5497546096844,0.0,,closes
current_basecase,2036,net_fed_revenue,gross_fed_revenue - fed_refunds,3308.4437314625256,3308.4437314625256,0.0,,closes
current_basecase,2036,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,528.8727287182977,528.8727287182977,0.0,,closes
current_basecase,2036,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,459.4185166828991,459.4185166828991,0.0,,closes
current_basecase,2036,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,457.4046614102953,457.4046614102953,0.0,,closes
current_basecase,2036,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,8956.658442053844,8956.658442053844,0.0,,closes
current_basecase,2036,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,119.51867197023489,119.51867197023489,0.0,,closes
current_basecase,2036,total_revenue_net_admin,total_gross_revenue - total_admin_fees,8837.13977008361,8837.13977008361,0.0,,closes
