baseline_source,scenario_name,scenario_role,time_grain,series_id,period,fed_path,row_type,trace_name,value,source_path,period_fy
incumbent_chart_rows,actual,actual,june_year,ped_vkt_per_capita,FY2025,,historical_actual,Actual,5973.14429429917,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_vkt_per_capita,FY2025,Current planned path,future_forecast,Current finalist Base case,5973.14429429917,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_vkt_per_capita,FY2025,Current planned path,future_forecast,Current finalist comparison behavioural path,5973.14429429917,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2026,MBU26,official_comparator,MBU26 official,5935.87599744435,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_vkt_per_capita,FY2026,Current planned path,future_forecast,Current finalist Base case,6169.513389534369,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_vkt_per_capita,FY2026,Current planned path,future_forecast,Current finalist comparison behavioural path,6169.2392325267765,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2027,MBU26,official_comparator,MBU26 official,5924.5731702763,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_vkt_per_capita,FY2027,Current planned path,future_forecast,Current finalist Base case,6141.008454644322,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_vkt_per_capita,FY2027,Current planned path,future_forecast,Current finalist comparison behavioural path,6138.803634393285,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2028,MBU26,official_comparator,MBU26 official,5908.65677079833,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_vkt_per_capita,FY2028,Current planned path,future_forecast,Current finalist Base case,6138.046444659734,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_vkt_per_capita,FY2028,Current planned path,future_forecast,Current finalist comparison behavioural path,6132.178733998277,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2029,MBU26,official_comparator,MBU26 official,5897.91062691712,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_vkt_per_capita,FY2029,Current planned path,future_forecast,Current finalist Base case,6133.5092934732065,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_vkt_per_capita,FY2029,Current planned path,future_forecast,Current finalist comparison behavioural path,6124.2876876223,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2030,MBU26,official_comparator,MBU26 official,5887.16953577159,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_vkt_per_capita,FY2030,Current planned path,future_forecast,Current finalist Base case,6114.208933600386,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_vkt_per_capita,FY2030,Current planned path,future_forecast,Current finalist comparison behavioural path,6103.089432589002,,
