baseline_source,scenario_name,scenario_role,time_grain,series_id,period,fed_path,row_type,trace_name,baseline_value,refreshed_value,delta,source_path,period_fy
incumbent_chart_rows,actual,actual,june_year,ped_vkt_per_capita,FY2025,,historical_actual,Actual,5973.14429429917,5973.0514101063,-0.09288419286986027,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_vkt_per_capita,FY2025,Current planned path,future_forecast,Current finalist Base case,5973.14429429917,5973.0514101063,-0.09288419286986027,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_vkt_per_capita,FY2025,Current planned path,future_forecast,Current finalist comparison behavioural path,5973.14429429917,5973.0514101063,-0.09288419286986027,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_volume,FY2026,Current planned path,future_forecast,Current finalist Base case,3060.889071656919,3063.2842870467116,2.395215389792611,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_volume,FY2026,Current planned path,future_forecast,Current finalist High population/comparison,3064.1315559297523,3066.529385727319,2.3978297975668283,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_volume,FY2027,Current planned path,future_forecast,Current finalist Base case,2988.1217042310122,2988.084597834288,-0.037106396724084334,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_volume,FY2027,Current planned path,future_forecast,Current finalist High population/comparison,3007.5905901369983,3007.5532419762912,-0.03734816070709712,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_volume,FY2028,Current planned path,future_forecast,Current finalist Base case,2981.668112816533,2981.6514518463478,-0.016660970185057522,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_volume,FY2028,Current planned path,future_forecast,Current finalist High population/comparison,3019.956879710486,3019.940004790264,-0.016874920222107903,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_volume,FY2029,Current planned path,future_forecast,Current finalist Base case,2973.980088087325,2973.97331412848,-0.006773958844860317,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_volume,FY2029,Current planned path,future_forecast,Current finalist High population/comparison,3031.4181363759153,3031.4112315880257,-0.006904787889652653,,
incumbent_chart_rows,current_basecase,basecase,june_year,ped_volume,FY2030,Current planned path,future_forecast,Current finalist Base case,2958.899456253502,2958.8957603061776,-0.0036959473245588015,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,ped_volume,FY2030,Current planned path,future_forecast,Current finalist High population/comparison,3036.036401927321,3036.0326096286026,-0.003792298718508391,,
incumbent_chart_rows,current_basecase,basecase,june_year,gross_ped_revenue,FY2026,Current planned path,future_forecast,Current finalist Base case,2143.356963537042,2145.0341891615885,1.677225624546736,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,gross_ped_revenue,FY2026,Current planned path,future_forecast,Current finalist High population/comparison,2145.6274807242507,2147.3065370616973,1.679056337446582,,
incumbent_chart_rows,current_basecase,basecase,june_year,gross_ped_revenue,FY2027,Current planned path,future_forecast,Current finalist Base case,2270.5040576345127,2271.1971624757975,0.6931048412848213,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,gross_ped_revenue,FY2027,Current planned path,future_forecast,Current finalist High population/comparison,2285.2973588526575,2285.99497956726,0.6976207146026354,,
incumbent_chart_rows,current_basecase,basecase,june_year,gross_ped_revenue,FY2028,Current planned path,future_forecast,Current finalist Base case,2534.684498990492,2534.825956879315,0.14145788882296984,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,gross_ped_revenue,FY2028,Current planned path,future_forecast,Current finalist High population/comparison,2567.2333744050297,2567.3766488099523,0.14327440492252208,,
incumbent_chart_rows,current_basecase,basecase,june_year,gross_ped_revenue,FY2029,Current planned path,future_forecast,Current finalist Base case,2676.9113070502763,2676.9622167960188,0.0509097457425014,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,gross_ped_revenue,FY2029,Current planned path,future_forecast,Current finalist High population/comparison,2728.6119090598595,2728.663802052412,0.051892992552438955,,
incumbent_chart_rows,current_basecase,basecase,june_year,gross_ped_revenue,FY2030,Current planned path,future_forecast,Current finalist Base case,2781.659206232161,2781.6793512770555,0.02014504489443425,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,gross_ped_revenue,FY2030,Current planned path,future_forecast,Current finalist High population/comparison,2854.1755922217985,2854.196262437372,0.020670215573318274,,
incumbent_chart_rows,current_basecase,basecase,june_year,light_ruc_net_revenue,FY2026,Current planned path,future_forecast,Current finalist Base case,867.440868646173,867.4389604921547,-0.001908154018337882,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,light_ruc_net_revenue,FY2026,Current planned path,future_forecast,Current finalist High population/comparison,868.012021335747,868.010111925335,-0.0019094104120540578,,
incumbent_chart_rows,current_basecase,basecase,june_year,light_ruc_net_revenue,FY2027,Current planned path,future_forecast,Current finalist Base case,939.6893927655569,940.1600224373842,0.47062967182728244,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,light_ruc_net_revenue,FY2027,Current planned path,future_forecast,Current finalist High population/comparison,945.344221435419,945.8176832453779,0.4734618099589625,,
incumbent_chart_rows,current_basecase,basecase,june_year,light_ruc_net_revenue,FY2028,Current planned path,future_forecast,Current finalist Base case,1087.3404941589715,1087.4867913007602,0.1462971417886365,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,light_ruc_net_revenue,FY2028,Current planned path,future_forecast,Current finalist High population/comparison,1099.6924709137568,1099.8404299626523,0.14795904889547273,,
incumbent_chart_rows,current_basecase,basecase,june_year,light_ruc_net_revenue,FY2029,Current planned path,future_forecast,Current finalist Base case,1191.3931534415976,1191.438708351885,0.04555491028736469,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,light_ruc_net_revenue,FY2029,Current planned path,future_forecast,Current finalist High population/comparison,1211.3412392466093,1211.3875569053282,0.04631765871886273,,
incumbent_chart_rows,current_basecase,basecase,june_year,light_ruc_net_revenue,FY2030,Current planned path,future_forecast,Current finalist Base case,1271.029669278332,1271.0591011588097,0.029431880477659433,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,light_ruc_net_revenue,FY2030,Current planned path,future_forecast,Current finalist High population/comparison,1299.194773882275,1299.2248579520858,0.030084069810754954,,
incumbent_chart_rows,current_basecase,basecase,june_year,heavy_ruc_net_revenue,FY2026,Current planned path,future_forecast,Current finalist Base case,1134.8353401385034,1134.8364690215053,0.0011288830019111629,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,heavy_ruc_net_revenue,FY2026,Current planned path,future_forecast,Current finalist High population/comparison,1135.2102486241813,1135.2113778801254,0.0011292559440789773,,
incumbent_chart_rows,current_basecase,basecase,june_year,heavy_ruc_net_revenue,FY2027,Current planned path,future_forecast,Current finalist Base case,1232.1203935629142,1232.1435318108831,0.02313824796897279,,
incumbent_chart_rows,current_comparison_1,comparison,june_year,heavy_ruc_net_revenue,FY2027,Current planned path,future_forecast,Current finalist High population/comparison,1234.6034877580475,1234.6266726365643,0.023184878516758545,,
