scenario_name,fy,pool_million_km,retired_pathology_million_km,pool_vs_pathology_ratio
current_basecase,2031,20136.339088534547,185800.0,0.1083764213591741
current_basecase,2032,21029.058458528896,185800.0,0.11318115424396608
current_basecase,2033,21993.853093686357,185800.0,0.11837380567107834
current_basecase,2034,23094.50099961244,185800.0,0.12429763724226287
current_basecase,2035,24350.844840023645,185800.0,0.13105944477945988
current_basecase,2036,25742.135943682377,185800.0,0.13854755620927006
current_basecase,2037,27280.032510228204,185800.0,0.14682471749315504
current_basecase,2038,28975.00822555329,185800.0,0.1559472993840328
current_basecase,2039,30896.879196062822,185800.0,0.16629106133510668
current_basecase,2040,33015.93492012918,185800.0,0.17769609752491483
current_basecase,2041,35244.5919895031,185800.0,0.18969102254845585
current_basecase,2042,37525.279592600804,185800.0,0.20196598273735633
current_basecase,2043,39743.566553085395,185800.0,0.21390509447301073
current_basecase,2044,41762.39937185952,185800.0,0.22477071782486288
current_basecase,2045,43648.65334286586,185800.0,0.2349227844072436
current_basecase,2046,45545.19790341757,185800.0,0.24513023629395891
current_basecase,2047,47429.46025042825,185800.0,0.255271583694447
current_basecase,2048,49326.712049102665,185800.0,0.2654828420296161
current_basecase,2049,51032.84627338859,185800.0,0.2746654804811011
current_basecase,2050,52460.6965268435,185800.0,0.2823503580562083
current_comparison_1,2031,20582.545900599805,185800.0,0.11077796501937462
current_comparison_1,2032,21495.047290672515,185800.0,0.11568916733408242
current_comparison_1,2033,22481.221082019118,185800.0,0.12099688418740107
current_comparison_1,2034,23606.258555043285,185800.0,0.12705198361164308
current_comparison_1,2035,24890.442072638256,185800.0,0.133963627947461
current_comparison_1,2036,26312.56318791374,185800.0,0.14161767054851312
current_comparison_1,2037,27884.538437840263,185800.0,0.15007824778170217
current_comparison_1,2038,29617.07359766705,185800.0,0.15940297953534474
current_comparison_1,2039,31581.531848574545,185800.0,0.16997595182225267
current_comparison_1,2040,33747.54432555745,185800.0,0.1816337154228065
current_comparison_1,2041,36025.58683494307,185800.0,0.1938944393699842
current_comparison_1,2042,38356.81283731091,185800.0,0.2064414038606615
current_comparison_1,2043,40624.255443642134,185800.0,0.21864507773757877
current_comparison_1,2044,42687.82414773271,185800.0,0.22975147549909963
current_comparison_1,2045,44615.87615200853,185800.0,0.2401285045856218
current_comparison_1,2046,46554.44677790325,185800.0,0.2505621462750444
current_comparison_1,2047,48480.46302522606,185800.0,0.26092821865030175
current_comparison_1,2048,50419.75656113233,185800.0,0.2713657511363419
current_comparison_1,2049,52163.697494464366,185800.0,0.2807518702608416
current_comparison_1,2050,53623.18788403833,185800.0,0.28860703920365083
