scenario_name,scenario_role,source_path,fy,series_id,value,unit,formula,forecast_segment,value_status,decision_facing
current_basecase,basecase,Current finalist Base case,2031,ped_vkt_per_capita,6113.39742210443,km/person,FY2030 VKTpc anchor * raw AR(1) long-horizon growth,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,light_petrol_vkt,34043.2191814063,million km,FY2030 petrol anchor * raw (VKTpc x scenario population) growth,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,ped_volume,2951.6956855068775,million litres,extrapolated petrol VKT * MBU26 litres intensity / 100,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,heavy_ruc_net_km,4243.077952193822,million km,FY2030 Heavy anchor * raw long-horizon growth,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,light_ruc_net_km,13975.746962431933,million km,structural pool (FY2030 anchor * VFM pool index) * exact VFM conventional share,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,light_bev_ruc_net_km,4016.374058260012,million km,structural pool * exact VFM Light BEV share,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,phev_ruc_net_km,2144.218067842601,million km,structural pool * exact VFM PHEV share,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,current_light_ruc_conventional_modelled_km,13975.746962431933,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,heavy_bev_ruc_net_km,106.53370251036,million km,carried from MBU26 official (fixed line),post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2031,tuc_gtk,8179315222.66,million tonne-km,carried from MBU26 official (fixed line),post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,ped_vkt_per_capita,6105.330649957428,km/person,FY2030 VKTpc anchor * raw AR(1) long-horizon growth,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,light_petrol_vkt,34222.375581011845,million km,FY2030 petrol anchor * raw (VKTpc x scenario population) growth,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,ped_volume,2937.407935997684,million litres,extrapolated petrol VKT * MBU26 litres intensity / 100,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,heavy_ruc_net_km,4274.356327077081,million km,FY2030 Heavy anchor * raw long-horizon growth,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,light_ruc_net_km,13775.00062702552,million km,structural pool (FY2030 anchor * VFM pool index) * exact VFM conventional share,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,light_bev_ruc_net_km,4775.173449470449,million km,structural pool * exact VFM Light BEV share,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,phev_ruc_net_km,2478.8843820329275,million km,structural pool * exact VFM PHEV share,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,current_light_ruc_conventional_modelled_km,13775.00062702552,million km,conventional class of the structural pool,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,heavy_bev_ruc_net_km,127.653005544349,million km,carried from MBU26 official (fixed line),post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2032,tuc_gtk,8179315222.66,million tonne-km,carried from MBU26 official (fixed line),post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2033,ped_vkt_per_capita,6088.836552316208,km/person,FY2030 VKTpc anchor * raw AR(1) long-horizon growth,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2033,light_petrol_vkt,34351.76984242723,million km,FY2030 petrol anchor * raw (VKTpc x scenario population) growth,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2033,ped_volume,2918.5857228422306,million litres,extrapolated petrol VKT * MBU26 litres intensity / 100,post_model_extrapolation,post_model_extrapolation,True
current_basecase,basecase,Current finalist Base case,2033,heavy_ruc_net_km,4301.483346364516,million km,FY2030 Heavy anchor * raw long-horizon growth,post_model_extrapolation,post_model_extrapolation,True
