vintage_id,series_id,display_name,source_series_id,source_label,unit,metric_type,section,row_role,source_rows,valued_rows,first_fy,last_fy,first_valued_fy,last_valued_fy,in_display_series_order,in_runtime_chart_pack,runtime_official_rows,selector_label,selectable,coverage_status
MBU26,mvr_admin_revenue,MVR admin revenue,mvr_admin_revenue,MVR admin revenue (m $),$m nominal ex GST,revenue,MVR,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,mvr_refunds,MVR refunds,mvr_refunds,MVR refunds (m $),$m nominal ex GST,revenue,MVR,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,mvr_refunds,MVR refunds,mvr_refunds,MVR refunds (m $),$m nominal ex GST,revenue,MVR,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,mvr_revenue_net_admin_coo,MVR revenues net of admin fees & COO (m $),$m nominal ex GST,revenue,MVR,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,mvr_revenue_net_admin_coo,MVR revenues net of admin fees & COO (m $),$m nominal ex GST,revenue,MVR,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,net_fed_revenue,Net FED revenue,net_fed_revenue,Net FED revenue (m $),$m nominal ex GST,revenue,FED,aggregate,55,55,2001,2055,2001,2055,True,True,30,Net FED revenue,True,official_trace_materialised
MBU26,net_fed_revenue,Net FED revenue,net_fed_revenue,Net FED revenue (m $),$m nominal ex GST,revenue,FED,aggregate,55,55,2001,2055,2001,2055,True,True,30,Net FED revenue,True,official_trace_materialised
BEFU26,net_mvr_revenue,Net MVR revenue,net_mvr_revenue,"MVR revenues net of admin fees, refunds & COO (m $)",$m nominal ex GST,revenue,MVR,aggregate,55,55,2001,2055,2001,2055,True,True,30,Net MVR revenue,True,official_trace_materialised
MBU26,net_mvr_revenue,Net MVR revenue,net_mvr_revenue,"MVR revenues net of admin fees, refunds & COO (m $)",$m nominal ex GST,revenue,MVR,aggregate,55,55,2001,2055,2001,2055,True,True,30,Net MVR revenue,True,official_trace_materialised
BEFU26,ped_vkt_per_capita,PED VKT per capita,light_petrol_vkt_per_capita,Light petrol VKT per capita (km),km/person,activity,Key volumes,bridge_input,55,53,2001,2055,2003,2055,True,True,30,PED VKT per capita,True,official_trace_materialised
MBU26,ped_vkt_per_capita,PED VKT per capita,light_petrol_vkt_per_capita,Light petrol VKT per capita (km),km/person,activity,Key volumes,bridge_input,55,53,2001,2055,2003,2055,True,True,30,PED VKT per capita,True,official_trace_materialised
BEFU26,ped_volume,PED volume,ped_volume,PED volume (m L),million litres,activity,Key volumes,bridge_input,55,55,2001,2055,2001,2055,True,True,30,PED volume,True,official_trace_materialised
MBU26,ped_volume,PED volume,ped_volume,PED volume (m L),million litres,activity,Key volumes,bridge_input,55,55,2001,2055,2001,2055,True,True,30,PED volume,True,official_trace_materialised
BEFU26,phev_ruc_net_km,PHEV RUC net km,phev_ruc_net_km,PHEV RUC net km (m km),million km,activity,Key volumes,bridge_input,55,55,2001,2055,2001,2055,True,True,30,PHEV RUC net km,True,official_trace_materialised
MBU26,phev_ruc_net_km,PHEV RUC net km,phev_ruc_net_km,PHEV RUC net km (m km),million km,activity,Key volumes,bridge_input,55,55,2001,2055,2001,2055,True,True,30,PHEV RUC net km,True,official_trace_materialised
BEFU26,phev_ruc_net_revenue,PHEV RUC net revenue,phev_ruc_net_revenue,PHEV RUC net revenue (m $),$m nominal ex GST,revenue,RUC,leaf,55,55,2001,2055,2001,2055,True,True,30,PHEV RUC net revenue,True,official_trace_materialised
MBU26,phev_ruc_net_revenue,PHEV RUC net revenue,phev_ruc_net_revenue,PHEV RUC net revenue (m $),$m nominal ex GST,revenue,RUC,leaf,55,55,2001,2055,2001,2055,True,True,30,PHEV RUC net revenue,True,official_trace_materialised
