series_id,trace_name,scenario_name,period,value_before,value_after,absolute_movement,relative_movement
light_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2045Q3,1855.9024360380727,1855.8884806127683,0.013955425304402524,7.519482184739283e-06
light_bev_ruc_net_revenue,BEFU26 official,befu26_official,2034Q2,181.18969271187086,181.18850973911418,0.001182972756680556,6.5289186099660075e-06
light_bev_ruc_net_revenue,MBU26 official,mbu26_official,2034Q2,181.18969271187086,181.18850973911418,0.001182972756680556,6.5289186099660075e-06
light_bev_ruc_net_km,MBU26 official,mbu26_official,2034Q3,1629.5564040918255,1629.5473357508358,0.00906834098964282,5.564913842118115e-06
light_bev_ruc_net_km,BEFU26 official,befu26_official,2034Q3,1629.5564040918255,1629.5473357508358,0.00906834098964282,5.564913842118115e-06
light_bev_ruc_net_km,BEFU26 official,befu26_official,2034Q2,1699.1851342928321,1699.1759078857058,0.00922640712633438,5.429901039108509e-06
light_bev_ruc_net_km,MBU26 official,mbu26_official,2034Q2,1699.1851342928321,1699.1759078857058,0.00922640712633438,5.429901039108509e-06
light_bev_ruc_net_km,MBU26 official,mbu26_official,2033Q3,1369.4092756790703,1369.4166291157426,0.007353436672246971,5.369787398731112e-06
light_bev_ruc_net_km,BEFU26 official,befu26_official,2033Q3,1369.4092756790703,1369.4166291157426,0.007353436672246971,5.369787398731112e-06
light_bev_ruc_net_revenue,BEFU26 official,befu26_official,2033Q3,142.08624882239178,142.08700874970498,0.000759927313197295,5.348352282473207e-06
light_bev_ruc_net_revenue,MBU26 official,mbu26_official,2033Q3,142.08624882239178,142.08700874970498,0.000759927313197295,5.348352282473207e-06
light_bev_ruc_net_revenue,BEFU26 official,befu26_official,2035Q3,215.78720200076756,215.78835373175482,0.00115173098726018,5.337346128877852e-06
light_bev_ruc_net_revenue,MBU26 official,mbu26_official,2035Q3,215.78720200076756,215.78835373175482,0.00115173098726018,5.337346128877852e-06
