origin,target_period,actual,pred,error,pct_error
2011Q4,2012Q1,1689.2367433390675,1681.1288455714794,-8.107897767588156,-0.4799740355849411
2012Q1,2012Q2,1654.1635383056075,1673.7249629395176,19.561424633910065,1.1825568742705583
2012Q2,2012Q3,1656.679766172925,1660.4333755181503,3.7536093452254136,0.22657422525878848
2012Q3,2012Q4,1691.5758481338778,1686.682262955721,-4.8935851781568545,-0.28929150197760195
2012Q4,2013Q1,1669.1066240363002,1673.2030730140132,4.096448977712953,0.24542763887706326
2013Q1,2013Q2,1653.8925437795576,1654.6275770209925,0.7350332414348486,0.04444262380886693
2013Q2,2013Q3,1657.771241840897,1656.315256472643,-1.4559853682540052,-0.08782788188780404
2013Q3,2013Q4,1689.756940552281,1680.626509047544,-9.13043150473709,-0.5403399320705198
2013Q4,2014Q1,1663.5750910310285,1664.4213041091905,0.846213078162009,0.05086714045697536
2014Q1,2014Q2,1650.6412452489812,1653.7457295462027,3.104484297221461,0.18807747026539273
2014Q2,2014Q3,1656.3183843935471,1652.4817915289475,-3.836592864599652,-0.23163377891288706
2014Q3,2014Q4,1686.1617935287663,1684.7968254305083,-1.3649680982580321,-0.08095119362190349
2014Q4,2015Q1,1666.9199328413831,1674.3629306101147,7.4429977687316295,0.44651201429000326
2015Q1,2015Q2,1666.6828675687343,1654.0640630065295,-12.618804562204787,-0.7571209141072175
2015Q2,2015Q3,1677.2011820521825,1660.9212795893177,-16.27990246286481,-0.9706588951329691
2015Q3,2015Q4,1707.282279711192,1698.545743282392,-8.736536428799809,-0.5117218477941271
2015Q4,2016Q1,1705.794990531884,1696.6815700989582,-9.11342043292575,-0.5342623517779292
2016Q1,2016Q2,1692.8710046610347,1686.887986788895,-5.983017872139726,-0.3534243220934434
2016Q2,2016Q3,1700.9157190921778,1687.8444513260838,-13.071267766094024,-0.7684841535282239
2016Q3,2016Q4,1723.6814859298345,1706.3653175953568,-17.316168334477652,-1.0046037203408553
2016Q4,2017Q1,1698.630785625042,1704.8527404770507,6.221954852008594,0.36629236351201017
2017Q1,2017Q2,1698.9649958845876,1687.0447656800586,-11.920230204528934,-0.7016171747742522
2017Q2,2017Q3,1705.0527201927173,1703.215275702394,-1.837444490323378,-0.10776467311319833
2017Q3,2017Q4,1723.526899255977,1719.5689801214478,-3.95791913452922,-0.2296406941045016
2017Q4,2018Q1,1694.34770814253,1698.516106003202,4.168397860671803,0.2460178533980791
2018Q1,2018Q2,1688.703955990905,1682.677704197742,-6.026251793162828,-0.3568566160921154
2018Q2,2018Q3,1690.809020794082,1677.7919287446837,-13.017092049398343,-0.7698735865086002
2018Q3,2018Q4,1702.5580537077526,1703.3206155887892,0.7625618810366177,0.04478918527188812
2018Q4,2019Q1,1664.9907275407782,1694.3798186434706,29.38909110269242,1.765120406772514
2019Q1,2019Q2,1644.7482969301277,1666.365642803186,21.617345873058184,1.314325475418111
2019Q2,2019Q3,1616.271849022156,1667.3019196016198,51.03007057946388,3.1572702704892786
2019Q3,2019Q4,1578.7822651969495,1642.5092256635453,63.726960466595756,4.036462903809346
2019Q4,2020Q1,1506.785833256674,1593.3359640479882,86.55013079131413,5.7440233960953835
2020Q1,2020Q2,1476.9731528047046,1477.5900757991174,0.6169229944127892,0.041769411532043124
2020Q2,2020Q3,1518.7948311969797,1470.1288262018966,-48.666004995083085,-3.204251423263592
2020Q3,2020Q4,1541.7142427336294,1504.5185976574364,-37.19564507619293,-2.4126160377321906
2020Q4,2021Q1,1517.525141584026,1552.1509638004331,34.62582221640719,2.281729723453807
2021Q1,2021Q2,1521.016306340223,1507.840193713011,-13.176112627211978,-0.8662703070498659
2021Q2,2021Q3,1489.1106467848222,1509.6614828273175,20.550836042495348,1.3800744818302921
2021Q3,2021Q4,1475.7690225316271,1510.0527146312047,34.28369209957759,2.323106907391591
2021Q4,2022Q1,1455.9408190336771,1476.145593369579,20.204774335901902,1.3877469517828356
2022Q1,2022Q2,1488.860008088108,1452.2038760308865,-36.65613205722161,-2.462026776062909
2022Q2,2022Q3,1524.7505981978798,1484.5119632211313,-40.23863497674847,-2.6390306076486856
2022Q3,2022Q4,1549.0269452327714,1522.70157472268,-26.32537051009126,-1.6994778942425282
2022Q4,2023Q1,1521.7618781648694,1518.9256556960554,-2.8362224688139577,-0.18637754759859204
2023Q1,2023Q2,1532.857539802137,1516.2216546715435,-16.63588513059335,-1.0852857945781922
2023Q2,2023Q3,1531.4092323893385,1505.7773023999548,-25.631929989383707,-1.673747907957444
2023Q3,2023Q4,1537.96922014214,1521.2424676990167,-16.72675244312336,-1.0875869441377677
2023Q4,2024Q1,1520.2757620778643,1507.684259775542,-12.591502302322397,-0.8282380484125283
2024Q1,2024Q2,1507.4384642146947,1500.7584027910457,-6.680061423649022,-0.443139908011371
2024Q2,2024Q3,1490.9243707378405,1494.7828545054028,3.8584837675623476,0.25879808817216066
2024Q3,2024Q4,1502.0182743465325,1506.480713272627,4.462438926094592,0.297096180673036
2024Q4,2025Q1,1499.78577995301,1487.5201115727427,-12.265668380267243,-0.8178280221227021
2025Q1,2025Q2,1476.2931862205082,1484.926296483458,8.633110262949685,0.584782910571545
2025Q2,2025Q3,1544.6797387351803,1488.243607617604,-56.436131117576224,-3.6535813672151507
2025Q3,2025Q4,1565.5435343949114,1543.6960464519257,-21.84748794298571,-1.395520946112166
