period,actual_level,actual_log,xbeta_log,xbeta_level,raw_residual_log,committed_training_fit_level,abs_delta_vs_committed,lagged_residual_log
2002Q2,1854.8369606135454,7.5255520793262844,7.526500597560915,1856.5971419430305,-0.000948518234630491,1856.5971419430305,0.0,
2002Q3,1862.6786036124977,7.529770840213171,7.535640647907695,1873.6443206525666,-0.005869807694524276,1873.6443206525682,1.5916157281026244e-12,-0.000948518234630491
2002Q4,1899.288829148161,7.549234794638298,7.54945864227747,1899.7140280567821,-0.0002238476391722699,1899.7140280567821,0.0,-0.005869807694524276
2003Q1,1869.6778960790102,7.5335214469261365,7.535368233289371,1873.1339820650821,-0.0018467863632345427,1873.1339820650805,1.5916157281026244e-12,-0.0002238476391722699
2003Q2,1857.878875845643,7.527190726638258,7.533576963190373,1869.7816964924052,-0.006386236552114788,1869.7816964924052,0.0,-0.0018467863632345427
2003Q3,1866.367749332602,7.531749440946161,7.534483805895555,1871.4780634368954,-0.0027343649493944966,1871.4780634368954,0.0,-0.006386236552114788
2003Q4,1902.6144744832498,7.550984258481908,7.549623617898306,1900.02746041161,0.0013606405836013025,1900.0274604116119,1.8189894035458565e-12,-0.0027343649493944966
2004Q1,1893.0121822433898,7.545924586605092,7.539981779265904,1881.7957371505656,0.005942807339187617,1881.7957371505656,0.0,0.0013606405836013025
2004Q2,1857.5757538064283,7.527027558428657,7.532811775211386,1868.3515092657399,-0.005784216782729779,1868.351509265738,1.8189894035458565e-12,0.005942807339187617
2004Q3,1860.3516663535784,7.528520816768189,7.528396664159503,1860.1207131781432,0.00012415260868614553,1860.1207131781432,0.0,-0.005784216782729779
2004Q4,1897.667853770926,7.548380965842724,7.538654664468623,1879.3000345905243,0.009726301374100466,1879.3000345905243,0.0,0.00012415260868614553
2005Q1,1872.597339024945,7.535081697498196,7.5292711471486395,1861.7480685431435,0.005810550349556465,1861.7480685431435,0.0,0.009726301374100466
2005Q2,1850.130556335968,7.52301148657477,7.522878048096151,1849.8836942001028,0.00013343847861957414,1849.8836942001028,0.0,0.005810550349556465
2005Q3,1842.5792416165427,7.518921630800313,7.515771156868922,1836.7833784011889,0.003150473931390785,1836.7833784011889,0.0,0.00013343847861957414
