order,term,role,value_full_precision,value_rounded
0,intercept,intercept,1.938275116572953,1.93827512
1,petrol__log,regressor,-0.06279344810503922,-0.06279345
2,gdp_pc__log,regressor,0.19655204192734654,0.19655204
3,unemp__level,regressor,0.1355503881837521,0.13555039
4,time__trend,regressor,-0.0011749059854803123,-0.00117491
5,time__post2011_trend,regressor,-0.00011477746243258543,-0.00011478
6,time__post2020,regressor,-0.02365551448669101,-0.02365551
7,time__covid2020,regressor,-0.003595669173199312,-0.00359567
8,time__q2,regressor,0.0013817954595498755,0.0013818
9,time__q3,regressor,0.009098327298913411,0.00909833
10,time__q4,regressor,0.01941727119929182,0.01941727
11,log_vkt_per_capita_lag1,regressor,0.5341842848473402,0.53418428
12,ar1_rho,AR(1) error coefficient,0.5233292750642162,0.52332928
13,last_observed_residual,initialises the forward AR recursion,0.018624780347614056,0.01862478
