period,year,quarter,vkt_per_capita,log_vkt_per_capita,log_vkt_per_capita_lag1,log_real_petrol_price,log_real_gdp_per_capita,unemployment_rate,trend,post2011,post2011_trend,post2020,covid2020,q2,q3,q4,real_petrol_price_cents_per_litre,real_gdp_per_capita_nzd,population,unemployment_percent,data_status,estimation_sample,latest_actual,is_placeholder,excluded_reason,qdate
2002Q1,2002,1,1864.090327167367,7.530528452852224,,5.185462846709036,9.659096742021859,0.053,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.65612105396744,15663.629977639052,3935700.0,5.3,Historical official/source data,0,0,0,outside production estimation window,168
2002Q2,2002,2,1854.8369606135454,7.5255520793262844,7.530528452852224,5.272127243709035,9.665499521410739,0.053,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,194.8299727727509,15764.242500988099,3948500.0,5.3,Historical official/source data,1,0,0,,169
2002Q3,2002,3,1862.6786036124977,7.529770840213171,7.5255520793262844,5.242046650709035,9.681254942029808,0.055,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,189.05663962293664,16014.581693447697,3967600.0,5.5,Historical official/source data,1,0,0,,170
2002Q4,2002,4,1899.288829148161,7.549234794638298,7.529770840213171,5.2308664327090355,9.692755803477777,0.051,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186.9547170484098,16199.826373498725,3989500.0,5.1,Historical official/source data,1,0,0,,171
2003Q1,2003,1,1869.6778960790102,7.5335214469261365,7.549234794638298,5.288591023709035,9.692067467302984,0.05,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0641610101693,16188.679283893132,4013300.0,5.0,Historical official/source data,1,0,0,,172
2003Q2,2003,2,1857.878875845643,7.527190726638258,7.5335214469261365,5.184439698709036,9.692712303096991,0.048,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,178.4734228805966,16199.121690209922,4027200.0,4.8,Historical official/source data,1,0,0,,173
2003Q3,2003,3,1866.367749332602,7.531749440946161,7.527190726638258,5.249480944709036,9.704097600287723,0.045,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,190.46737969529534,16384.607406254978,4044600.0,4.5,Historical official/source data,1,0,0,,174
2003Q4,2003,4,1902.6144744832498,7.550984258481908,7.531749440946161,5.220598106709035,9.711606180537231,0.047,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,185.04482753190592,16508.095576062522,4061600.0,4.7,Historical official/source data,1,0,0,,175
2004Q1,2004,1,1893.0121822433898,7.545924586605092,7.550984258481908,5.2689756217090356,9.733256394859495,0.043,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.216908924506,16869.396390718495,4078700.0,4.3,Historical official/source data,1,0,0,,176
2004Q2,2004,2,1857.5757538064283,7.527027558428657,7.545924586605092,5.336489036709035,9.73173442737854,0.042,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,207.7819134686791,16843.741246088677,4087500.0,4.2,Historical official/source data,1,0,0,,177
2004Q3,2004,3,1860.3516663535784,7.528520816768189,7.527027558428657,5.337994298709035,9.72989740923198,0.039,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,208.09491520301884,16812.827391113497,4100600.0,3.9,Historical official/source data,1,0,0,,178
