cohort,target_window,horizon,horizon_support_state,n_observations,n_origins,mape_pct,wape_pct,rmse,signed_mean_error_pct,signed_mean_error,first_target_period,last_target_period
all_available,all_targets,1,H1-H12,56,56,1.0865159161244708,1.0591024807471494,24.56984387570662,-0.1003064697886995,-1.6488259349940304,2012Q1,2025Q4
all_available,all_targets,2,H1-H12,55,55,1.48309356515642,1.4399129624652045,34.88783445223691,0.0667328567254104,0.812807604345988,2012Q2,2025Q4
all_available,all_targets,3,H1-H12,54,54,1.6762222431469396,1.6242063199666497,41.14123986147407,0.2748531212757837,3.8808570785057217,2012Q3,2025Q4
all_available,all_targets,4,H1-H12,53,53,1.955370669354047,1.89140238044159,47.264077462714944,0.4900152567590567,7.062397219794067,2012Q4,2025Q4
all_available,all_targets,5,H1-H12,52,52,2.350411956389983,2.275786801498564,54.30591106146984,0.6609238354295494,9.494717548812956,2013Q1,2025Q4
all_available,all_targets,6,H1-H12,51,51,2.598286536046089,2.518206856946557,59.26275017236757,0.7696277401578345,11.062206528224625,2013Q2,2025Q4
all_available,all_targets,7,H1-H12,50,50,2.8178191344078085,2.730811904914674,64.60213988736236,0.8785779304089424,12.644592094826216,2013Q3,2025Q4
all_available,all_targets,8,H1-H12,49,49,3.0915588075760554,2.99377715046257,70.38683552880299,0.9995940770897556,14.35804493503822,2013Q4,2025Q4
all_available,all_targets,9,H1-H12,48,48,3.515001680068996,3.403236653171417,76.8007030848894,1.169380071717543,16.744292424467517,2014Q1,2025Q4
all_available,all_targets,10,H1-H12,47,47,3.825546973956651,3.701619549981609,82.77042250049699,1.370635176646418,19.621457463806365,2014Q2,2025Q4
all_available,all_targets,11,H1-H12,46,46,4.08482144504406,3.9490491224136415,87.04224839929421,1.5977384681613005,22.969945647233427,2014Q3,2025Q4
all_available,all_targets,12,H1-H12,45,45,4.306725470055425,4.164289428336716,90.22510408914695,1.7918266156395062,25.829563712835736,2014Q4,2025Q4
all_available,all_targets,13,H13-H20,44,44,4.581415132569517,4.433330302401978,94.31887443130135,2.026301357830764,29.275692940560308,2015Q1,2025Q4
all_available,all_targets,14,H13-H20,43,43,4.7938466440091965,4.642554308725771,97.8493515189354,2.28114772111089,33.03211582721622,2015Q2,2025Q4
all_available,all_targets,15,H13-H20,42,42,5.029144787031892,4.876268557671398,100.86817514962136,2.5992336736502515,37.807966777283625,2015Q3,2025Q4
all_available,all_targets,16,H13-H20,41,41,5.1750699652786425,5.024387623822903,101.98185320450976,2.899338586905875,42.402363405661376,2015Q4,2025Q4
all_available,all_targets,17,H13-H20,40,40,5.302105655422675,5.154893672028823,103.39286310015062,3.2395210170227147,47.58681675023813,2016Q1,2025Q4
all_available,all_targets,18,H13-H20,39,39,5.547012904954306,5.398811793478534,105.55858357297572,3.568692462979982,52.563524591978,2016Q2,2025Q4
