canonical_name,stata_name,label,unit,raw_or_derived,derivation,role_in_equation,expected_range,source
period,period,Quarter label e.g. 2002Q2,-,raw,source period column,index,2002Q1-2026Q1,ped_inputs.parquet/period
qdate,qdate,Stata quarterly date,quarters since 1960q1,derived,(year-1960)*4+(quarter-1),tsset key,168-264,derived
year,year,Calendar year,-,raw,source,time features,2002-2026,ped_inputs.parquet/year
quarter,quarter,Calendar quarter,1-4,raw,source,seasonal dummies,1-4,ped_inputs.parquet/quarter
vkt_per_capita,vktpc,Light petrol VKT per capita,km/person/quarter,raw,source target,dependent (level),~1600-1900,ped_inputs.parquet/target
log_vkt_per_capita,ln_vktpc,ln of the above,log km,derived,ln(target),DEPENDENT VARIABLE,~7.4-7.6,derived
log_vkt_per_capita_lag1,ln_vktpc_l1,One-quarter lag of ln target,log km,derived,L1.ln(target),regressor 11,~7.4-7.6,derived
real_petrol_price_cents_per_litre,petrol_real_cpl,Real petrol price,cents/litre real,raw,source,context for ln,~150-260,ped_inputs.parquet
log_real_petrol_price,ln_petrol,ln real petrol price,log c/l,raw,source (pre-logged),regressor 1,~5.0-5.6,ped_inputs.parquet
real_gdp_per_capita_nzd,gdp_pc_real,Real GDP per capita,NZD real,raw,source,context for ln,~11k-16k,ped_inputs.parquet
log_real_gdp_per_capita,ln_gdp_pc,ln real GDP per capita,log NZD,raw,source (pre-logged),regressor 2,~9.3-9.7,ped_inputs.parquet
unemployment_percent,unemp_pct,"Unemployment, percentage points",pp e.g. 5.3,raw,source,NOT used directly,3.0-6.7,ped_inputs.parquet
unemployment_rate,unemp_rate,"Unemployment, DECIMAL FRACTION",fraction e.g. 0.053,raw,source = percent/100,"regressor 3 (LEVEL, not log)",0.030-0.067,ped_inputs.parquet
population,population_context_only,Population,persons,raw,source,NOT in this equation,~4.0-5.4m,ped_inputs.parquet
trend,trend,Quarter counter from 2000Q1=1,count,derived,(period-2000Q1)+1,regressor 4,9-105,derived
post2011,post2011,"Indicator, year>=2011",0/1,derived,year>=2011,builds interaction,0/1,derived
post2011_trend,post2011_trend,post2011 x trend,count,derived,post2011*trend,regressor 5,0 or 45-105,derived
post2020,post2020,"Indicator, year>=2020",0/1,derived,year>=2020,regressor 6,0/1,derived
covid2020,covid2020,"Indicator, calendar 2020 ONLY",0/1,derived,year==2020,regressor 7,0/1,derived
q2,q2,Quarter 2 dummy,0/1,derived,quarter==2,regressor 8,0/1,derived
q3,q3,Quarter 3 dummy,0/1,derived,quarter==3,regressor 9,0/1,derived
q4,q4,Quarter 4 dummy (Q1 omitted),0/1,derived,quarter==4,regressor 10,0/1,derived
data_status,data_status,Source status flag,-,raw,source,lineage,-,ped_inputs.parquet
estimation_sample,estimation_sample,1 for the 95 production rows,0/1,derived,2002Q2-2025Q4 & target>0 & lag present,sample filter,sum=95,derived
latest_actual,latest_actual,1 at 2025Q4,0/1,derived,period==train_window_end,forecast anchor,sum=1,derived
