period,qdate,year,quarter,vkt_per_capita,log_vkt_per_capita,log_vkt_per_capita_lag1,real_petrol_price_cents_per_litre,log_real_petrol_price,real_gdp_per_capita_nzd,log_real_gdp_per_capita,unemployment_percent,unemployment_rate,population,trend,post2011,post2011_trend,post2020,covid2020,q2,q3,q4,data_status,estimation_sample,latest_actual
2002Q1,168,2002,1,1864.090327167367,7.530528452852224,,178.65612105396744,5.185462846709036,15663.629977639052,9.659096742021859,5.3,0.053,3935700.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Historical official/source data,0,0
2002Q2,169,2002,2,1854.8369606135454,7.5255520793262844,7.530528452852224,194.8299727727509,5.272127243709035,15764.242500988099,9.665499521410739,5.3,0.053,3948500.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Historical official/source data,1,0
2002Q3,170,2002,3,1862.6786036124977,7.529770840213171,7.5255520793262844,189.05663962293664,5.242046650709035,16014.581693447697,9.681254942029808,5.5,0.055,3967600.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Historical official/source data,1,0
2002Q4,171,2002,4,1899.288829148161,7.549234794638298,7.529770840213171,186.9547170484098,5.2308664327090355,16199.826373498725,9.692755803477777,5.1,0.051,3989500.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Historical official/source data,1,0
2003Q1,172,2003,1,1869.6778960790102,7.5335214469261365,7.549234794638298,198.0641610101693,5.288591023709035,16188.679283893132,9.692067467302984,5.0,0.05,4013300.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Historical official/source data,1,0
2003Q2,173,2003,2,1857.878875845643,7.527190726638258,7.5335214469261365,178.4734228805966,5.184439698709036,16199.121690209922,9.692712303096991,4.8,0.048,4027200.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Historical official/source data,1,0
2003Q3,174,2003,3,1866.367749332602,7.531749440946161,7.527190726638258,190.46737969529534,5.249480944709036,16384.607406254978,9.704097600287723,4.5,0.045,4044600.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Historical official/source data,1,0
2003Q4,175,2003,4,1902.6144744832498,7.550984258481908,7.531749440946161,185.04482753190592,5.220598106709035,16508.095576062522,9.711606180537231,4.7,0.047,4061600.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Historical official/source data,1,0
2004Q1,176,2004,1,1893.0121822433898,7.545924586605092,7.550984258481908,194.216908924506,5.2689756217090356,16869.396390718495,9.733256394859495,4.3,0.043,4078700.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Historical official/source data,1,0
2004Q2,177,2004,2,1857.5757538064283,7.527027558428657,7.545924586605092,207.7819134686791,5.336489036709035,16843.741246088677,9.73173442737854,4.2,0.042,4087500.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Historical official/source data,1,0
2004Q3,178,2004,3,1860.3516663535784,7.528520816768189,7.527027558428657,208.09491520301884,5.337994298709035,16812.827391113497,9.72989740923198,3.9,0.039,4100600.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Historical official/source data,1,0
2004Q4,179,2004,4,1897.667853770926,7.548380965842724,7.528520816768189,204.8289406007738,5.322175194709035,16778.138912652856,9.727832062824394,3.7,0.037000000000000005,4114300.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Historical official/source data,1,0
2005Q1,180,2005,1,1872.597339024945,7.535081697498196,7.548380965842724,203.60372754957302,5.316175592709035,16774.02869630733,9.727587058304032,3.9,0.039,4126600.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Historical official/source data,1,0
2005Q2,181,2005,2,1850.130556335968,7.52301148657477,7.535081697498196,216.5627551811176,5.377880367709035,17163.759188261,9.750555415965277,3.8,0.038,4133900.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Historical official/source data,1,0
2005Q3,182,2005,3,1842.5792416165427,7.518921630800313,7.52301148657477,242.4721311568972,5.490886780709035,17154.615478545067,9.750022540500103,3.8,0.038,4145900.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Historical official/source data,1,0
2005Q4,183,2005,4,1864.7622115858157,7.5308888234588585,7.518921630800313,233.44518147646735,5.452947280709036,17089.709193753224,9.746231759800626,3.7,0.037000000000000005,4161000.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Historical official/source data,1,0
