source_release,FY,period,period_status,output_series_id,output_label,row_role,formula,source_rows,source_cells,observed_value,calculated_value,residual,residual_abs,status,missing_inputs,source_kind
BEFU26,2002,FY2002,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,45; 37,C45; C37,1529.626840244444,1529.626840244444,0.0,0.0,reconciled,,derived_dashboard_subtotal
BEFU26,2002,FY2002,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,34; 43; 51; 58,C34; C43; C51; C58,1776.97261802222,1776.972618022222,-1.8189894035458565e-12,1.8189894035458565e-12,reconciled,,official_source_formula_assertion
BEFU26,2002,FY2002,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,63; 64,C63; C64,1682.86884024444,1682.8688402444425,-2.273736754432321e-12,2.273736754432321e-12,reconciled,,official_source_formula_assertion
BEFU26,2002,FY2002,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,33; 44; 54,C33; C44; C54,48.7197777777778,48.7197777777778,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2002,FY2002,ACTUAL,total_revenue_net_admin,Total revenues net of admin fees,aggregate,total_gross_revenue - total_admin_fees,61; 62,C61; C62,1731.58861802222,1731.58861802222,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2002,FY2002,ACTUAL,total_ruc_net_revenue,Total RUC all classes,aggregate,ruc_revenue_net_admin - ruc_refunds,36; 33,C36; C33,565.745628355555,565.7456283555553,-2.273736754432321e-13,2.273736754432321e-13,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,40; 41; 42,D40; D41; D42,1149.000059,1149.000059,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,48; 49; 50,D48; D49; D50,197.397,197.397,-2.8421709430404014e-14,2.8421709430404014e-14,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,28; 29; 30; 31; 32; 33,D28; D29; D30; D31; D32; D33,645.624403982222,645.6244039822225,-4.547473508864641e-13,4.547473508864641e-13,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,aggregate,mr1_revenue + mr2_revenue - mvr_admin_revenue,48; 49; 52,D48; D49; D52,161.301,161.30100000000002,-2.8421709430404014e-14,2.8421709430404014e-14,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,net_fed_revenue,Net FED revenue,aggregate,gross_fed_revenue - fed_refunds,43; 44,D43; D44,1123.86139233333,1123.8613923333332,-3.183231456205249e-12,3.183231456205249e-12,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,net_mvr_revenue,Net MVR revenue,aggregate,mvr_revenue_net_admin_coo - mvr_refunds,53; 54,D53; D54,160.803,160.803,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,ruc_revenue_net_admin,RUC revenues net of admin fees,aggregate,gross_ruc_revenue - ruc_admin_revenue,34; 35,D34; D35,634.121403982222,634.121403982222,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,total_admin_fees,Total admin fees,aggregate,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,35; 52; 50,D35; D52; D50,47.599,47.599,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2003,FY2003,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,45; 37,D45; D37,1731.986351871108,1731.986351871108,0.0,0.0,reconciled,,derived_dashboard_subtotal
BEFU26,2003,FY2003,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,34; 43; 51; 58,D34; D43; D51; D58,1992.02146298222,1992.021462982222,-1.8189894035458565e-12,1.8189894035458565e-12,reconciled,,official_source_formula_assertion
