stream,input_history_vintage,latest_accepted_exact_actual,first_forecast_quarter,observation_status,provisional_seed,source_lineage,fy2026_construction
PED,2026Q1,2025Q4,2026Q1,accepted_exact_actual_through_2025Q4,provisional_annual_bridge seed available for 2026Q1 (method mbu26_residual_core_ped_share; ped_mode provisional_replay_only); not an observed actual and excluded from estimation,data/model_input_history (see manifest.json refresh_history),"FY2026 mixes accepted actuals and forecasts per stream (PED: actuals through 2025Q4, forecasts from 2026Q1; LIGHT_RUC: actuals through 2026Q1, forecasts from 2026Q2; HEAVY_RUC: actuals through 2026Q1, forecasts from 2026Q2)"
LIGHT_RUC,2026Q1,2026Q1,2026Q2,accepted_exact_actual_through_2026Q1,,data/model_input_history (see manifest.json refresh_history),"FY2026 mixes accepted actuals and forecasts per stream (PED: actuals through 2025Q4, forecasts from 2026Q1; LIGHT_RUC: actuals through 2026Q1, forecasts from 2026Q2; HEAVY_RUC: actuals through 2026Q1, forecasts from 2026Q2)"
HEAVY_RUC,2026Q1,2026Q1,2026Q2,accepted_exact_actual_through_2026Q1,,data/model_input_history (see manifest.json refresh_history),"FY2026 mixes accepted actuals and forecasts per stream (PED: actuals through 2025Q4, forecasts from 2026Q1; LIGHT_RUC: actuals through 2026Q1, forecasts from 2026Q2; HEAVY_RUC: actuals through 2026Q1, forecasts from 2026Q2)"
