grid,model,horizon,n,mape,bias_pct
schiff_paper_grid,SCHIFF_SPEC_OLS_expanding,12,5,14.8655194229624,5.792617537658192
current_evidence_grid,SCHIFF_SPEC_OLS_w40,1,38,6.405773395725864,0.5947533231241253
current_evidence_grid,SCHIFF_SPEC_OLS_w40,2,37,6.963712004708235,0.5555288343208816
current_evidence_grid,SCHIFF_SPEC_OLS_w40,3,36,6.912296065470579,0.4549027851628572
current_evidence_grid,SCHIFF_SPEC_OLS_w40,4,35,6.823629150685057,0.9444606881619275
current_evidence_grid,SCHIFF_SPEC_OLS_w40,5,34,7.188325897323312,1.1212437572023517
current_evidence_grid,SCHIFF_SPEC_OLS_w40,6,33,7.980173235589862,1.7607614872230564
current_evidence_grid,SCHIFF_SPEC_OLS_w40,7,32,8.525467197300312,1.746128736843286
current_evidence_grid,SCHIFF_SPEC_OLS_w40,8,31,9.073155281298623,2.2045173932442994
current_evidence_grid,SCHIFF_SPEC_OLS_w40,9,30,9.234484487202817,2.432580170025441
current_evidence_grid,SCHIFF_SPEC_OLS_w40,10,29,9.167818834293753,3.4359284705496838
current_evidence_grid,SCHIFF_SPEC_OLS_w40,11,28,9.524979297207919,4.191066906212406
current_evidence_grid,SCHIFF_SPEC_OLS_w40,12,27,10.866289530169066,5.3616958873778255
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,1,16,4.441809472083327,-1.7643192677525974
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,2,15,3.722474380367158,-1.7698740187791668
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,3,14,4.185435091832146,-2.0092448955238185
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,4,13,4.263000306775192,-1.3218282959706835
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,5,12,4.509563629050165,-0.8309056109440015
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,6,11,4.56035768477407,-0.700794837433873
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,7,10,5.832629620386919,-1.0686971991711067
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,8,9,6.168245297951109,0.10428384016078979
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,9,8,8.418291191578515,1.7795298943017728
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,10,7,10.476918110437857,3.6531810412419223
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,11,6,10.75663106287319,5.820571349670595
schiff_paper_grid,SCHIFF_SPEC_OLS_w40,12,5,14.482750768535583,5.40984888323137
current_evidence_grid,SCHIFF_SPEC_OLS_w52,1,38,7.0749086468018145,1.2846618997102073
current_evidence_grid,SCHIFF_SPEC_OLS_w52,2,37,7.929180350685618,1.5496422481359
current_evidence_grid,SCHIFF_SPEC_OLS_w52,3,36,6.536971388706693,1.4951413230398867
current_evidence_grid,SCHIFF_SPEC_OLS_w52,4,35,6.6176846388901405,2.010572458296637
current_evidence_grid,SCHIFF_SPEC_OLS_w52,5,34,9.279701563430208,3.274035889853266
current_evidence_grid,SCHIFF_SPEC_OLS_w52,6,33,9.588435968643278,3.560172420982993
current_evidence_grid,SCHIFF_SPEC_OLS_w52,7,32,9.815280184227069,3.983453259287511
current_evidence_grid,SCHIFF_SPEC_OLS_w52,8,31,10.326548778600003,4.645314998830537
current_evidence_grid,SCHIFF_SPEC_OLS_w52,9,30,10.761357635204782,5.232665579970667
current_evidence_grid,SCHIFF_SPEC_OLS_w52,10,29,10.943619374058205,6.076412257436213
current_evidence_grid,SCHIFF_SPEC_OLS_w52,11,28,11.425876506644752,6.805167140514717
current_evidence_grid,SCHIFF_SPEC_OLS_w52,12,27,12.241071939290117,7.6369300486670815
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,1,16,6.342481391481488,-0.10435520306385035
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,2,15,6.882750509403644,0.4287573877729574
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,3,14,4.865261568035882,-1.8859670830886441
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,4,13,5.583931850189751,-1.716769909573508
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,5,12,6.4301564324583715,-1.1382847569014427
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,6,11,7.006970466282801,-0.6421387748553082
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,7,10,8.018217165219932,-0.15838574404285544
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,8,9,8.320082873935913,0.960371843411717
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,9,8,9.531939359092595,1.5803731540111525
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,10,7,11.251706827289652,2.8051881810716597
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,11,6,12.098060166363577,5.27558435398288
schiff_paper_grid,SCHIFF_SPEC_OLS_w52,12,5,14.8655194229624,5.792617537658192
current_evidence_grid,SCHIFF_SPEC_OLS_w64,1,38,8.058116545300722,3.161096644211441
current_evidence_grid,SCHIFF_SPEC_OLS_w64,2,37,8.359559527061428,3.3530630697578925
current_evidence_grid,SCHIFF_SPEC_OLS_w64,3,36,7.890974071611945,3.432041797464505
current_evidence_grid,SCHIFF_SPEC_OLS_w64,4,35,8.529570752254664,3.805327669211426
current_evidence_grid,SCHIFF_SPEC_OLS_w64,5,34,10.084652697117772,3.976848903975019
current_evidence_grid,SCHIFF_SPEC_OLS_w64,6,33,10.351890764155726,4.202471803232766
current_evidence_grid,SCHIFF_SPEC_OLS_w64,7,32,10.538188545976308,4.576863411065985
current_evidence_grid,SCHIFF_SPEC_OLS_w64,8,31,10.717418584610488,5.089022285110291
current_evidence_grid,SCHIFF_SPEC_OLS_w64,9,30,11.039279469851735,5.859629319616087
current_evidence_grid,SCHIFF_SPEC_OLS_w64,10,29,11.395304519070656,6.794756218172577
current_evidence_grid,SCHIFF_SPEC_OLS_w64,11,28,11.844635891842714,7.433714897181873
current_evidence_grid,SCHIFF_SPEC_OLS_w64,12,27,12.189910623461701,8.069110453645639
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,1,16,7.4021684388239795,1.03106590335541
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,2,15,6.882750509403644,0.4287573877729574
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,3,14,4.865261568035882,-1.8859670830886441
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,4,13,5.583931850189751,-1.716769909573508
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,5,12,6.4301564324583715,-1.1382847569014427
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,6,11,7.006970466282801,-0.6421387748553082
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,7,10,8.018217165219932,-0.15838574404285544
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,8,9,8.320082873935913,0.960371843411717
schiff_paper_grid,SCHIFF_SPEC_OLS_w64,9,8,9.531939359092595,1.5803731540111525
